feature	positive_signature	negative_signature
48		PA4088;PA4038;PA1146;PA4861;PA0844;PA0325;PA3590;PA4859;PA5539;PA4862;PA4089;PA3589;PA3877;PA4994;PA3379;PA3914;PA0324;PA3876;PA3875;PA4908;PA3449;PA5541;PA0222
49	PA0510;PA0997;PA5427;PA4235;PA0998;PA4236;PA4130;PA0518;PA1049;PA5172;PA3195;PA0519;PA0523;PA2193;PA1557;PA1555;PA3392;PA3877;PA3182;PA5230;PA1556;PA0996;PA5171;PA1000;PA1561;PA3337;PA5497;PA3872;PA0999;PA2194;PA3181;PA0524;PA0836;PA3194;PA0295;PA1001;PA4133;PA5173;PA2195	PA2008;PA3929;PA2550
50	PA4329;PA4403;PA4402;PA4740;PA4756;PA3471;PA0548;PA3834;PA2744;PA0401;PA3861;PA2639;PA5080;PA4693;PA2612;PA3527;PA3482;PA1770;PA0546;PA3214;PA3987;PA5051;PA4483;PA4042;PA4425;PA2641;PA2709;PA5505;PA4732;PA2642;PA4758;PA2649;PA1013;PA1587;PA4069;PA0403;PA4430;PA3831;PA2645;PA2648;PA1794;PA2647	PA1535;PA3713;PA1628;PA2887
51	PA3452;PA1905;PA1902;PA3600;PA2009;PA5373;PA1000;PA2007;PA1903;PA4211;PA4232;PA4209;PA4217	PA0232;PA0231;PA0228;PA0226;PA2682;PA0444;PA2512;PA5302;PA2513;PA2509;PA4899;PA0439;PA2507;PA2518;PA0227;PA2508;PA2514;PA2261;PA5420;PA2515;PA5421;PA0230;PA2263;PA5304
52	PA4217;PA0203;PA4771;PA3187	PA0510;PA3600;PA0518;PA2408;PA5539;PA0519;PA5538;PA0523;PA1856;PA3392;PA2691;PA2811;PA3877;PA3874;PA0025;PA0024;PA4064;PA3876;PA3875;PA3872;PA0524;PA3601;PA5541;PA4065
53	PA1274;PA4771;PA3643;PA0293;PA1534;PA3735;PA2969	PA5096;PA0106;PA1984;PA0105;PA0107;PA1930;PA1174;PA4913;PA1904;PA3929;PA5100;PA3418;PA3252;PA3570;PA3930;PA0174;PA0112;PA0177;PA2000;PA1905;PA2573;PA0108;PA5106
54	PA1438;PA0098;PA2059;PA2103;PA2105;PA0749;PA4152;PA4976;PA0380;PA2104;PA2856	PA1543;PA2961;PA0997;PA4123;PA3725
55	PA1586;PA4385;PA2624;PA4761;PA4696;PA0887;PA1341;PA4269;PA3820;PA4389;PA5445;PA4442	PA1874;PA1871;PA4208;PA5418;PA2570;PA3236;PA2512;PA3366;PA2003;PA2513;PA3364;PA3361;PA2164;PA5417;PA0447;PA2160;PA2147;PA3724;PA4500;PA2514;PA4205;PA5416;PA1130;PA5420;PA4206;PA5421;PA3475;PA4211;PA3569;PA4207
56	PA2507;PA1950;PA3013;PA2862;PA3514;PA5322;PA3540;PA5323;PA2509;PA3541;PA3551;PA4786;PA3542;PA3547;PA1432;PA3545	PA0872;PA2008;PA0870;PA2009;PA2570;PA2007;PA4211;PA0865;PA4205
57	PA1094;PA1095;PA1249;PA1092;PA4500	PA3151;PA3159;PA4051;PA4193;PA4192;PA3350;PA4969;PA3148;PA1224;PA3361;PA2232;PA5162;PA3155;PA4195;PA4194
58	PA1437;PA4230;PA4774;PA2812;PA0084;PA1423;PA2813;PA4776;PA5445	PA2507;PA3476;PA1701;PA3936;PA3937;PA3187;PA3724;PA2513;PA4500;PA2514;PA4158;PA2508;PA3475;PA0958;PA1692;PA2512;PA3478;PA1693;PA5355
59	PA4310;PA3187;PA2446;PA4759;PA1070;PA3195;PA5435;PA4771;PA5302;PA4761;PA1072;PA2445;PA2012;PA0958;PA3182;PA2011;PA4163;PA3333;PA4205;PA3183;PA4385;PA3181;PA5436;PA1659;PA3194;PA4206;PA5016;PA1073;PA3193;PA5304	PA0107;PA0441;PA4073;PA0323;PA4880;PA4226;PA4228;PA4110
60	PA0510;PA0024;PA0025;PA3870;PA0523;PA1856;PA0524;PA3392;PA0519;PA2691;PA0518;PA3875;PA3874;PA3872;PA3814	PA3559
61	PA0872;PA4202	PA3553;PA2413;PA2446;PA3516;PA3559;PA1087;PA3151;PA1095;PA1179;PA3552;PA4774;PA2445;PA4773;PA3554;PA3555;PA1687;PA3148;PA1094;PA3232;PA2412;PA2444;PA3558;PA5155;PA5415;PA1086
62	PA4443;PA4246;PA4259;PA5316;PA4251;PA4276;PA3931;PA4268;PA4238;PA3745;PA3820;PA2742;PA4442;PA4260;PA4433;PA4432;PA4257;PA2970;PA4256;PA4272;PA3656;PA0281;PA4254;PA4274;PA4267;PA4239;PA4264;PA4262;PA4243;PA4934;PA4563;PA2629;PA4253;PA0283;PA4271;PA4244;PA4932;PA3444;PA4273;PA4006;PA4247;PA5568;PA0316;PA4248;PA2584;PA2204;PA4568;PA3162;PA2948;PA4258;PA3742;PA4249;PA4240;PA1010;PA4261;PA4263;PA4935	PA1874;PA3629;PA0795;PA1871;PA0106;PA3724;PA3568;PA5421;PA3721;PA3232;PA5418;PA3236;PA4152;PA1562;PA0112;PA3569;PA0108;PA0107
63	PA4389;PA2811;PA3925	PA0997;PA1661;PA2592;PA4208;PA1871;PA4211;PA0998;PA1902;PA4130;PA2195;PA0051;PA2570;PA1217;PA1662;PA4144;PA4209;PA4217;PA1657;PA2193;PA3361;PA1904;PA5445;PA3478;PA0996;PA3724;PA1000;PA1656;PA0865;PA3333;PA4205;PA3479;PA0999;PA3476;PA1130;PA2194;PA1901;PA1659;PA2566;PA4206;PA1658;PA0887;PA1001;PA4133;PA1903;PA1905;PA1660;PA4207
64	PA2008;PA4973;PA3187;PA5541;PA2009;PA3600;PA2000;PA3426;PA5453;PA4065;PA2007;PA1984;PA4064;PA1999;PA0865;PA5452	PA0997;PA3452;PA0998;PA1602;PA1694;PA3582;PA1717;PA5508;PA5372;PA3584;PA4771;PA1946;PA3579;PA5373;PA1696;PA5445;PA0996;PA2290;PA1719;PA1701;PA1723;PA2253;PA1722;PA1421;PA1001;PA1716;PA1692
65	PA2438;PA5498;PA5500;PA3601;PA5541;PA5538;PA3600;PA1927;PA2914;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA2105;PA1180;PA2913	PA3187
66	PA0266;PA3356	PA1667;PA1871;PA2592;PA1661;PA4211;PA1666;PA1902;PA3600;PA4130;PA2195;PA2570;PA1217;PA1662;PA4209;PA4217;PA1657;PA2193;PA3361;PA1904;PA3478;PA3724;PA1000;PA1656;PA4064;PA3333;PA3479;PA3476;PA1130;PA2194;PA1901;PA1659;PA2566;PA1658;PA1668;PA1001;PA4133;PA1903;PA1905;PA1660
67	PA4163;PA4351;PA0782;PA3877;PA5172;PA0143;PA5413	PA3553;PA3446;PA2682;PA1092;PA2512;PA3938;PA3559;PA1095;PA1179;PA3552;PA4774;PA3557;PA2513;PA0196;PA3556;PA5100;PA0195;PA4773;PA1180;PA4777;PA1693;PA3554;PA5098;PA3555;PA2711;PA4122;PA1024;PA4776;PA3444;PA2514;PA0482;PA2634;PA3445;PA3568;PA3558;PA1692
68	PA3517;PA4909;PA4912;PA4351;PA4911;PA3522;PA4908;PA2541;PA3516;PA4517;PA5452	PA0997;PA3187;PA0998;PA3195;PA2264;PA2008;PA1657;PA4774;PA1317;PA2009;PA2513;PA3364;PA2509;PA2007;PA3182;PA4773;PA2352;PA3554;PA2507;PA2323;PA2514;PA0865;PA2321;PA2261;PA3183;PA3181;PA3194;PA2000;PA5016;PA2263;PA3193;PA5106
69	PA4159;PA4202;PA4201;PA3252	PA2367;PA2413;PA2446;PA2408;PA2310;PA3195;PA2317;PA2638;PA2344;PA2366;PA2371;PA2390;PA2445;PA2442;PA2370;PA2389;PA2443;PA2412;PA2253;PA2444;PA2272;PA2373;PA2265;PA2360;PA2362;PA2368;PA5415;PA2365;PA2407
70	PA2652;PA4385;PA4307;PA1078;PA3584;PA4310;PA4163;PA2654;PA1083;PA1080;PA4633;PA1092;PA1077;PA1081;PA0494;PA1082;PA3526;PA1079	PA2317;PA0134;PA3540;PA3601;PA3600;PA4880;PA2018;PA3541;PA2815;PA3551;PA0854;PA2569;PA2019;PA3542;PA3547;PA3545;PA4110
71	PA3151;PA3159;PA4051;PA3350;PA3156;PA3152;PA3155;PA4264;PA3158	PA3253;PA3936;PA3517;PA3442;PA3443;PA0196;PA0480;PA3112;PA1024;PA1249;PA0195;PA3444;PA3937
72	PA3554;PA2592;PA3584;PA4774;PA3553;PA1659;PA5373;PA2018;PA3232;PA1249;PA1311;PA3832;PA3582;PA2813;PA4773;PA2019	PA3627;PA4217;PA4973;PA1070;PA4646
73	PA1375;PA4307;PA5080;PA2649;PA5366;PA3382;PA2813;PA2811;PA3380;PA2645;PA2812;PA3379;PA2352	PA3541;PA3236;PA4209;PA5508;PA4217;PA1071;PA1946;PA1317;PA2445;PA4228;PA5417;PA1000;PA1723;PA2412;PA4158;PA1320;PA0262;PA2444;PA4470;PA3333;PA2555;PA5420;PA5415;PA1001;PA3547;PA5355
74	PA1095;PA2862;PA4519;PA1094;PA2412;PA1092;PA2828;PA0036	PA0510;PA3870;PA4208;PA3553;PA5427;PA0518;PA0519;PA3559;PA1179;PA3552;PA0523;PA4774;PA3557;PA1557;PA1555;PA3392;PA4880;PA2691;PA3556;PA3877;PA4773;PA2019;PA1556;PA3874;PA1180;PA4777;PA3554;PA3555;PA0025;PA2018;PA5429;PA4776;PA3875;PA3872;PA0524;PA3558;PA0920;PA4207
75	PA0997;PA2592;PA1871;PA4211;PA5427;PA0998;PA1902;PA4130;PA2446;PA0518;PA1249;PA5172;PA0519;PA4209;PA5508;PA0399;PA1002;PA2008;PA1657;PA0872;PA0523;PA4217;PA2193;PA0870;PA1557;PA3392;PA1555;PA2009;PA3477;PA1905;PA4226;PA3361;PA1904;PA2445;PA4228;PA2007;PA5230;PA2587;PA1556;PA3478;PA0996;PA0447;PA5171;PA3724;PA1000;PA3337;PA1656;PA4942;PA2444;PA0865;PA3333;PA3479;PA0999;PA3476;PA4230;PA2194;PA0524;PA1901;PA1658;PA2000;PA5415;PA1001;PA4133;PA5173;PA1999;PA1903;PA2195	PA3232;PA3120;PA1927;PA0887;PA5435;PA5355
76	PA4225;PA4706;PA4230;PA4470;PA2413;PA4708;PA2531;PA2412;PA4226;PA2390;PA2408;PA4228;PA2407;PA2389;PA2409;PA4707;PA4231	PA3531;PA0523;PA0524;PA1174;PA4880;PA1602;PA4812;PA1562;PA4811;PA5445
77	PA3531	PA4225;PA4706;PA2413;PA3600;PA2408;PA4687;PA2513;PA4226;PA4228;PA4707;PA1927;PA2412;PA4708;PA2514;PA4470;PA5217;PA4231;PA4230;PA4513;PA4224;PA3601;PA2407;PA2409
