feature	positive_signature	negative_signature
0	PA5368;PA2548;PA0844;PA0685;PA2446;PA0678;PA5297;PA2022;PA3382;PA0347;PA0677;PA3378;PA3375;PA3377;PA5366;PA3319;PA0681;PA4351;PA3296;PA3379;PA2352;PA3384;PA5367;PA3374;PA5369;PA2444;PA0680;PA3910;PA0679;PA3383;PA0682;PA3380	PA2514;PA2512;PA2513;PA3187
1	PA5010;PA4594;PA4988;PA1806;PA1279;PA3618;PA3096;PA0934	PA4867;PA3446;PA5298;PA0844;PA2513;PA1552;PA2514;PA1982;PA5445;PA5508
2	PA1874;PA1871;PA2367;PA0106;PA2553;PA3417;PA2446;PA3416;PA2570;PA1217;PA1249;PA0105;PA1092;PA0175;PA0107;PA5213;PA1095;PA1930;PA0180;PA0523;PA2369;PA0178;PA2003;PA2371;PA2366;PA1080;PA2445;PA2370;PA0176;PA2247;PA5058;PA1094;PA3250;PA0179;PA2373;PA2444;PA0174;PA2360;PA0177;PA0524;PA2368;PA2566;PA2365;PA2573;PA0704	PA4588;PA4517;PA5035
3	PA2413;PA1338;PA2531;PA4708;PA2412;PA2407;PA2390;PA2408;PA2442;PA2409;PA2444;PA2389;PA1342;PA4470;PA1340;PA1337	PA3552;PA4774;PA1174;PA1217;PA1173;PA5471;PA4773;PA5106
4	PA3151;PA3159;PA1095;PA4918;PA3156;PA3148;PA1094;PA3152;PA2105;PA3294;PA1092;PA2739;PA3155;PA1086;PA4919;PA2104;PA3158;PA1087	PA0254;PA2018;PA4771
5	PA0895;PA0157;PA4640;PA0393;PA1421;PA5302;PA0390;PA4569;PA0336;PA5304;PA0421;PA0887;PA4812;PA4482;PA4043;PA5445;PA2321;PA4307;PA5508	PA4910;PA4443;PA2599;PA3442;PA3446;PA2367;PA3935;PA3931;PA1249;PA1984;PA2594;PA5172;PA2310;PA3938;PA4442;PA2328;PA2366;PA2596;PA3443;PA3929;PA2600;PA2083;PA3937;PA3250;PA0283;PA3444;PA2444;PA2598;PA3936;PA3448;PA1247;PA2204;PA3445;PA2365;PA1081;PA5355
6	PA3554;PA4031;PA5555;PA5556;PA3558;PA5522;PA5554;PA4250;PA1326;PA4452;PA4810;PA5147;PA3559	PA1874;PA2592;PA1871;PA2413;PA1902;PA2446;PA2570;PA1217;PA1092;PA2366;PA1317;PA3477;PA3361;PA1904;PA2445;PA3478;PA3724;PA1320;PA2444;PA4205;PA2261;PA3479;PA2566;PA1658;PA1319;PA2365;PA1318;PA1905
7	PA1950;PA3914;PA3876;PA2711;PA3870;PA4771;PA5353;PA3918;PA4130;PA2513;PA3364;PA2514;PA4908;PA5349;PA1984;PA3877;PA3875;PA2512;PA4810;PA3366;PA1124	PA4588;PA2008;PA1701;PA5436;PA2009;PA3600;PA2561;PA2007;PA3523;PA5435
8	PA4443;PA4867;PA5436;PA4252;PA3392;PA2513;PA3004;PA4375;PA0750	PA3151;PA2981;PA2891;PA4401;PA3148;PA0679;PA3506;PA1725;PA3152;PA0602;PA1104
9	PA1719;PA1691;PA1722;PA1701;PA1698;PA1695;PA1690;PA1697;PA3601;PA1725;PA3600;PA1723;PA3120;PA1694;PA1724;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703	PA0523;PA0524;PA1856;PA3392;PA0084;PA0085;PA0518;PA4207;PA0089;PA0519
10	PA3151;PA3159;PA3156;PA3148;PA2105;PA3152;PA4503;PA0958;PA3155;PA2104;PA3158	PA0494
11	PA3651;PA3642;PA3608;PA1281;PA3187;PA1856;PA5570;PA4050;PA0920;PA1534;PA4415;PA1638;PA2969	PA5355;PA5094;PA2550;PA3250;PA4829;PA5100;PA5103;PA0108;PA0176;PA5106
12	PA3651;PA1277;PA3642;PA2828;PA3820;PA2512;PA3735;PA3861;PA5508;PA2513;PA4272;PA1552;PA0421;PA2822;PA0668;PA5558;PA5141;PA5557;PA1553;PA5556;PA5046;PA3803;PA3310;PA5192;PA3643;PA5131;PA3821;PA5554	PA1657;PA2366;PA3254;PA1174;PA1905;PA3250;PA3443;PA3935;PA3361;PA2920;PA2365;PA1173;PA3444;PA4211;PA3252;PA0193;PA1556;PA0704;PA4209;PA4217
13	PA4225;PA4706;PA3446;PA2413;PA3600;PA2408;PA2512;PA4687;PA2513;PA4226;PA4228;PA4707;PA2412;PA4158;PA4708;PA2514;PA4470;PA5217;PA4231;PA3814;PA4230;PA4224;PA3601;PA2407;PA4159;PA2409	PA3531;PA2446;PA2445;PA2444;PA3366;PA5355
14	PA5304;PA4454;PA3187	PA4588;PA0510;PA0025;PA0024;PA4193;PA0523;PA3446;PA1856;PA0524;PA3392;PA3874;PA3600;PA4351;PA2691;PA0518;PA3875;PA5100;PA3569;PA0519;PA3872
15	PA1179;PA0851;PA4733;PA1180;PA4290;PA0424	PA5355;PA2015;PA3100;PA2555;PA2013;PA3315;PA2014;PA0085;PA0793;PA5354;PA4415;PA2012;PA3313;PA2444;PA0766;PA5075;PA2011;PA4217
16		PA3151;PA3159;PA1095;PA3514;PA3156;PA3148;PA2105;PA4503;PA3152;PA1092;PA0958;PA3155;PA3498;PA2104;PA3158
17	PA1258;PA1257;PA1130;PA5570;PA4503;PA0196;PA3364;PA3361;PA3366;PA2153;PA4209	PA1602;PA2711
18	PA3929;PA3930	PA0510;PA2553;PA5427;PA4236;PA0896;PA0518;PA5172;PA0519;PA3151;PA1657;PA0523;PA2193;PA1557;PA1555;PA4351;PA3877;PA5230;PA1556;PA3874;PA2011;PA0025;PA5171;PA3148;PA3337;PA0835;PA5497;PA0524;PA2555;PA0836;PA0295;PA5173
19	PA3151;PA1317;PA3152;PA2000;PA2446;PA5415;PA1319;PA2445;PA1999;PA2442;PA1320;PA2444;PA1318;PA2443;PA4688;PA1321	PA0997;PA3870;PA3553;PA0998;PA3600;PA5539;PA0494;PA3366;PA3559;PA1002;PA1179;PA3552;PA4774;PA3557;PA3556;PA4773;PA0996;PA1180;PA4777;PA3554;PA3914;PA3555;PA1094;PA1000;PA4776;PA0999;PA3558;PA3601;PA1001;PA4065
20	PA3310;PA2193;PA4513;PA5541;PA4158;PA3175;PA1692;PA2370;PA5538;PA0564	PA3553;PA3446;PA3236;PA4442;PA3559;PA2981;PA1179;PA3552;PA4774;PA3557;PA3556;PA3182;PA4773;PA1180;PA3554;PA3555;PA0280;PA0283;PA1501;PA3183;PA3560;PA3558;PA3194;PA0679;PA3152;PA3193;PA3569
21	PA3818;PA0945;PA1792;PA3139;PA4640;PA2019;PA2840;PA5298;PA2629;PA3050;PA0944;PA2018;PA3656;PA2950;PA3643;PA2968;PA3821;PA3820;PA2969	PA1657;PA1555;PA0108;PA5173;PA1249;PA3875;PA5230;PA1556;PA3874;PA3872;PA0112
22	PA4127;PA4163;PA4128;PA4122;PA0782;PA1430;PA4125;PA4180;PA4123;PA4161;PA4152;PA4158;PA4133;PA4124;PA4121;PA4138	PA3554;PA3555;PA4189;PA3552;PA2317;PA3553;PA3557;PA3558;PA4073;PA0293;PA1024;PA4226;PA3556;PA4188;PA3559
23		PA3666;PA4741;PA5163;PA4246;PA1583;PA4259;PA5316;PA4944;PA4251;PA4464;PA4268;PA4250;PA1457;PA3745;PA4238;PA4237;PA2742;PA4406;PA4260;PA4433;PA1581;PA4257;PA2638;PA2970;PA4256;PA5570;PA1580;PA4272;PA1552;PA3656;PA1584;PA5337;PA4274;PA4254;PA5013;PA4267;PA4751;PA4262;PA4242;PA1770;PA4239;PA4245;PA3629;PA0579;PA4563;PA0555;PA3348;PA1609;PA4425;PA4244;PA2623;PA4273;PA4247;PA3814;PA4248;PA1588;PA2634;PA3162;PA4568;PA4258;PA4671;PA5110;PA1587;PA3742;PA4249;PA4252;PA4240;PA4263;PA4241;PA2741
24	PA1874;PA1871;PA4208;PA2144;PA2570;PA2162;PA0107;PA2151;PA2163;PA3477;PA2416;PA2152;PA3361;PA2164;PA3478;PA2153;PA2160;PA2147;PA3724;PA2165;PA1927;PA4172;PA5111;PA4205;PA3479;PA1130;PA2566;PA4206;PA4211;PA0108;PA4207	PA3820;PA3392;PA3552;PA5568;PA5508
25	PA0510;PA5427;PA4235;PA4236;PA0518;PA1049;PA5172;PA0519;PA1657;PA0523;PA1557;PA1555;PA3392;PA3877;PA5230;PA1556;PA0024;PA5171;PA1561;PA3337;PA0835;PA5497;PA0524;PA0836;PA0295;PA5173	PA4228;PA3364;PA3930
26	PA3719;PA3553;PA3721;PA3028;PA3559;PA5106;PA1179;PA3552;PA4774;PA3584;PA3557;PA1555;PA4761;PA3556;PA4773;PA5445;PA1180;PA4777;PA5098;PA3554;PA3555;PA5353;PA1927;PA4776;PA4205;PA3558;PA5355	PA0997;PA3870;PA3452;PA3187;PA0998;PA3541;PA4217;PA0872;PA2008;PA4771;PA0870;PA1317;PA3540;PA2009;PA3713;PA2007;PA2445;PA2442;PA0996;PA1000;PA1320;PA2444;PA0865;PA0999;PA4973;PA2000;PA5415;PA1001;PA1319;PA1318;PA1999;PA3551;PA3547
27	PA2514;PA4250;PA2513;PA4500	PA4127;PA3584;PA4122;PA1024;PA1249;PA2811;PA2813;PA4123;PA3195;PA4124;PA1982;PA4121;PA2812
28	PA1421;PA1156;PA2413;PA2407;PA2412;PA2408;PA4064;PA3582;PA3527;PA2409;PA5508	PA2003;PA0524;PA4202;PA5367;PA0849;PA4133;PA3361;PA0130;PA3121;PA0865;PA5098
29	PA0997;PA2592;PA4225;PA4310;PA3187;PA0998;PA1249;PA5172;PA3105;PA2193;PA1557;PA4226;PA1904;PA4228;PA0996;PA0157;PA5171;PA3724;PA1000;PA0074;PA5497;PA3333;PA4231;PA0999;PA3476;PA4230;PA2194;PA4224;PA1001;PA2195	PA3554;PA3552;PA1421;PA3557;PA3558;PA2018;PA5200;PA1024;PA3556;PA2019;PA0494;PA5445;PA3559
30	PA1871;PA2566;PA2513;PA2514;PA2570;PA4207;PA2512;PA0447;PA3526	PA0510;PA3870;PA3187;PA0518;PA1070;PA1984;PA0494;PA4810;PA3195;PA0519;PA0523;PA3392;PA4351;PA4504;PA2691;PA3877;PA3182;PA4811;PA3874;PA3914;PA0025;PA0024;PA5154;PA3876;PA3875;PA3872;PA3183;PA3181;PA0524;PA3194;PA3193
31	PA4741;PA5316;PA4251;PA4250;PA4238;PA4415;PA5471;PA4269;PA3820;PA2744;PA5435;PA5049;PA4272;PA4412;PA4748;PA4456;PA4254;PA2019;PA4700;PA4934;PA4410;PA2020;PA2018;PA4255;PA4271;PA4932;PA4273;PA5046;PA4418;PA4568;PA4252;PA3742;PA4455;PA1959;PA3822;PA5555;PA2741;PA4935	PA5213;PA0180;PA1871;PA4829;PA0704;PA0176
32	PA2003;PA4811;PA1927;PA0687;PA2212;PA4812;PA2155;PA1931;PA4810;PA2105;PA5538	PA3639;PA3476;PA0303;PA0009;PA3486;PA3977;PA4256;PA2644;PA4503;PA0204;PA0205;PA4430;PA2365;PA0500;PA5172;PA5554;PA4280;PA4262;PA2856
33	PA0997;PA2592;PA1871;PA4211;PA0998;PA1902;PA2001;PA4130;PA2446;PA2195;PA1249;PA4217;PA0399;PA1002;PA2008;PA1657;PA0872;PA2080;PA2193;PA2009;PA3477;PA1904;PA4121;PA3478;PA0996;PA1432;PA3724;PA1000;PA4122;PA2081;PA3104;PA1656;PA2444;PA0865;PA3333;PA1247;PA3479;PA0999;PA3476;PA2194;PA1901;PA1659;PA1658;PA2000;PA1001;PA4133;PA1999;PA1903;PA1905;PA0143;PA1660;PA2579	PA0523;PA0524;PA3392;PA3582;PA4418;PA3183;PA4110
34	PA1871;PA0997;PA4208;PA5163;PA2553;PA5355;PA0998;PA1902;PA3417;PA2248;PA4130;PA3416;PA2570;PA2195;PA1092;PA4209;PA4217;PA1002;PA2008;PA0872;PA5164;PA2193;PA1905;PA2009;PA4207;PA3361;PA1904;PA2007;PA3418;PA3478;PA3570;PA2247;PA3724;PA1000;PA2249;PA2250;PA0865;PA3333;PA4205;PA3479;PA0999;PA2194;PA1901;PA2566;PA4206;PA2000;PA1001;PA4133;PA1999;PA1903;PA4211;PA2573;PA5106	PA0604
35	PA2634;PA3553;PA4774;PA0106;PA3417;PA4911;PA0196;PA1024;PA0108;PA3418;PA0105;PA0195;PA4776;PA1326;PA4773;PA5435;PA4777;PA0107	PA0997;PA1920;PA0998;PA4130;PA2446;PA3541;PA2105;PA3545;PA3151;PA3540;PA1557;PA3155;PA1432;PA3159;PA3724;PA1000;PA2412;PA3337;PA3158;PA0999;PA3476;PA4133;PA3551;PA3542;PA3547
36	PA2637;PA2914;PA0927;PA2645;PA4006;PA1049;PA4159;PA2647;PA3636;PA5332;PA2969	PA0380;PA4937;PA4727;PA2711;PA3975;PA4733;PA1464;PA5176;PA5069;PA4956;PA4687;PA1799;PA4865
37	PA4225;PA4687;PA4810;PA0872;PA0180;PA2003;PA0870;PA4226;PA4228;PA3877;PA5230;PA3874;PA3914;PA0865;PA5217;PA3875;PA3872;PA4231;PA4230;PA4224;PA3918;PA4812;PA3569	PA1667;PA3553;PA0228;PA2682;PA5471;PA2512;PA3559;PA1657;PA3552;PA4774;PA2513;PA2509;PA3556;PA0958;PA4773;PA2019;PA3554;PA2507;PA0227;PA2018;PA0130;PA1656;PA2508;PA2514;PA3333;PA3183;PA1669;PA1659;PA3558;PA1658;PA1668;PA1326;PA2409
38	PA2340;PA0682;PA2339;PA4944	PA2611;PA5141;PA3700;PA0363;PA4258;PA3131;PA0749;PA1553;PA3556;PA0897;PA2644;PA4429;PA3212
39	PA3584;PA3651;PA1856;PA3452;PA4645;PA3579;PA3561;PA5298;PA0654;PA1602;PA5173;PA1319;PA3582;PA1320;PA2253;PA0266;PA4811;PA2290;PA4307	PA0997;PA3187;PA0998;PA0782;PA2248;PA2008;PA2009;PA2007;PA4228;PA0996;PA4027;PA1000;PA0130;PA5082;PA2444;PA0865;PA0999;PA4230;PA4973;PA2809;PA2000;PA5415;PA1001;PA1999;PA1073
40	PA5298;PA3438;PA4867;PA3527	PA0153;PA5353;PA4153;PA4148;PA4911;PA3364;PA5354;PA5095;PA5100;PA4152;PA2444;PA3570;PA5098
41	PA5427;PA3600;PA0518;PA1049;PA5501;PA0519;PA1557;PA1555;PA4351;PA3877;PA5499;PA1556;PA5500;PA3337;PA4064;PA5497;PA3872;PA0836;PA3601;PA0403;PA0295;PA5106	PA3553;PA3187;PA1249;PA1984;PA0105;PA3366;PA3559;PA3552;PA4774;PA4613;PA1317;PA4226;PA3556;PA4228;PA4773;PA5445;PA1321;PA3554;PA1338;PA0849;PA4500;PA1320;PA0865;PA5217;PA3183;PA4230;PA4224;PA3558;PA0887;PA1319;PA4290
42	PA4443;PA2203;PA3553;PA4193;PA3442;PA3446;PA3935;PA3931;PA2594;PA3447;PA2310;PA3938;PA4452;PA4442;PA3559;PA1179;PA3552;PA3557;PA3443;PA0281;PA3556;PA2600;PA2083;PA4456;PA3937;PA4773;PA1180;PA3554;PA4010;PA1838;PA0280;PA2412;PA0283;PA3444;PA2598;PA3936;PA4195;PA5103;PA0282;PA2204;PA3445;PA4455;PA3449	PA1002;PA0999;PA0997;PA0998;PA0844;PA4130;PA5373;PA1000;PA3970;PA0660;PA1001;PA3875;PA3877;PA4969;PA1003;PA0996;PA3379
43	PA4211;PA1901;PA1902;PA1904;PA1903;PA1905;PA4217	PA0510;PA4443;PA3870;PA4193;PA3442;PA3187;PA3446;PA3931;PA0518;PA3938;PA0519;PA4442;PA0523;PA1856;PA3392;PA3443;PA5354;PA0281;PA3874;PA3379;PA0024;PA0025;PA1260;PA5353;PA4192;PA0280;PA0283;PA3444;PA3875;PA3872;PA3183;PA0524;PA5355
44	PA0232;PA0231;PA3187;PA0106;PA0228;PA0226;PA4912;PA4911;PA2682;PA2512;PA5435;PA2513;PA3364;PA2509;PA4899;PA3182;PA2507;PA4588;PA0227;PA2508;PA2514;PA2321;PA3183;PA2862;PA3181;PA3568;PA0605;PA0606;PA0230;PA5035	PA0872;PA2008;PA0510;PA1657;PA2685;PA2194;PA2193;PA0870;PA1555;PA2009;PA2000;PA2007;PA1999;PA4211;PA1696;PA0865;PA0899;PA3874;PA1556;PA4217
45	PA2947;PA5281;PA3512;PA2810;PA0204;PA0205;PA0202;PA0203;PA4971	PA5142;PA0296;PA0650;PA4565;PA2640;PA5045;PA4500;PA4953;PA4425;PA3480;PA4776;PA4411;PA5153
46	PA5559;PA4007;PA4246;PA4259;PA4251;PA3352;PA1092;PA3105;PA2742;PA4260;PA4433;PA4257;PA4256;PA3807;PA4274;PA4254;PA3001;PA4267;PA4751;PA4264;PA4262;PA5489;PA5558;PA4232;PA4242;PA1432;PA4239;PA4245;PA0579;PA5067;PA3351;PA1582;PA4271;PA4273;PA5556;PA4247;PA4248;PA4385;PA1588;PA4568;PA3162;PA0336;PA4258;PA5066;PA4249;PA4240;PA4261;PA2976;PA4263;PA4241;PA5119;PA4935	PA1303;PA4110
47	PA4588;PA5010;PA2947;PA2944;PA1867;PA4594;PA4259;PA1637;PA2675;PA1810;PA3315;PA1584;PA2822;PA4971	PA0482;PA5177;PA2407;PA1105;PA4776;PA5263;PA0036;PA1799;PA1726;PA3170
