feature	positive_signature	negative_signature
0	PA0223;PA1631;PA5422;PA4158;PA0682;PA0102;PA2857;PA1310	PA0895;PA2584;PA0363;PA0342;PA3211;PA2607;PA1674;PA4486;PA3861
1	PA1586;PA3159;PA3937;PA3187;PA1529;PA1061;PA3970;PA5313;PA0266;PA5429;PA3155;PA4969;PA0298;PA2105	PA4860;PA2553;PA3236;PA1984;PA3366;PA3095;PA2008;PA0795;PA0523;PA1555;PA2009;PA2352;PA2011;PA3570;PA0794;PA0579;PA2250;PA0865;PA3568;PA2013;PA5421;PA2000;PA1999;PA3569
2	PA0510;PA1920;PA5427;PA4235;PA4236;PA4130;PA2248;PA2446;PA4464;PA0518;PA1092;PA1049;PA5172;PA2512;PA0175;PA0401;PA1095;PA2003;PA1174;PA1555;PA2513;PA2445;PA3877;PA2442;PA1173;PA5230;PA4811;PA1556;PA4865;PA2443;PA0176;PA2247;PA5171;PA1094;PA4027;PA1561;PA0179;PA2250;PA3337;PA0835;PA2508;PA2444;PA2514;PA0177;PA0836;PA4866;PA0403;PA2000;PA0295;PA5415;PA5173;PA1999;PA0402	PA1002;PA3554;PA3552;PA4774;PA3557;PA1317;PA3558;PA5541;PA0604;PA0606;PA0605;PA3556;PA1001;PA1320;PA0603;PA1318;PA1319;PA4773;PA3193;PA4777;PA1321
3	PA5559;PA4246;PA4251;PA1984;PA5172;PA4269;PA3105;PA2742;PA4260;PA4433;PA1589;PA4257;PA4256;PA0254;PA4254;PA4242;PA4274;PA4267;PA4262;PA4865;PA5558;PA5171;PA4626;PA5429;PA5556;PA4248;PA4385;PA1588;PA4568;PA4249;PA4240;PA3475;PA4261;PA2976	PA2981;PA3028;PA1303
4	PA3914;PA4741;PA3870;PA2052;PA1856;PA1287;PA5570;PA0530;PA3877;PA5049;PA3875	PA4973;PA1976;PA5429;PA5100;PA5554;PA1982
5	PA5316;PA2858;PA4255;PA1807;PA0202;PA0011;PA0203	PA4053;PA0895;PA3666;PA4007;PA4733;PA2979;PA3211;PA3088;PA0650;PA2640;PA1101;PA4450;PA0887;PA4415;PA5337;PA5552;PA5499;PA5063;PA4939;PA5435
6	PA2947;PA4867;PA5281;PA1024;PA0196;PA4375;PA4977	PA3151;PA3159;PA2981;PA3148;PA0604;PA3152;PA2442;PA2444;PA5445
7	PA1950;PA3361;PA1249;PA0996	PA3639;PA1554;PA4588;PA3486;PA2638;PA1535;PA3505;PA3315;PA3721;PA3506;PA4729;PA1736;PA1602;PA4430;PA5429;PA0009;PA3498;PA2321;PA4688
8	PA2645;PA3584;PA3531;PA2649;PA2637	PA4225;PA4706;PA4230;PA4513;PA4224;PA3600;PA4226;PA4707;PA4158;PA4688;PA4228;PA4708;PA4470;PA5217;PA3405;PA4231
9		PA3151;PA3159;PA1095;PA3514;PA3156;PA3148;PA1094;PA4503;PA3152;PA2105;PA1092;PA2739;PA0958;PA3155;PA1086;PA3498;PA2104;PA3158;PA1087
10	PA4973;PA4401;PA2634;PA1809;PA3558;PA2009;PA4911;PA0976;PA1927;PA1024;PA5429;PA0195	PA3187;PA0228;PA2408;PA3541;PA2512;PA3195;PA3540;PA2513;PA3182;PA1432;PA2507;PA2323;PA4500;PA2412;PA2508;PA2514;PA2321;PA3183;PA2261;PA2265;PA3476;PA3181;PA3194;PA2263;PA3193;PA4307;PA5106
11	PA2507;PA4225;PA4091;PA4230;PA1856;PA4224;PA4470;PA2513;PA4226;PA2514;PA4228;PA5100;PA4708;PA2512;PA4687;PA4231	PA0024;PA4193;PA3531;PA2914;PA0494;PA3366
12	PA3584;PA0098;PA3514;PA4880;PA0887;PA3195;PA4290;PA5445	PA0747;PA2367;PA2413;PA2682;PA2408;PA5172;PA2512;PA3366;PA2003;PA0523;PA2366;PA2513;PA3364;PA2509;PA4351;PA0958;PA3570;PA2507;PA0604;PA1927;PA2412;PA2508;PA2444;PA2514;PA3876;PA3875;PA4205;PA0524;PA4206;PA2365;PA2889;PA2407;PA2409;PA3569;PA4207
