feature	positive_signature	negative_signature
24	PA0482;PA2592;PA1871;PA2247;PA2366;PA2634;PA1421;PA1317;PA1637;PA2248;PA1024;PA2541;PA2445;PA1319;PA1320;PA2365;PA2444;PA1318;PA1321;PA1799;PA5508	PA3181;PA4909;PA1001;PA5471;PA3182;PA3183
25	PA0502;PA0504;PA0503	PA1667;PA4225;PA0997;PA2592;PA4211;PA0998;PA1902;PA4130;PA2195;PA1249;PA3582;PA4217;PA1002;PA1657;PA2193;PA1174;PA3477;PA4226;PA3361;PA1904;PA2587;PA3418;PA3478;PA0996;PA3724;PA1000;PA0179;PA1656;PA3333;PA3479;PA3476;PA1669;PA0999;PA0177;PA2194;PA4230;PA1901;PA1659;PA4224;PA1658;PA1001;PA4133;PA1903;PA1905;PA2573;PA1660
26	PA3929;PA3930	PA0510;PA5427;PA0518;PA1049;PA5172;PA0519;PA1657;PA0523;PA2193;PA1557;PA1555;PA4351;PA3877;PA5230;PA1556;PA0024;PA5171;PA1561;PA3337;PA1656;PA3876;PA5497;PA3872;PA0524;PA0836;PA0295;PA5173
27	PA0997;PA0998;PA3600;PA0080;PA5539;PA1002;PA2008;PA4771;PA2193;PA2009;PA2012;PA0958;PA0996;PA0604;PA0084;PA1000;PA2014;PA0603;PA0083;PA0999;PA3476;PA2685;PA5436;PA2013;PA0605;PA1001	PA4613;PA1260;PA3187;PA2812;PA3194;PA0849;PA1249;PA2813;PA2811;PA3182;PA5445;PA2321
28	PA5378;PA3438;PA1514;PA5070;PA4524;PA3088;PA2608;PA1807;PA0927;PA2607	PA5353;PA3568;PA4073;PA4153;PA4148;PA4911;PA3382;PA2445;PA4152;PA5100;PA2444;PA1410;PA5098
29	PA1667;PA0997;PA2592;PA1661;PA1871;PA4211;PA1666;PA0998;PA1902;PA4130;PA2195;PA1249;PA1217;PA1662;PA4209;PA4217;PA1002;PA1657;PA2193;PA3477;PA3361;PA1904;PA3478;PA0996;PA3724;PA1000;PA1656;PA0865;PA3333;PA3479;PA0999;PA3476;PA4230;PA2194;PA1130;PA1901;PA1658;PA1668;PA1001;PA4133;PA1903;PA1905;PA1660	PA4918;PA5100
30	PA5559;PA4246;PA4007;PA1583;PA4259;PA5069;PA3043;PA4941;PA4268;PA1092;PA3103;PA4433;PA4257;PA3807;PA4274;PA4242;PA3001;PA4267;PA4751;PA4262;PA4264;PA5489;PA5558;PA4232;PA1585;PA5013;PA4239;PA4694;PA0579;PA5067;PA1582;PA4271;PA2623;PA4273;PA5556;PA4247;PA3814;PA4248;PA4385;PA1588;PA4568;PA3162;PA0336;PA5068;PA5066;PA4249;PA4240;PA4261;PA2976;PA4241;PA4937;PA4935	PA0954
31	PA4329;PA5304;PA4729;PA4774;PA5147	PA1874;PA1667;PA2592;PA4208;PA1661;PA1871;PA3187;PA4211;PA0998;PA1902;PA1670;PA4130;PA2195;PA2570;PA1217;PA1662;PA4209;PA4217;PA0132;PA1657;PA2193;PA3361;PA1904;PA3478;PA3724;PA1000;PA2412;PA1656;PA3333;PA4205;PA3479;PA1130;PA1901;PA1659;PA2566;PA4206;PA1658;PA0263;PA4133;PA1903;PA1905;PA1660;PA4207
32	PA0524;PA4867;PA0523;PA1557;PA5436;PA0518;PA4242;PA0519;PA4977	PA3151;PA3159;PA2981;PA5154;PA1421;PA3148;PA0968;PA2843;PA3152;PA3236;PA1003;PA3158
33	PA2812;PA2811;PA2813	PA3476;PA2512;PA3445;PA4192;PA3937;PA3446;PA3449;PA3443;PA2513;PA2514;PA2508;PA5471;PA0958;PA3444;PA3936;PA3938;PA3479
34	PA3131;PA3601;PA0336;PA2442;PA2962	PA3097;PA3300;PA2888;PA3310;PA0773;PA5045;PA4960;PA0263;PA0424;PA4759;PA5429;PA2908;PA2968;PA4846;PA2512;PA4676;PA1770
35	PA3554;PA3555;PA4189;PA3552;PA2317;PA3553;PA3557;PA3558;PA4073;PA0293;PA1024;PA3556;PA4776;PA4188;PA4777;PA4773;PA3559	PA3187;PA4125;PA4180;PA1092;PA4138;PA4128;PA4148;PA4123;PA4152;PA1696;PA4121;PA1693;PA1719;PA4163;PA4122;PA1430;PA4158;PA4127;PA1698;PA4153;PA4133;PA4124
36	PA1317;PA1319;PA2813;PA1318;PA0782	PA1667;PA0997;PA2592;PA1661;PA1871;PA4211;PA1666;PA0998;PA1902;PA4130;PA2195;PA1662;PA5172;PA2512;PA5538;PA4209;PA4217;PA1657;PA2193;PA1555;PA2513;PA3361;PA1904;PA1556;PA3478;PA0996;PA3724;PA1000;PA1656;PA2514;PA3333;PA3479;PA0999;PA3476;PA1130;PA2194;PA1901;PA1659;PA1658;PA1668;PA1001;PA4133;PA5173;PA1903;PA3475;PA1905;PA1660
37	PA4189;PA0223;PA2740;PA3315;PA3513;PA0010;PA4158;PA2518;PA2579	PA1798;PA2611;PA2584;PA4310;PA5152;PA3751;PA4483;PA5012;PA4626;PA4663;PA4309;PA3618;PA3175;PA5539;PA4284;PA0550
38	PA0510;PA5427;PA4235;PA4236;PA4464;PA0518;PA1049;PA5172;PA0519;PA2193;PA1557;PA1555;PA3877;PA5230;PA1556;PA0024;PA5171;PA1561;PA3337;PA0835;PA5497;PA4431;PA3531;PA0836;PA5495;PA0403;PA0295;PA5173	PA2008;PA4225;PA4230;PA3724;PA1317;PA4470;PA2009;PA2513;PA0849;PA2000;PA4226;PA2514;PA2007;PA3929;PA4228;PA1999;PA2444;PA2512;PA0865;PA4205;PA3930
39		PA3553;PA3446;PA1249;PA3938;PA3559;PA1179;PA3552;PA4774;PA3557;PA5020;PA4226;PA1566;PA3556;PA4228;PA4773;PA1180;PA4777;PA3554;PA3555;PA0130;PA4776;PA3558
40	PA2652;PA4225;PA4310;PA0106;PA0228;PA0226;PA2682;PA1249;PA2512;PA3526;PA1737;PA2513;PA1736;PA4226;PA2509;PA4899;PA4228;PA4435;PA0935;PA2507;PA2247;PA0227;PA3349;PA3348;PA2508;PA2514;PA4231;PA4230;PA4520;PA3568;PA4224;PA2654;PA2296	PA4206;PA4205;PA0844;PA4130;PA1927;PA0678;PA0051;PA2570;PA1501;PA4133;PA3541;PA1923;PA4207;PA3547;PA1253;PA3545;PA5355
41	PA3584;PA1421;PA0265;PA4880;PA4811;PA4812;PA3582;PA0266;PA0494;PA3356	PA3870;PA3600;PA1694;PA2570;PA1070;PA5539;PA1717;PA2232;PA5538;PA1657;PA2003;PA1690;PA1697;PA1725;PA1072;PA1923;PA1696;PA1693;PA2913;PA1719;PA3914;PA1701;PA1695;PA0849;PA1723;PA4064;PA3875;PA1703;PA1691;PA1698;PA1722;PA4973;PA3601;PA5541;PA1724;PA1779;PA4065;PA1716;PA1692
42	PA0245;PA4568;PA0685;PA2513;PA4953;PA4375;PA5524;PA2514	PA2981;PA3517;PA3148;PA4503;PA3506;PA1927;PA4504;PA1668;PA5173;PA4976;PA3498;PA0996
43	PA3540;PA1317;PA3236;PA1318;PA2444;PA0865;PA3545	PA0510;PA4225;PA3870;PA4443;PA3442;PA3446;PA0998;PA3935;PA3938;PA4774;PA4771;PA1856;PA3443;PA4226;PA0281;PA4228;PA2600;PA2083;PA3182;PA3937;PA3874;PA3914;PA5025;PA3444;PA2598;PA3936;PA3876;PA3875;PA3872;PA2321;PA3183;PA4231;PA4230;PA3445;PA4224;PA3194;PA2263;PA4307
44	PA3896	PA4741;PA1583;PA5316;PA5242;PA0002;PA4944;PA4464;PA4268;PA4238;PA1457;PA3745;PA2742;PA4406;PA1581;PA4433;PA1505;PA4257;PA2638;PA2970;PA5570;PA1580;PA4272;PA1552;PA3656;PA1584;PA5337;PA4274;PA4254;PA5013;PA4242;PA4751;PA4262;PA4239;PA1770;PA4245;PA4243;PA3159;PA3629;PA0579;PA4563;PA0555;PA4255;PA3348;PA4417;PA4425;PA4244;PA4273;PA4247;PA3814;PA1588;PA2634;PA3162;PA4568;PA4258;PA5110;PA4252;PA3742;PA4671;PA4249;PA4240;PA1010;PA4263;PA4241;PA2741
45	PA3151;PA5010;PA2890;PA2368;PA4548;PA2843;PA1668;PA1806;PA4482;PA2962;PA0934	PA2639;PA4867;PA5221;PA4470;PA5298;PA3600;PA0685;PA4454;PA1552;PA5429;PA1320;PA0357;PA0865;PA5508
46	PA0510;PA0025;PA0024;PA0523;PA0524;PA3392;PA3874;PA4811;PA0518;PA1984;PA3875;PA4812;PA4810;PA0519;PA3872	PA0999;PA3476;PA0997;PA4773;PA2634;PA3724;PA0998;PA4502;PA2513;PA2514;PA2682;PA1319;PA2512
47	PA1554;PA0997;PA2592;PA1871;PA0998;PA4130;PA2195;PA1249;PA2193;PA3477;PA4880;PA4226;PA4228;PA2587;PA1003;PA1432;PA0996;PA1770;PA3724;PA1000;PA0854;PA3333;PA3479;PA0999;PA3476;PA4230;PA2194;PA1001;PA4133;PA4211;PA0143	PA3554;PA3555;PA4773;PA3552;PA3553;PA3557;PA3452;PA3568;PA3558;PA2018;PA1024;PA3556;PA4777;PA2019;PA0494;PA3559
48	PA0510;PA5427;PA4235;PA4236;PA4464;PA0518;PA1049;PA5172;PA2512;PA2232;PA0519;PA0523;PA1557;PA1555;PA2513;PA3877;PA5230;PA4811;PA1556;PA3874;PA0025;PA5171;PA1561;PA3337;PA0835;PA2514;PA3876;PA5497;PA3875;PA3872;PA3531;PA0524;PA0836;PA5495;PA0295;PA5173;PA4812	PA1179;PA4230;PA1317;PA1905;PA1902;PA4226;PA1319;PA1904;PA4228;PA1320;PA4211
49	PA1976;PA4208;PA2153;PA2352;PA4207	PA0872;PA1130;PA0878;PA3608;PA1094;PA2513;PA2514;PA0879;PA2605;PA2232;PA3582;PA1320;PA1135;PA2512;PA4470
50	PA2438;PA5498;PA5500;PA3601;PA5541;PA3600;PA1927;PA4065;PA5388;PA1923;PA2912;PA5539;PA5499;PA5501;PA4064;PA5538;PA2913	PA4122;PA4125;PA4123;PA0524;PA3187
51	PA2507;PA1655;PA4230;PA0228;PA2513;PA2509;PA2446;PA2514;PA2508;PA2444;PA2512;PA2011;PA5106	PA3553;PA3187;PA2212;PA3582;PA3195;PA3559;PA1256;PA3584;PA3552;PA4774;PA3182;PA4773;PA3554;PA2165;PA4776;PA4205;PA2321;PA3183;PA3181;PA3558;PA3194;PA3193
52	PA2566;PA3384;PA1813;PA4351;PA2570;PA2022;PA3372;PA0347;PA0108;PA0424	PA4260;PA1576;PA4257;PA4258;PA4256;PA4259;PA3443;PA0920;PA0552;PA4262;PA5075
53	PA0083;PA5523;PA3584;PA4225;PA4230;PA2862;PA2413;PA2412;PA1736;PA4226;PA1423;PA4228;PA3582;PA0958;PA4470;PA1003;PA4231	PA3914;PA0524;PA2649;PA1602;PA0130;PA3877;PA1811;PA2444;PA3876
54	PA2553;PA0106;PA3415;PA4733;PA3417;PA3416;PA1342;PA2232;PA3526;PA5213;PA1179;PA1930;PA1080;PA4309;PA1074;PA1003;PA3349;PA3348;PA3568;PA4290;PA2573;PA0704	PA4443
55	PA3607;PA3609;PA5118;PA3608;PA4646;PA3610	PA0747;PA2553;PA0106;PA4236;PA2248;PA1249;PA2815;PA3582;PA0105;PA5172;PA2008;PA2366;PA0870;PA1174;PA2009;PA3477;PA2007;PA3418;PA1135;PA4751;PA3570;PA5058;PA5171;PA3724;PA0179;PA2623;PA0865;PA1247;PA3479;PA0177;PA2015;PA2013;PA5173;PA2365;PA1562;PA2573
56	PA0510;PA0024;PA0025;PA0524;PA0523;PA1856;PA3392;PA4235;PA0519;PA2691;PA0518;PA3875;PA1092;PA3874;PA3872;PA3814	
57	PA4443;PA5080;PA2105;PA1838;PA3742;PA1959;PA4773;PA5304;PA2104;PA4442	PA0510;PA4130;PA2570;PA0518;PA3236;PA0519;PA3366;PA4217;PA5372;PA0523;PA3392;PA5373;PA3364;PA3877;PA3874;PA5417;PA5379;PA3914;PA5419;PA3876;PA3875;PA3872;PA5416;PA0524;PA5420;PA0504;PA5421;PA3152;PA5155;PA5272;PA5418
58	PA1694;PA1717;PA1690;PA1697;PA1725;PA2445;PA5516;PA2442;PA1696;PA1693;PA1719;PA1701;PA1695;PA1723;PA2444;PA1703;PA1691;PA1722;PA1698;PA4973;PA1724;PA1716;PA1692	PA4225;PA3870;PA5522;PA3600;PA0293;PA4750;PA5538;PA4217;PA5366;PA3392;PA4226;PA4228;PA3877;PA3874;PA4064;PA3875;PA3872;PA4231;PA4230;PA0524;PA4224;PA3601;PA5541
59	PA3151;PA3159;PA4918;PA3156;PA3148;PA2105;PA4503;PA3152;PA0958;PA3155;PA4280;PA4919;PA2104;PA3158	PA0494;PA1000
60	PA0232;PA0228;PA0226;PA0154;PA4415;PA3582;PA4810;PA0244;PA0501;PA1027;PA4761;PA4899;PA3182;PA2019;PA5147;PA5236;PA0227;PA2018;PA4418;PA2321;PA3183;PA3333;PA4385;PA0230;PA4812	PA2584;PA1871;PA3100;PA1976;PA3477;PA1311;PA3296;PA2444;PA0684;PA1982;PA3569;PA2105;PA3570
61	PA3476;PA1179;PA3156;PA3579;PA1180;PA3650;PA1602;PA2512;PA1432;PA5332	PA3187;PA4024;PA2446;PA1984;PA2828;PA0872;PA2008;PA0523;PA0870;PA3392;PA2009;PA1904;PA2445;PA2007;PA2813;PA3527;PA0609;PA5445;PA3874;PA2629;PA2444;PA1341;PA0865;PA3875;PA2862;PA0524;PA2000;PA5415;PA0887;PA1999;PA4290
62	PA2592;PA4211;PA5281;PA1902;PA0896;PA1092;PA5315;PA5172;PA4209;PA4217;PA5378;PA5298;PA1904;PA3877;PA1770;PA4867;PA5171;PA1750;PA3004;PA0865;PA5505;PA4454;PA1903;PA1905	PA2890;PA5353;PA2888;PA5354;PA2889;PA2887;PA5355
63	PA2507;PA4385;PA4918;PA0228;PA0226;PA0227;PA2513;PA2509;PA2514;PA5304;PA2682;PA5429;PA0230;PA2508;PA2512;PA4919	PA4910;PA1657;PA1260;PA4410;PA1514;PA4740;PA1810;PA2014;PA3364;PA1807;PA1806;PA4470;PA3366
64	PA4225;PA4230;PA4687;PA4224;PA0604;PA4351;PA1000;PA4226;PA4228;PA4708;PA4470;PA5217;PA4231	PA5100;PA1179;PA3531;PA2637
65	PA4969;PA3498;PA2813	PA3553;PA3600;PA3935;PA5539;PA5501;PA3938;PA5538;PA3559;PA1179;PA3443;PA5020;PA1923;PA2912;PA5499;PA3937;PA2913;PA3554;PA5500;PA1927;PA3337;PA4064;PA3444;PA3445;PA3558;PA3601;PA5541;PA4065;PA2550
66	PA5154;PA3181;PA3452;PA3187;PA3194;PA1338;PA2009;PA3195;PA3182;PA1341;PA0865;PA1466;PA3333;PA2321;PA3183	PA5096;PA1646;PA3628;PA5377;PA0844;PA3236;PA2512;PA5106;PA5372;PA2003;PA1555;PA2513;PA5100;PA5091;PA1556;PA3874;PA4865;PA5417;PA5098;PA5379;PA3629;PA2507;PA4867;PA5419;PA2508;PA2514;PA3876;PA3875;PA3872;PA5416;PA5093;PA5420;PA4866;PA5421;PA5092;PA5376;PA5418
67	PA4695;PA4443;PA2203;PA2599;PA3442;PA1756;PA3446;PA4193;PA5036;PA5281;PA3935;PA3931;PA2594;PA2310;PA3938;PA4442;PA1179;PA3443;PA0196;PA2309;PA0281;PA2083;PA2600;PA3937;PA2062;PA3554;PA4694;PA4192;PA1493;PA1838;PA0280;PA0283;PA3444;PA2598;PA3936;PA3121;PA3448;PA4194;PA4195;PA5103;PA0282;PA2204;PA3445;PA2202;PA3449;PA3120;PA5035	PA2553;PA2248;PA0782;PA1602;PA5172;PA3545;PA0872;PA2008;PA0523;PA5302;PA0870;PA3540;PA2009;PA2007;PA2445;PA4152;PA5100;PA3570;PA5098;PA2247;PA2014;PA2249;PA2250;PA0865;PA2555;PA3560;PA2000;PA5173;PA1999;PA5304;PA5106
68	PA2584;PA3651;PA3642;PA3187;PA1317;PA1959;PA0421;PA4700;PA1674;PA3821;PA3861;PA2969	PA0997;PA2599;PA3442;PA3446;PA0998;PA3935;PA3931;PA5172;PA3447;PA3938;PA4217;PA3443;PA2600;PA3937;PA0996;PA5025;PA1000;PA0283;PA3444;PA2598;PA0193;PA3448;PA3936;PA2084;PA0999;PA4973;PA3445;PA3449;PA0184;PA1001
69	PA0652;PA5559;PA1583;PA4403;PA4740;PA4251;PA5560;PA5128;PA3471;PA4268;PA1092;PA2744;PA0934;PA1581;PA4257;PA4256;PA3807;PA5570;PA4748;PA3822;PA4242;PA3001;PA4267;PA5013;PA4239;PA5558;PA0546;PA4846;PA3686;PA0432;PA0579;PA5051;PA5557;PA4241;PA1582;PA4255;PA4449;PA4271;PA4042;PA2648;PA4450;PA4425;PA5556;PA4385;PA1588;PA4568;PA4671;PA1587;PA4249;PA4240;PA4261;PA4211;PA5554;PA4457;PA5555;PA5241;PA4935	PA0158
70	PA3151;PA3159;PA2592;PA3156;PA3148;PA3155;PA3152;PA3350;PA2232;PA3158	PA1655;PA1095;PA4773;PA2634;PA4774;PA1094;PA4502;PA1024;PA4504;PA1092;PA4776;PA1086;PA4506;PA4811;PA5445;PA4777;PA1087
71	PA1002;PA0357;PA1257;PA2473;PA3512	PA3138;PA3687;PA5163;PA0336;PA5009;PA4733;PA5192;PA4565;PA5422;PA0949;PA1102;PA1905;PA5312;PA0402;PA2011
72	PA2507;PA1317;PA1318;PA1933	PA3914;PA0524;PA5051;PA3187;PA4122;PA4696;PA4430;PA0518;PA2648;PA4676;PA0519
73	PA4695;PA3187;PA5036;PA3195;PA2264;PA3151;PA4613;PA0523;PA5015;PA3182;PA3155;PA3159;PA2323;PA0849;PA3158;PA3183;PA2321;PA2265;PA2261;PA3181;PA0524;PA3194;PA0887;PA2263;PA3193;PA5035	PA1657;PA1421;PA0870;PA2009;PA4055;PA5020;PA0782;PA0263;PA1658;PA5417;PA2550
74	PA3187;PA1904;PA3556;PA4211;PA3333;PA4217	PA0510;PA4193;PA3446;PA2413;PA0896;PA2408;PA0518;PA2512;PA0519;PA4442;PA0523;PA1856;PA1287;PA3392;PA2513;PA2691;PA0281;PA2507;PA1719;PA0025;PA4192;PA0280;PA2412;PA0283;PA0897;PA3444;PA2514;PA4195;PA4470;PA4194;PA2204;PA0524
75	PA2438;PA5498;PA5500;PA3601;PA5541;PA3600;PA1927;PA2914;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA5538;PA2913	PA4230;PA5302;PA3187;PA5172;PA2514;PA0865;PA5304
76	PA1179	PA0510;PA4225;PA4193;PA2413;PA2904;PA0518;PA0519;PA0523;PA1856;PA1317;PA3392;PA4226;PA2691;PA4228;PA3182;PA3874;PA1321;PA0024;PA0025;PA4192;PA1927;PA2412;PA0130;PA1320;PA4470;PA5497;PA3875;PA3872;PA4205;PA4231;PA3183;PA3814;PA4230;PA3181;PA0524;PA4206;PA1319;PA1318;PA4207
77	PA0652;PA3584;PA3531;PA1610;PA0782;PA4124	PA4910;PA4225;PA0747;PA2553;PA5377;PA3600;PA1217;PA0242;PA3236;PA5372;PA5378;PA4226;PA4228;PA2912;PA2012;PA5417;PA3570;PA2011;PA5379;PA5098;PA2014;PA2412;PA5419;PA4829;PA4205;PA5416;PA4231;PA4230;PA4224;PA3568;PA5420;PA5541;PA4206;PA5421;PA2000;PA0230;PA4207;PA5376;PA3569;PA5418
78	PA2360;PA0275;PA5522;PA1997;PA4901;PA0174;PA0173;PA0175;PA1252;PA2361	PA1581;PA3639;PA2634;PA2444;PA5557;PA2644;PA1582;PA2014;PA2000;PA5429;PA2826;PA4244;PA0609;PA0009;PA3569;PA3366;PA2011
