feature	positive_signature	negative_signature
0	PA5559;PA4741;PA4246;PA1583;PA4259;PA5316;PA4251;PA4944;PA5560;PA4464;PA4268;PA4250;PA4238;PA3745;PA2742;PA5332;PA3637;PA4260;PA4433;PA1581;PA4257;PA2638;PA4761;PA5570;PA1580;PA4272;PA5304;PA3656;PA5337;PA4263;PA4274;PA4254;PA3001;PA4267;PA4751;PA4264;PA4262;PA5558;PA5013;PA4242;PA4239;PA4245;PA4243;PA0432;PA0579;PA4241;PA4563;PA3351;PA1582;PA1000;PA4253;PA4255;PA4271;PA4244;PA2623;PA4942;PA4273;PA4247;PA3814;PA4248;PA4385;PA1588;PA2634;PA3162;PA4568;PA4258;PA4671;PA4252;PA4249;PA1010;PA5554;PA5555;PA2741	PA4351
1	PA4051;PA4193;PA4192;PA1224;PA2018;PA2232;PA2019;PA4195	PA3476;PA1095;PA3486;PA1094;PA0604;PA4500;PA4504;PA0605;PA1249;PA1092;PA0603;PA1086;PA1087
2	PA4443;PA4193;PA3446;PA2413;PA3931;PA2408;PA2512;PA4442;PA1856;PA2513;PA2390;PA0281;PA2389;PA4192;PA0280;PA2531;PA2412;PA0283;PA4708;PA2514;PA4470;PA4194;PA0282;PA2204;PA4230;PA2407;PA2409	
3	PA2217;PA1165;PA5242;PA5422;PA5228;PA0357;PA3498;PA3814	PA4694;PA1437;PA3438;PA0425;PA0967;PA3777;PA4232;PA3028;PA3314
4		PA4088;PA4038;PA4089;PA3914;PA3375;PA1146;PA3589;PA3449;PA5541;PA0844;PA0325;PA0324;PA4859;PA3590;PA5354;PA3877;PA3876;PA0222;PA3379
5	PA1950;PA3568;PA5242;PA3600;PA5045;PA2018;PA1927;PA3337;PA1984;PA2508;PA4290;PA4811;PA3333	PA2008;PA3914;PA4431;PA4257;PA5522;PA2009;PA3005;PA4696;PA5313;PA0896;PA5554;PA5556;PA0009;PA5304;PA3875;PA2776
6	PA0203;PA3498;PA0324;PA0204;PA3513	PA4260;PA4264;PA3666;PA5555;PA4934;PA4567;PA4563;PA5192;PA3742;PA4249;PA3763;PA3361;PA4238;PA1457;PA1102;PA1081;PA4429;PA1464;PA2742
7	PA1719;PA2160;PA3584;PA1701;PA1691;PA1698;PA1722;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA0500;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703	PA0083;PA2685;PA3187;PA3560;PA0084;PA0085
8	PA2366;PA0106;PA0325;PA0685;PA2446;PA4351;PA5415;PA2445;PA1984;PA4375;PA2442;PA2444;PA0347;PA2443;PA0108;PA0550;PA0107	PA3476;PA5084;PA0851;PA3131;PA0604;PA3513;PA1602;PA1656;PA3582
9		PA3151;PA3159;PA1095;PA3514;PA3156;PA3148;PA1094;PA4503;PA3152;PA2105;PA1092;PA2739;PA0958;PA3155;PA1086;PA3498;PA2104;PA3158
10	PA5372;PA3562;PA3584;PA1421;PA1946;PA3561;PA3579;PA4645;PA3560;PA5373;PA1602;PA0266;PA3582;PA2253;PA4211;PA4435;PA5508	PA4225;PA4193;PA2553;PA3187;PA2248;PA2446;PA0782;PA1984;PA0036;PA2008;PA1557;PA2009;PA4502;PA4226;PA4504;PA1072;PA2445;PA4228;PA2442;PA2007;PA3570;PA5098;PA2247;PA2250;PA2444;PA0865;PA2321;PA3320;PA4230;PA4973;PA4224;PA2000;PA1999;PA1073;PA3569
11	PA0083;PA4230;PA5171;PA0084;PA1602;PA4226;PA3877;PA4228;PA1692	PA4443;PA2203;PA4193;PA3442;PA1756;PA2599;PA3446;PA2446;PA3935;PA3931;PA2594;PA3447;PA2310;PA3938;PA4442;PA3443;PA2309;PA2445;PA0281;PA2086;PA2600;PA2083;PA3937;PA2062;PA2308;PA4192;PA1838;PA0280;PA0283;PA3444;PA2444;PA2598;PA5103;PA3448;PA3936;PA4194;PA2084;PA0186;PA4195;PA0282;PA2204;PA4973;PA3517;PA3445;PA2202;PA3449
12	PA5415;PA3531;PA2444	PA4225;PA4706;PA4230;PA4513;PA4224;PA4470;PA4202;PA4226;PA4707;PA4158;PA1319;PA4228;PA1320;PA4231;PA1318;PA4708;PA4687;PA5217;PA3333;PA4688
13	PA0024;PA0523;PA0524;PA1856;PA2413;PA3392;PA3600;PA2412;PA2691;PA0518;PA2408;PA3877;PA2407;PA2409;PA4470;PA0519;PA3814	PA1701;PA3568;PA1976;PA2001;PA2000;PA0887;PA4290;PA2444;PA1696;PA3366
14	PA0872;PA3187;PA2323;PA0678;PA1999;PA2444;PA0865;PA2321	PA4912;PA4911;PA1694;PA3236;PA1717;PA5137;PA1690;PA1697;PA4909;PA1725;PA4913;PA1696;PA5417;PA1693;PA1719;PA1701;PA1695;PA1723;PA1703;PA1691;PA1722;PA1698;PA5420;PA5421;PA1724;PA1716;PA1692
15	PA0997;PA2592;PA4211;PA0998;PA1902;PA4778;PA2195;PA4209;PA4217;PA1002;PA1657;PA2193;PA3477;PA1904;PA2587;PA1003;PA0996;PA1432;PA3724;PA1000;PA1656;PA3333;PA3479;PA0999;PA3476;PA2194;PA1901;PA1658;PA1001;PA4133;PA1903;PA3475;PA1905;PA0143	PA2536;PA3569;PA4064;PA1024
16	PA4786;PA4901;PA1092;PA5106	PA3013;PA4741;PA4246;PA1583;PA4259;PA5316;PA4740;PA5560;PA3832;PA5315;PA3637;PA4217;PA1581;PA4433;PA1179;PA4432;PA4257;PA2970;PA4256;PA5570;PA1580;PA4272;PA1552;PA4748;PA3822;PA1584;PA4274;PA3527;PA5013;PA4267;PA4242;PA4262;PA3636;PA4239;PA0546;PA4245;PA4243;PA3686;PA0432;PA0579;PA5051;PA5557;PA4483;PA4241;PA1582;PA4696;PA1553;PA4255;PA4449;PA4271;PA4450;PA4244;PA3480;PA4942;PA4273;PA4247;PA5568;PA3814;PA0963;PA3167;PA2634;PA4671;PA1156;PA4252;PA3742;PA4670;PA4430;PA4240;PA4747;PA4261;PA4211;PA4429;PA5555;PA5215
17	PA2652;PA1657;PA1719;PA1078;PA4307;PA4310;PA5436;PA3187;PA1083;PA1080;PA4309;PA1101;PA1092;PA1077;PA1081;PA1082;PA3526;PA1079	PA3459;PA2317;PA4774;PA3547;PA3540;PA2020;PA3558;PA4880;PA2018;PA3569;PA2022;PA3541;PA2815;PA3570;PA3551;PA2569;PA2019;PA4777;PA3545;PA4110
18	PA4376;PA2574;PA0589;PA4211	PA5559;PA1586;PA3013;PA0427;PA5371;PA4237;PA4687;PA3356;PA4053;PA4260;PA4433;PA3151;PA3514;PA5570;PA5337;PA3155;PA3159;PA4244;PA5063;PA4971;PA3158;PA1587;PA3742;PA4252;PA3505;PA3152;PA4240;PA5259
19	PA4973;PA0747;PA4192;PA3446;PA3187;PA1838;PA3512;PA1326;PA3513;PA3569;PA1341;PA2012;PA1337;PA1342;PA3498;PA4442	PA4092;PA3584;PA3719;PA5500;PA3601;PA5541;PA3600;PA4065;PA1923;PA3582;PA4064;PA5539;PA1320;PA5538
20	PA3914;PA5523;PA4741;PA5570;PA5522;PA3600;PA3382;PA2570;PA3361;PA3877;PA1931;PA4452;PA5049;PA4810;PA3875	PA5075;PA5119;PA0065
21	PA2947;PA2948;PA3181;PA4771;PA4973;PA3187;PA1317;PA2382;PA0035;PA2272;PA3182;PA3195;PA2105;PA2321;PA3183	PA3553;PA4941;PA1092;PA3582;PA4810;PA3366;PA3559;PA5508;PA3562;PA1095;PA3584;PA1179;PA3552;PA4774;PA3557;PA3561;PA3579;PA3556;PA4773;PA4811;PA5445;PA1180;PA4777;PA3554;PA3555;PA1094;PA0849;PA4776;PA2253;PA4942;PA1421;PA3560;PA3558;PA4454;PA4812;PA1086
22	PA1586;PA4329;PA3876;PA1809;PA1587;PA0085;PA2018;PA5373;PA4412;PA0597;PA3820;PA4389;PA3874	PA1874;PA1871;PA4208;PA4211;PA1901;PA3724;PA1317;PA3568;PA4205;PA3721;PA2566;PA4206;PA2570;PA3361;PA1217;PA1903;PA1905;PA3195;PA3478;PA3479;PA4207
23	PA5141;PA5304;PA1277;PA5508	PA2367;PA3417;PA1902;PA3416;PA1249;PA2815;PA0105;PA1092;PA0175;PA1930;PA2366;PA1174;PA3392;PA3418;PA1173;PA1094;PA2920;PA0177;PA0524;PA2368;PA2365;PA5355
