feature	positive_signature	negative_signature
0	PA0999;PA5523;PA3514;PA5522;PA2363;PA2250;PA2442;PA4452	PA5119;PA1717
1	PA3822;PA3495;PA5332	PA3013;PA0427;PA4401;PA4733;PA3005;PA5371;PA3352;PA1342;PA4687;PA3356;PA5435;PA4053;PA3151;PA5570;PA4412;PA5337;PA3159;PA4244;PA5063;PA4939;PA5110;PA4758;PA3742;PA3152;PA5259
2	PA1874;PA1871;PA4208;PA0106;PA3415;PA4130;PA2446;PA3416;PA2570;PA0105;PA3212;PA0107;PA0180;PA1930;PA2366;PA2371;PA2445;PA2370;PA2290;PA5058;PA4205;PA2566;PA4206;PA2365;PA4207;PA0108	PA0510;PA0524;PA3392;PA0403;PA0518;PA3551;PA0401;PA0519;PA4217
3	PA2548;PA5549;PA3506;PA0204	PA4242;PA4694;PA3792;PA5163;PA1588;PA4567;PA4563;PA5192;PA4565;PA1580;PA3742;PA4249;PA4464;PA4250;PA1457;PA4254;PA5315;PA4429;PA5555;PA2742
4	PA3628;PA4497;PA0226;PA0228;PA4912;PA4911;PA2682;PA1984;PA2512;PA1179;PA3584;PA1287;PA4909;PA2513;PA4502;PA2509;PA4504;PA4913;PA0958;PA4786;PA2507;PA0227;PA4503;PA2508;PA2514;PA4505;PA2862;PA3568;PA5421	PA4771;PA2857;PA2193;PA0782;PA3373;PA4839;PA0494;PA5445;PA4205;PA0865;PA4217
5	PA1646;PA3628;PA5377;PA0844;PA1984;PA0582;PA3236;PA5388;PA0583;PA5372;PA5378;PA5422;PA4913;PA1252;PA5417;PA2507;PA3629;PA5379;PA0227;PA5419;PA1982;PA5416;PA5420;PA5421;PA5415;PA5376;PA5418	PA0132;PA3721;PA5508
6	PA2514;PA2512;PA4773;PA2513;PA4774	PA0510;PA4443;PA4208;PA2203;PA3442;PA4193;PA1756;PA3446;PA2446;PA3935;PA3931;PA0518;PA3516;PA2594;PA3938;PA0519;PA4442;PA2008;PA0523;PA5302;PA1856;PA1317;PA3392;PA2009;PA3443;PA2691;PA2445;PA2007;PA2442;PA0281;PA3937;PA2443;PA0025;PA4192;PA1838;PA0280;PA0283;PA1320;PA3444;PA2444;PA3936;PA0865;PA4195;PA4194;PA4205;PA0282;PA2204;PA3445;PA0524;PA2202;PA3449;PA4206;PA5415;PA3551;PA4207
7		PA4088;PA4038;PA4089;PA3914;PA1146;PA3589;PA3449;PA5541;PA0844;PA0325;PA0324;PA4859;PA3590;PA5354;PA3877;PA5539;PA0222;PA3379
8	PA3553;PA3442;PA3446;PA0082;PA0077;PA0079;PA0088;PA0293;PA0080;PA0078;PA3938;PA3559;PA1179;PA3552;PA4774;PA1078;PA3557;PA3443;PA3556;PA0090;PA0958;PA4773;PA0075;PA1180;PA0081;PA1079;PA3554;PA3555;PA0091;PA0084;PA0085;PA3444;PA0074;PA3333;PA0087;PA0083;PA2685;PA3558;PA4188;PA0089;PA1073	PA5096;PA1602;PA4125;PA4180;PA3236;PA3541;PA3545;PA3540;PA4128;PA4123;PA4152;PA5100;PA4121;PA5098;PA4163;PA4122;PA4127;PA5420;PA5421;PA4153;PA4133;PA4124;PA3547;PA5106
9	PA4089;PA2674;PA2675;PA0325;PA4994;PA3896	PA4741;PA1583;PA5316;PA5242;PA0002;PA4944;PA5560;PA4464;PA4268;PA4238;PA1457;PA3745;PA4406;PA3637;PA1581;PA4433;PA1505;PA4257;PA2638;PA2970;PA5570;PA1552;PA3656;PA1584;PA5337;PA4254;PA4242;PA5013;PA4239;PA4751;PA4262;PA1770;PA4245;PA4243;PA3629;PA3686;PA0579;PA1582;PA4255;PA3348;PA4417;PA4425;PA4244;PA4273;PA4247;PA3814;PA0963;PA1588;PA2634;PA3162;PA5110;PA4671;PA4252;PA3742;PA4249;PA4240;PA3645;PA1010;PA5554;PA4241;PA2741
