feature	positive_signature	negative_signature
14	PA4403;PA4402;PA4740;PA5128;PA3471;PA3834;PA2744;PA0401;PA4693;PA3527;PA3482;PA0546;PA2740;PA2991;PA5278;PA5505;PA0482;PA5555;PA4758;PA1013;PA3746;PA5192;PA4069;PA5237;PA4430;PA3822;PA4389	PA1535;PA3713;PA1326;PA2887;PA4901
15	PA2059;PA3310;PA5228;PA1598;PA2806;PA0030	PA4283;PA0157;PA2536;PA3187;PA1292;PA5514;PA5066;PA4988;PA3217;PA5493;PA0548;PA3659;PA4662;PA3725;PA4812;PA4969
16	PA2811	PA1667;PA0997;PA2592;PA1661;PA4211;PA1666;PA0998;PA1902;PA1670;PA4130;PA2195;PA2570;PA1217;PA1662;PA4144;PA4209;PA4217;PA1002;PA1657;PA2193;PA3361;PA1904;PA3478;PA0996;PA3724;PA1000;PA1656;PA3333;PA3479;PA0999;PA1669;PA3476;PA1130;PA2194;PA1901;PA1659;PA1658;PA1668;PA1001;PA4133;PA1903;PA1905;PA1660
17	PA3609;PA1277;PA3607;PA3608;PA5118;PA4645;PA2906;PA0072;PA1280;PA3610	PA4211;PA0747;PA0106;PA4236;PA1249;PA0105;PA0107;PA2008;PA1174;PA2009;PA3477;PA3418;PA3570;PA5058;PA5171;PA0179;PA4500;PA3337;PA0865;PA3479;PA0177;PA2015;PA2365;PA1905;PA2573;PA0108;PA5153;PA2550
18	PA5559;PA4937;PA4007;PA4246;PA4259;PA4251;PA1092;PA2742;PA4260;PA4433;PA4257;PA4256;PA3807;PA4272;PA4263;PA4274;PA4254;PA3001;PA4267;PA4751;PA4264;PA4262;PA5558;PA4232;PA4242;PA4239;PA4245;PA0579;PA5067;PA3351;PA1582;PA4253;PA3999;PA4271;PA0428;PA4273;PA5046;PA5556;PA4247;PA2907;PA4248;PA4385;PA1588;PA4568;PA0336;PA4258;PA1587;PA5066;PA4249;PA4240;PA4261;PA2976;PA5554;PA5119;PA4935	PA0954;PA1303
19	PA4418;PA3187;PA3194;PA1902;PA3600;PA2018;PA5304;PA1279;PA3195;PA2105	PA4910;PA4443;PA5096;PA4193;PA3628;PA0228;PA4912;PA2682;PA3236;PA2512;PA4092;PA1856;PA1317;PA2513;PA4228;PA5100;PA5417;PA5098;PA5379;PA3629;PA0227;PA2508;PA2514;PA1982;PA0193;PA5416;PA5094;PA5420;PA5421;PA0323;PA4646;PA5415
20	PA0510;PA1661;PA5427;PA1660;PA0518;PA1049;PA5172;PA0519;PA5435;PA1657;PA0523;PA2193;PA1461;PA1557;PA3392;PA1555;PA4351;PA3877;PA5230;PA1556;PA3874;PA5171;PA3337;PA0835;PA5497;PA3875;PA3872;PA2194;PA3531;PA0524;PA0836;PA1659;PA0295;PA4430;PA1668;PA5173;PA2195;PA4429	PA4225;PA4613;PA4230;PA4224;PA1317;PA2513;PA4226;PA2682;PA1319;PA4228;PA1320;PA1318;PA2514;PA4687;PA5217;PA4231
21	PA2553;PA0228;PA0226;PA2248;PA2446;PA2682;PA2512;PA4810;PA5435;PA1737;PA1224;PA2513;PA1736;PA2509;PA0597;PA2012;PA4811;PA2507;PA2247;PA0227;PA2014;PA2249;PA2250;PA2508;PA2514;PA3333;PA2000	PA4443;PA4208;PA4771;PA3517;PA3446;PA3540;PA0898;PA2812;PA2857;PA3522;PA3516;PA0281;PA3523;PA3582;PA2811;PA2813;PA0897;PA0899;PA4442
22	PA1874;PA1871;PA2367;PA0106;PA3415;PA3417;PA2446;PA3416;PA2570;PA0105;PA1092;PA0175;PA0113;PA0107;PA5213;PA0180;PA1930;PA3250;PA2373;PA3346;PA4205;PA0112;PA3568;PA2566;PA4646;PA0108;PA4290;PA0704	PA3392;PA2514;PA0510
23	PA5503;PA3609;PA3607;PA3608;PA4645;PA3713;PA0018;PA3610	PA3459;PA2573;PA5171;PA4236;PA4880;PA0179;PA1249;PA2815;PA3418;PA0102;PA5172;PA2569;PA0766;PA3551;PA1562
24	PA3554;PA3555;PA4774;PA3558;PA3617;PA2248;PA3559;PA3556;PA5100;PA4773;PA3569;PA3570	PA2685;PA3181;PA3584;PA3582;PA4771
25	PA4867;PA4252;PA4238;PA4375;PA4254;PA5555;PA5508	PA3151;PA3148;PA3156;PA0679;PA3506;PA3152;PA2105
26	PA3555;PA2592;PA4973;PA3558;PA3088;PA4351;PA5429;PA1319;PA1318;PA1320;PA1321	PA4910;PA0232;PA5355;PA4733;PA2553;PA0228;PA4912;PA2682;PA1217;PA1984;PA3541;PA3582;PA1070;PA3236;PA2512;PA0494;PA3545;PA5452;PA5508;PA2008;PA1071;PA1946;PA4909;PA1525;PA2009;PA2513;PA5354;PA1072;PA4899;PA2007;PA5417;PA4980;PA2011;PA3710;PA2887;PA3570;PA2507;PA5353;PA5154;PA0227;PA1338;PA2014;PA2514;PA0865;PA5416;PA4496;PA2862;PA2555;PA3568;PA5420;PA5421;PA5155;PA2000;PA3569;PA2889;PA0230;PA1999;PA3551;PA1073;PA3547;PA5153;PA4207
27	PA1257;PA2639;PA3438;PA1856;PA3512;PA2637;PA2914;PA0927;PA1794;PA4415;PA3645;PA4006;PA1049;PA2645;PA4429;PA2647;PA3636;PA4159;PA5332;PA2969	PA4047;PA4727;PA2711;PA3975;PA5436;PA4733;PA4010;PA2840;PA4956;PA2976;PA4687
28	PA3382;PA2035;PA0677;PA4110;PA3378;PA3375;PA3584;PA3377;PA4774;PA4351;PA4773;PA2019;PA3379;PA0935;PA4777;PA3554;PA5367;PA5369;PA4776;PA4195;PA2634;PA1683;PA3383;PA4316;PA3380;PA1326	PA2652;PA4310;PA1338;PA3541;PA1337;PA4506;PA3526
29	PA0768;PA3651;PA3803;PA3642;PA3751;PA3643;PA4276;PA3645;PA3821;PA4750;PA3820;PA0668;PA5304;PA3861;PA2969	PA2652;PA1871;PA5058;PA4310;PA0177;PA5355;PA1174;PA3250;PA2365;PA5272;PA3872;PA3526;PA4217
30	PA3151;PA0091;PA1179;PA2536;PA3156;PA3148;PA3152;PA2446;PA3155;PA2232;PA3158;PA4307	PA4038;PA3540;PA5522;PA0324;PA5354;PA3541;PA4211;PA3547;PA3545;PA5106
31	PA2890;PA2368;PA4548;PA1279;PA2962;PA0934	PA4092;PA2639;PA4867;PA3627;PA5298;PA0685;PA4454;PA1552;PA0548;PA4290;PA0750;PA3478;PA5106
32	PA2711;PA4193;PA1511;PA2105;PA3361;PA2104;PA1611;PA3366;PA0107	PA2553;PA3187;PA1602;PA3195;PA2008;PA2981;PA0523;PA2638;PA2009;PA1725;PA2007;PA2012;PA3182;PA2323;PA0865;PA2321;PA3183;PA2261;PA3181;PA3194;PA2263;PA3193
33	PA0091;PA3139;PA3609;PA0087;PA1317;PA0079;PA3506;PA0782;PA2446;PA0084;PA2541;PA2445;PA0080;PA0202;PA1609;PA1318;PA0081;PA3610	PA2008;PA4211;PA0747;PA2015;PA2553;PA1946;PA3724;PA2555;PA2013;PA2011;PA3600;PA2014;PA2000;PA4504;PA1249;PA3570;PA1173;PA1999;PA3551;PA3569;PA5452
34	PA1225;PA0266;PA2943;PA1146;PA0203	PA2584;PA3609;PA4733;PA4069;PA0421;PA3480;PA3618;PA2648;PA0899;PA3861
35	PA5429;PA0098	PA0997;PA4192;PA3446;PA3601;PA1180;PA1000;PA3600;PA5082;PA0036;PA2321
36	PA3151;PA3159;PA1095;PA4918;PA3156;PA3148;PA1094;PA4503;PA3152;PA2105;PA1092;PA1086;PA0958;PA3155;PA4280;PA4919;PA2104;PA3158;PA1087	PA0254
37	PA4225;PA4706;PA2413;PA2408;PA4687;PA4688;PA1317;PA4226;PA4228;PA4707;PA1321;PA2412;PA1320;PA4708;PA4470;PA4231;PA4230;PA4513;PA4224;PA1319;PA1318;PA2407;PA2409	PA0130;PA1179;PA3366;PA3531;PA3364
38	PA3687;PA4193;PA3540;PA3542;PA3152;PA2513;PA3004;PA2514;PA5429;PA1319;PA3541;PA1320;PA3551;PA2444;PA2512;PA2232;PA3547;PA2105;PA3545	PA3555;PA4230;PA4774;PA3557;PA5420;PA3558;PA0844;PA1092;PA1104;PA4773;PA4777
39	PA4225;PA4706;PA4230;PA4224;PA4470;PA2413;PA4708;PA2531;PA3600;PA2412;PA3601;PA4226;PA2390;PA4158;PA2408;PA4228;PA2407;PA2389;PA2409;PA4707;PA4231	PA3531;PA1174;PA4880;PA2446;PA5415;PA2445;PA3877;PA4812;PA2444;PA5445;PA3875
40	PA1130;PA2144;PA3601;PA2163;PA3477;PA2165;PA3600;PA0679;PA3382;PA2570;PA3361;PA1931;PA4172;PA2153;PA4209	
41	PA1095;PA3531;PA2015;PA4594;PA1124;PA2674;PA0206;PA3351;PA0920;PA5422;PA3426;PA3352;PA1984;PA1092;PA1320;PA0203;PA1252;PA3526	PA4973;PA3047;PA4234;PA3721;PA3111;PA1487;PA0108;PA2905;PA1104;PA4418;PA0107
42	PA0747	PA0510;PA4443;PA3870;PA4193;PA3446;PA3931;PA0518;PA0519;PA4442;PA0523;PA1856;PA3392;PA3443;PA2691;PA0281;PA3874;PA3914;PA0025;PA0024;PA1260;PA0283;PA3444;PA3876;PA3875;PA3872;PA3183;PA2204;PA0524
43	PA3554;PA3555;PA0083;PA3552;PA4774;PA3553;PA3557;PA0089;PA3558;PA0084;PA0085;PA3361;PA3556;PA0078;PA0090;PA4776;PA4777;PA4773;PA0087;PA3559	PA3151;PA2890;PA5096;PA4771;PA3486;PA3187;PA3540;PA1659;PA5192;PA1338;PA3541;PA2444;PA0009;PA3547
44	PA4225;PA0231;PA0228;PA0226;PA0154;PA4125;PA2682;PA2512;PA5435;PA0153;PA2513;PA2509;PA4226;PA4228;PA5100;PA4121;PA1124;PA5098;PA2507;PA0227;PA2508;PA2514;PA4231;PA4230;PA4224;PA4124;PA5106	PA4973;PA5388;PA0523
45	PA0523;PA1555;PA2105;PA1317;PA1557;PA4130;PA2513;PA2446;PA4133;PA1319;PA2445;PA1318;PA1320;PA2444;PA2512;PA4969;PA1556;PA0519	PA5154;PA2634;PA1525;PA3120;PA0196;PA1927;PA4500;PA1024;PA5155;PA5453;PA1341;PA1340;PA5452
46	PA0510;PA0024;PA3584;PA0523;PA0025;PA1856;PA0524;PA3392;PA4235;PA0519;PA2412;PA2691;PA0518;PA3874;PA3872;PA3814	
47	PA0156;PA2360;PA1931;PA3417;PA2362	PA2947;PA4740;PA5316;PA5560;PA4868;PA5128;PA4250;PA1155;PA3139;PA4257;PA2970;PA1580;PA4272;PA4748;PA1584;PA4456;PA1556;PA2011;PA0579;PA4563;PA5557;PA0968;PA1582;PA4255;PA1982;PA5568;PA3531;PA1156;PA3742;PA4252;PA3569
48	PA1224;PA4548;PA1726	PA5559;PA4741;PA4401;PA5371;PA4268;PA3745;PA4237;PA3356;PA5435;PA4406;PA4053;PA4260;PA4433;PA4432;PA4257;PA2638;PA2970;PA5570;PA3656;PA2605;PA5337;PA3155;PA4751;PA4239;PA4245;PA4243;PA3159;PA4417;PA4244;PA4273;PA5063;PA4971;PA4247;PA5110;PA3162;PA1587;PA3742;PA3152;PA4670;PA4240;PA1010;PA4263;PA2741
49	PA3553;PA4548;PA1602;PA3582;PA1092;PA4810;PA4138;PA3559;PA5508;PA5372;PA1095;PA1179;PA3552;PA4774;PA3557;PA3579;PA5373;PA3556;PA3929;PA4773;PA4811;PA5445;PA1180;PA4777;PA3554;PA3555;PA1094;PA2253;PA4776;PA3558;PA4812;PA4211	PA2008;PA4973;PA0523;PA4192;PA5171;PA1317;PA2009;PA0685;PA3522;PA1319;PA2007;PA1318;PA1320;PA5172;PA1321
50	PA4385;PA4414;PA4418;PA2685;PA4410;PA1809;PA2013;PA2018;PA4412;PA4528;PA4416;PA4417;PA4415;PA3820;PA4411;PA5435;PA5039;PA2019	PA1874;PA1871;PA4208;PA4211;PA1902;PA3721;PA2570;PA1217;PA3477;PA2164;PA3478;PA2153;PA2160;PA2147;PA3724;PA1927;PA4205;PA3479;PA1901;PA2566;PA4206;PA1903;PA1905;PA4207
51	PA3151;PA3159;PA0083;PA1421;PA3156;PA3148;PA3152;PA0085;PA1024;PA3582;PA3345;PA3155;PA4121;PA2104;PA3158;PA5508	PA1002;PA1667;PA1669;PA1661;PA1666;PA1902;PA2000;PA1072;PA1668;PA1904;PA1662;PA1984;PA2012;PA1660;PA4707;PA0996
52	PA1001	PA3151;PA3159;PA1095;PA3514;PA3156;PA3148;PA1094;PA4503;PA0206;PA3505;PA3152;PA2105;PA1092;PA2739;PA0203;PA0958;PA3155;PA3498;PA2104;PA3158
53	PA1274;PA4771;PA3608;PA3610;PA0504;PA3643;PA0293;PA1534;PA4688	PA0747;PA2553;PA0106;PA0105;PA0107;PA5106;PA1930;PA0178;PA1174;PA4913;PA1904;PA3929;PA5100;PA3418;PA3570;PA2014;PA3250;PA2920;PA0174;PA3333;PA0112;PA0177;PA2015;PA2555;PA2000;PA1999;PA1905;PA2573;PA3569;PA0108;PA2550
54	PA3252;PA1384	PA1586;PA3666;PA5163;PA5316;PA4251;PA4464;PA4250;PA4238;PA1457;PA5315;PA4237;PA2742;PA4406;PA4260;PA4433;PA1580;PA4272;PA3656;PA4274;PA4254;PA4242;PA4267;PA4751;PA4264;PA4245;PA2740;PA4563;PA3351;PA4273;PA4247;PA3814;PA1588;PA4568;PA3162;PA4258;PA1587;PA1610;PA3742;PA4252;PA4249;PA4429;PA4241;PA2741
55	PA3584;PA3486;PA3505;PA2675;PA0205;PA1807;PA0202;PA2672;PA0203;PA4280	PA0482;PA4242;PA3792;PA4741;PA0427;PA4934;PA4567;PA2970;PA3211;PA4565;PA3742;PA0944;PA0085;PA4250;PA3745;PA4254;PA3480;PA5049;PA0424;PA3814
56	PA4443;PA1095;PA1094;PA1838;PA3935;PA1092;PA0935	PA1694;PA2408;PA1717;PA1690;PA1697;PA1525;PA1725;PA4351;PA1696;PA1693;PA1719;PA1701;PA1695;PA0604;PA1723;PA1703;PA1691;PA1722;PA1698;PA1724;PA0606;PA1716;PA1692
57	PA4910;PA5096;PA3553;PA4912;PA3416;PA4759;PA3516;PA3523;PA3521;PA3584;PA4761;PA3522;PA1736;PA0597;PA4913;PA2445;PA2826;PA5100;PA5098;PA0596;PA2014;PA1927;PA5095;PA3517;PA5094;PA0263;PA5092;PA5415;PA5106	PA0999;PA0510;PA0997;PA1871;PA5163;PA1130;PA0998;PA1000;PA1001;PA3478;PA3366;PA2856;PA5508
58	PA2265;PA3181;PA1260;PA3194;PA2323;PA5539;PA3600;PA5066;PA2263;PA1432;PA3877;PA3182;PA2991;PA2370;PA2321;PA2624;PA4290;PA5445;PA0519;PA5538;PA2261	PA4225;PA0228;PA2248;PA2682;PA2512;PA3366;PA0872;PA2008;PA5302;PA0870;PA2009;PA2513;PA2509;PA4226;PA4504;PA2007;PA4228;PA2507;PA2247;PA0223;PA4904;PA0227;PA5429;PA2508;PA1140;PA1320;PA2514;PA0865;PA4205;PA4231;PA4230;PA4224;PA2515;PA4206;PA2000;PA1319;PA1999;PA4207;PA5304
59	PA3554;PA3555;PA4307;PA3584;PA1179;PA3552;PA3553;PA4774;PA3557;PA4773;PA3558;PA2018;PA3556;PA3929;PA3582;PA4776;PA4777;PA2019;PA1180;PA3559	PA3187;PA3541;PA3195;PA3545;PA4613;PA0523;PA3540;PA3392;PA2009;PA3182;PA0849;PA3004;PA1320;PA0865;PA3183;PA4973;PA3181;PA0524;PA3194;PA2000;PA1319;PA1999;PA3547
60	PA4941;PA3834;PA4956;PA2612;PA3001;PA4232;PA4751;PA3482;PA1770;PA3987;PA4947;PA3999;PA4042;PA3213;PA2709;PA5063;PA3814;PA4732;PA4758;PA3162;PA4201;PA5068;PA1821;PA2976;PA2979;PA4411	PA3719
61	PA2541;PA0504;PA1927	PA1667;PA4225;PA0997;PA1661;PA2592;PA3187;PA4211;PA0998;PA1902;PA4130;PA2195;PA1249;PA1662;PA0494;PA4209;PA4217;PA1002;PA1657;PA5302;PA2193;PA3477;PA2513;PA4226;PA3361;PA1904;PA4228;PA5445;PA3478;PA0996;PA3724;PA1000;PA1656;PA1246;PA2514;PA3333;PA1247;PA3479;PA4231;PA0999;PA3476;PA4230;PA2194;PA1130;PA1901;PA1659;PA4224;PA1658;PA1001;PA4133;PA1903;PA3475;PA1905;PA1660
62	PA3876;PA3666;PA0501;PA1277;PA5154;PA1589;PA4385;PA1278;PA0555;PA1552;PA3656;PA0500;PA3877;PA1073;PA3820;PA0494;PA5304;PA5508	PA1874;PA1871;PA3719;PA2367;PA2329;PA0175;PA4217;PA0132;PA2366;PA1174;PA1905;PA3361;PA1904;PA3929;PA1173;PA2370;PA3478;PA3930;PA3724;PA3250;PA0130;PA4205;PA3479;PA1659;PA2368;PA1658;PA0263;PA4133;PA2365;PA1903;PA4211;PA1660
63	PA2507;PA2862;PA1260;PA3514;PA2366;PA3628;PA2368;PA1100;PA2573;PA2513;PA4351;PA2412;PA1101;PA1463;PA1458;PA5100;PA4812;PA2370;PA1077;PA1087	PA2008;PA3607;PA0524;PA5051;PA2009;PA3721;PA2007;PA5443
64	PA1661;PA4208;PA4211;PA0998;PA1902;PA2446;PA2570;PA2408;PA1662;PA4144;PA4217;PA3361;PA1904;PA2407;PA1927;PA2412;PA4205;PA3479;PA1901;PA3558;PA4206;PA1668;PA1001;PA1903;PA1905;PA2409;PA4207	PA3442;PA3446;PA3600;PA3935;PA0242;PA5172;PA0175;PA3938;PA5538;PA1256;PA2008;PA3443;PA4148;PA4161;PA2600;PA4152;PA4121;PA4163;PA1260;PA5171;PA4904;PA5025;PA3444;PA2598;PA4918;PA3445;PA5173;PA4307
65	PA4051;PA4193;PA4192;PA1224;PA2018;PA2232;PA2019;PA4195;PA4194	PA3476;PA1095;PA3486;PA1094;PA4500;PA4504;PA1249;PA1092;PA4750;PA1086;PA1087
66	PA4201;PA5522;PA1997;PA2905;PA0173;PA1248;PA0275;PA5508	PA3187;PA5560;PA0518;PA2644;PA4269;PA4688;PA0872;PA1581;PA4257;PA4256;PA2826;PA1584;PA0609;PA0750;PA4954;PA2011;PA2247;PA3315;PA0604;PA1582;PA2014;PA5429;PA4244;PA0865;PA4205;PA2013;PA0920;PA2000;PA4430;PA5554
67	PA3629;PA2649;PA3004;PA0421;PA1140;PA1562;PA3569;PA0662	PA4225;PA4230;PA3187;PA4224;PA5541;PA3406;PA4859;PA4226;PA1724;PA4158;PA4065;PA1923;PA4161;PA4228;PA5539;PA4064;PA3405
68	PA4246;PA4259;PA5316;PA4740;PA4251;PA4268;PA3745;PA4269;PA3105;PA2742;PA4260;PA4433;PA1581;PA4257;PA4256;PA4761;PA1555;PA1580;PA4272;PA4254;PA4242;PA4274;PA4267;PA4264;PA5445;PA4262;PA1556;PA4640;PA4563;PA1582;PA4253;PA4255;PA4273;PA2624;PA4247;PA4248;PA4385;PA4568;PA3162;PA4258;PA4249;PA4240;PA0887;PA4261;PA2976;PA4263;PA4241;PA4935	PA3151;PA2160;PA2147;PA2151;PA2144;PA2413;PA2163;PA5421;PA4351;PA2165;PA2412;PA3361;PA2164;PA2155;PA2162
69	PA4124;PA1719;PA3121;PA4163;PA4127;PA1695;PA4128;PA4130;PA4122;PA3120;PA4125;PA4180;PA4123;PA4158;PA4133;PA4846;PA4121;PA4138	PA3555;PA4189;PA3557;PA0106;PA1525;PA3600;PA0293;PA3364;PA0605;PA0606;PA0603;PA4188;PA5501;PA0494;PA3569;PA3366;PA3570;PA3025
70	PA4973;PA3181;PA3187;PA3194;PA2323;PA2009;PA2014;PA4503;PA0130;PA3182;PA3195;PA2105;PA2321;PA3183	PA1095;PA4225;PA1268;PA4230;PA3608;PA4224;PA5508;PA1094;PA3601;PA5541;PA3600;PA4226;PA2811;PA1092;PA4228;PA4064;PA0173;PA1086;PA5538;PA1087
71	PA4750;PA3438;PA4524;PA2608;PA3088;PA0430;PA4846	PA4088;PA4153;PA4911;PA3382;PA2445;PA2516;PA4152;PA2444
72	PA1701;PA4470;PA5541;PA1959;PA3600;PA4207;PA4939;PA0357;PA5538;PA2969	PA2592;PA3719;PA0164;PA1249;PA5172;PA3559;PA3151;PA3155;PA1432;PA3629;PA3159;PA5171;PA3148;PA5025;PA1246;PA3333;PA3158;PA1247;PA1130;PA3531;PA3152;PA5173;PA2648
73	PA3584;PA2634;PA5171;PA1557;PA0195;PA5172	PA0997;PA2592;PA1661;PA2413;PA0998;PA4778;PA4130;PA1249;PA2408;PA0158;PA1002;PA3151;PA1657;PA2080;PA2193;PA2587;PA1003;PA1432;PA0996;PA3555;PA0157;PA3724;PA1000;PA2412;PA1656;PA1246;PA1247;PA0999;PA3476;PA1658;PA1001;PA4211;PA0143
74	PA3553;PA2446;PA2408;PA4011;PA3559;PA1179;PA3552;PA4774;PA3557;PA3556;PA4773;PA1180;PA1693;PA3554;PA3555;PA5353;PA4010;PA5429;PA4776;PA4973;PA3558;PA4454	PA4225;PA3600;PA5539;PA5508;PA4226;PA3361;PA2813;PA2811;PA4228;PA5445;PA1890;PA1561;PA0085;PA4064;PA4231;PA4230;PA4224;PA3601;PA5541;PA4065;PA2812;PA5310
75	PA3476;PA1001;PA3478;PA0958	PA4122;PA4125;PA4123;PA2811;PA2813;PA4124;PA4121;PA2812;PA5098
76	PA4973;PA3936;PA4193;PA3442;PA3937;PA4010;PA2444;PA3443;PA2443;PA2446;PA2445;PA2442;PA5100;PA3444;PA3447;PA3170;PA3938;PA1180;PA5106	PA1646;PA3600;PA1602;PA4759;PA3236;PA3582;PA5539;PA0494;PA5538;PA5508;PA5372;PA3584;PA4771;PA4761;PA5445;PA5417;PA5379;PA0849;PA5419;PA4969;PA4385;PA1518;PA5420;PA3601;PA5541;PA4065;PA5376;PA5418
