feature	positive_signature	negative_signature
0	PA2652;PA1095;PA1013;PA1094;PA1338;PA4234;PA1339;PA1341;PA1092;PA1086;PA2444;PA1337;PA5137;PA0494;PA1340;PA4307	PA3584;PA2685;PA2536;PA2555;PA4205;PA4880;PA3364;PA2018;PA2541;PA1319;PA2815;PA3582;PA5471;PA4211;PA2019;PA5217;PA3366;PA4777;PA4217
1	PA0202;PA0222;PA0589	PA4053;PA1447;PA0232;PA3687;PA0157;PA3719;PA2711;PA4733;PA3977;PA4973;PA1445;PA3970;PA4412;PA4043;PA1464;PA2812;PA4865;PA3861
2	PA4443;PA4225;PA4193;PA3442;PA3446;PA3553;PA3935;PA3931;PA2594;PA2512;PA3938;PA4442;PA1179;PA3552;PA2513;PA3443;PA4226;PA0281;PA4228;PA3937;PA1180;PA3554;PA4192;PA1838;PA0280;PA0283;PA3444;PA2514;PA3936;PA4195;PA4470;PA5103;PA4231;PA0282;PA2204;PA4230;PA3445;PA4224	PA0523;PA0524;PA1421;PA2018;PA1501;PA1217;PA0494;PA0112
3	PA2438;PA5498;PA5436;PA5420;PA5500;PA3601;PA5541;PA3600;PA1927;PA2914;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA5538;PA2913	PA0872;PA0999;PA0997;PA5302;PA3187;PA1946;PA3452;PA0998;PA1000;PA1001;PA5508
4	PA4225;PA4230;PA4973;PA4224;PA1317;PA4130;PA0782;PA4226;PA4133;PA2813;PA4228;PA4231;PA0550	PA3553;PA2408;PA3582;PA2232;PA2264;PA3366;PA3559;PA5508;PA3584;PA1179;PA0523;PA3552;PA3557;PA4774;PA3392;PA2691;PA3556;PA4773;PA4811;PA5445;PA1180;PA4777;PA3554;PA3555;PA4776;PA2253;PA0524;PA1421;PA3558
5	PA0510;PA5427;PA4235;PA4236;PA0518;PA1049;PA5172;PA0519;PA0523;PA2193;PA1557;PA1555;PA3877;PA5230;PA1556;PA5171;PA1561;PA3337;PA0835;PA5497;PA2194;PA0836;PA5495;PA0295;PA5173;PA2195;PA5304	PA3929;PA3930
6	PA5559;PA4329;PA4847;PA4246;PA1583;PA4740;PA4251;PA4276;PA5560;PA5554;PA4268;PA4238;PA1092;PA3745;PA3171;PA2744;PA5435;PA3637;PA0934;PA4260;PA4433;PA1581;PA3584;PA4257;PA4256;PA4761;PA3807;PA1580;PA5570;PA4272;PA4748;PA1584;PA4274;PA4242;PA3001;PA4267;PA5013;PA4264;PA4262;PA3636;PA5558;PA4239;PA3686;PA3987;PA0432;PA0579;PA4241;PA4563;PA5557;PA1582;PA4255;PA4449;PA4271;PA4450;PA5239;PA4273;PA5556;PA4247;PA5568;PA4248;PA4385;PA2584;PA1588;PA4568;PA4258;PA4671;PA4249;PA4670;PA4240;PA1010;PA4261;PA4846;PA5555;PA5119	PA5100;PA3316
7	PA0083;PA0087;PA4225;PA4230;PA4224;PA1555;PA1557;PA2812;PA0084;PA4226;PA2813;PA0078;PA0080;PA2811;PA4228;PA0090;PA4812;PA2232;PA4810;PA4811;PA4231	PA1946;PA3540;PA2553;PA3541;PA2012;PA3929;PA0958;PA4980;PA2550
8	PA1871;PA5163;PA2553;PA0106;PA3417;PA1902;PA4130;PA2248;PA2446;PA3416;PA2570;PA1217;PA0105;PA1092;PA0175;PA1248;PA0113;PA0107;PA0132;PA0180;PA1930;PA2003;PA5164;PA0178;PA1174;PA1905;PA2009;PA3477;PA3361;PA1904;PA2445;PA1173;PA3418;PA3478;PA0176;PA3570;PA2247;PA5058;PA3724;PA1094;PA0179;PA2250;PA2249;PA3479;PA0177;PA1130;PA1901;PA2566;PA4206;PA2000;PA0108;PA4133;PA1903;PA4211;PA3569;PA0704;PA5355	PA3446
9	PA3187;PA2553;PA2248;PA2446;PA4217;PA0132;PA2008;PA0870;PA2009;PA3361;PA2007;PA2012;PA2011;PA2247;PA2014;PA2249;PA2250;PA0130;PA2444;PA0865;PA4205;PA2015;PA2555;PA2013;PA4206;PA2000;PA1999;PA4207	PA0997;PA0228;PA0998;PA1694;PA4125;PA3582;PA1717;PA4810;PA0113;PA1179;PA1856;PA1690;PA1697;PA1725;PA4123;PA1696;PA4121;PA4811;PA0996;PA5445;PA1180;PA1693;PA1719;PA1701;PA1695;PA1976;PA1000;PA4122;PA1723;PA1703;PA0999;PA1698;PA1722;PA1421;PA1001;PA4812;PA1716;PA1692
10	PA4804;PA1438;PA2944;PA3512;PA0204;PA2914;PA4415;PA3832;PA3636;PA4971	PA3495;PA4931;PA4645;PA5177;PA4563;PA0407;PA0330;PA1726;PA1375;PA0176
11	PA5498;PA5500;PA3601;PA5541;PA3600;PA3004;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA5538;PA2913	PA4225;PA0997;PA0228;PA0998;PA1273;PA3366;PA0872;PA5302;PA1946;PA0870;PA4226;PA4228;PA5445;PA0227;PA1000;PA2514;PA0865;PA4969;PA4231;PA0999;PA4230;PA4224;PA1001;PA5304
12	PA3555;PA1179;PA3446;PA0280;PA4065;PA3337;PA4064	PA1002;PA1657;PA0999;PA0997;PA0523;PA0524;PA3392;PA0998;PA1000;PA0782;PA1001;PA0996;PA2813;PA2811;PA4133;PA0262;PA4211;PA0494;PA5304;PA3366;PA0865
13	PA0156;PA4901;PA3416;PA0387;PA4418;PA5106	PA5559;PA4031;PA4443;PA4741;PA4246;PA1583;PA4259;PA5316;PA4740;PA0301;PA4251;PA5560;PA5128;PA0548;PA3834;PA5315;PA2744;PA3637;PA4217;PA4260;PA4433;PA1581;PA0303;PA4257;PA2970;PA4256;PA5570;PA4669;PA4272;PA4748;PA1584;PA4274;PA4254;PA5013;PA4267;PA4242;PA4262;PA3636;PA4239;PA0546;PA4245;PA3686;PA0432;PA0579;PA5051;PA5557;PA1582;PA4696;PA4255;PA4449;PA4450;PA4244;PA5239;PA3480;PA4273;PA5568;PA0963;PA4671;PA4252;PA4670;PA4430;PA4240;PA5173;PA4211;PA3822;PA4241
