feature	positive_signature	negative_signature
0	PA5427;PA4235;PA4236;PA0518;PA1049;PA5172;PA0519;PA0523;PA2193;PA1557;PA1555;PA3877;PA5230;PA1556;PA5171;PA1561;PA3337;PA0835;PA5497;PA2194;PA0524;PA0836;PA0295;PA5173;PA2195;PA5304	PA1927
1	PA1719;PA1691;PA1698;PA1701;PA1722;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703	PA4230;PA3181;PA3187;PA3194;PA2321;PA4228;PA3183;PA3182;PA4442;PA4688
2	PA2813;PA2811;PA2812	PA1667;PA1871;PA2592;PA1661;PA4211;PA1666;PA1902;PA4130;PA2195;PA2570;PA1217;PA1662;PA4209;PA4217;PA1657;PA2193;PA3361;PA1904;PA3478;PA3724;PA1656;PA3333;PA3479;PA3476;PA1669;PA1130;PA2194;PA1901;PA1659;PA2566;PA1658;PA1668;PA4133;PA1903;PA3475;PA1905;PA1660
3	PA4861;PA3600;PA4911;PA2682;PA5539;PA2512;PA2105;PA5538;PA1581;PA2513;PA1923;PA2913;PA5098;PA1976;PA1582;PA4064;PA4172;PA2514;PA1982;PA4205;PA3479;PA3601;PA5541;PA4065;PA4211;PA1326;PA4207	PA0524;PA3514;PA3187;PA3523;PA3582;PA0036
4	PA2015;PA1382;PA2014;PA1868;PA4158;PA1052;PA1384;PA3498;PA1393	PA5213;PA3975;PA0363;PA3751;PA4626;PA4044;PA3725;PA4284;PA0175;PA5304
5	PA3554;PA3584;PA3552;PA3553;PA4774;PA4773;PA2812;PA1094;PA2018;PA1566;PA2811;PA3582;PA1092;PA0195;PA2813;PA2019;PA4810;PA4812;PA4811;PA4777;PA5508	PA4973;PA3187;PA3628;PA2013;PA3721;PA2014;PA1070;PA2012;PA0958;PA2011
6	PA0872;PA2944;PA4568;PA1280;PA4264;PA5558	PA2265;PA3159;PA2357;PA0747;PA4774;PA3446;PA3187;PA1659;PA0228;PA0227;PA4693;PA1658;PA1249;PA3556;PA3570;PA0130;PA1073;PA2263;PA3569;PA3710;PA3559
7	PA0510;PA5427;PA4235;PA4236;PA0518;PA1049;PA5172;PA0519;PA0523;PA1557;PA1555;PA3392;PA4351;PA3877;PA5230;PA1556;PA0024;PA5171;PA1561;PA3337;PA0835;PA5497;PA0524;PA0836;PA0295;PA5173;PA4812	PA4225;PA0997;PA1871;PA0998;PA4613;PA1317;PA2513;PA4226;PA3929;PA4228;PA3930;PA3724;PA2412;PA1320;PA4470;PA0865;PA4231;PA4230;PA4224;PA2000;PA1319;PA1318
8	PA1667;PA3553;PA2682;PA2512;PA3559;PA1179;PA3552;PA4774;PA5302;PA3584;PA3557;PA4761;PA2513;PA3556;PA3929;PA4773;PA2019;PA1180;PA3930;PA4777;PA3554;PA3555;PA2018;PA2508;PA4776;PA2514;PA3333;PA3558;PA0920;PA5304	PA4910;PA3187;PA2446;PA1070;PA5452;PA1256;PA0523;PA5074;PA2009;PA1072;PA2007;PA2445;PA2442;PA4228;PA5084;PA5154;PA1260;PA1338;PA5082;PA2444;PA0865;PA2862;PA3568;PA5155;PA5415;PA1073;PA5153
9	PA3187;PA3582;PA4687;PA3195;PA4810;PA5435;PA1071;PA1317;PA3182;PA4811;PA1320;PA2444;PA0865;PA2321;PA3183;PA3181;PA5436;PA2555;PA3194;PA2000;PA1319;PA4812;PA1318;PA2263;PA3193;PA1073	PA3097;PA3552;PA2194;PA2193;PA4909;PA5522;PA0998;PA1905;PA0293;PA4911;PA3522;PA5429;PA3516;PA1904;PA4211;PA2019;PA3333;PA4217
10	PA2944;PA5171;PA1083;PA4351;PA5173;PA5172;PA3569;PA1082;PA3570;PA1079	PA0997;PA0998;PA3600;PA4130;PA4125;PA5538;PA3559;PA1002;PA1657;PA4123;PA4773;PA4121;PA5445;PA0996;PA1003;PA1432;PA1000;PA4122;PA0262;PA0999;PA3476;PA2685;PA3601;PA1001
11	PA3151;PA3514;PA2367;PA0106;PA2444;PA2368;PA3152;PA2446;PA5415;PA2445;PA2811;PA0105;PA2442;PA2813;PA3155;PA2443;PA0108;PA0107	PA3553;PA4202;PA2570;PA3559;PA1657;PA3552;PA0523;PA4774;PA3557;PA3556;PA3929;PA4773;PA3478;PA4777;PA3554;PA3555;PA3724;PA1927;PA1656;PA5497;PA3333;PA3875;PA3479;PA4205;PA3476;PA0524;PA1659;PA3558;PA4206;PA1658;PA1660;PA4307
12	PA5010;PA1095;PA4163;PA1094;PA4500;PA1249;PA1092;PA4750;PA1086;PA1087	PA3151;PA3159;PA4051;PA4193;PA4192;PA1165;PA3156;PA1224;PA3148;PA4195;PA3152;PA3361;PA4194;PA3155;PA2232;PA4969;PA3158
13	PA3584;PA2059;PA3310;PA1382;PA4771;PA2105;PA1445;PA0324;PA2905;PA2104;PA2103	PA4283;PA1130;PA2961;PA4866;PA3643;PA3475
14	PA0975	PA0510;PA1920;PA3553;PA5427;PA4235;PA0293;PA0518;PA1049;PA5172;PA4810;PA0519;PA3559;PA1657;PA1179;PA3552;PA0523;PA1856;PA3557;PA1557;PA3392;PA1555;PA3556;PA3877;PA5230;PA4811;PA1556;PA1180;PA4777;PA3554;PA0024;PA0025;PA3337;PA3876;PA5497;PA3875;PA2685;PA0524;PA0836;PA3558;PA0295;PA5173;PA4812
15	PA0482;PA2634;PA1024;PA5415;PA1092;PA0195;PA2444	PA0997;PA2592;PA1666;PA0998;PA1902;PA2195;PA1602;PA1002;PA1657;PA2193;PA2587;PA5230;PA1003;PA1432;PA0996;PA3724;PA1000;PA2081;PA1656;PA1384;PA3333;PA0999;PA3476;PA2194;PA1659;PA1658;PA1668;PA1001;PA4133;PA4211;PA0143;PA1660
16	PA2652;PA1657;PA4307;PA1078;PA4310;PA1100;PA2629;PA1082;PA1083;PA1080;PA4309;PA2654;PA1101;PA3361;PA1656;PA1077;PA1081;PA5435;PA3526;PA1079	PA3459;PA3552;PA4774;PA3540;PA2019;PA3558;PA4880;PA3541;PA2815;PA3551;PA0854;PA2569;PA4773;PA3542;PA3547;PA3545;PA4110
