feature	positive_signature	negative_signature
17	PA2652;PA4310;PA3156;PA2232;PA4687;PA4688;PA3526;PA3151;PA1078;PA4771;PA1317;PA3713;PA1079;PA3159;PA3148;PA3348;PA1320;PA3158;PA2204;PA2654;PA1319;PA5016;PA1077;PA1081;PA4307	PA5096;PA2553;PA3097;PA1946;PA4880;PA5354;PA2012;PA5100;PA2019;PA3710;PA3570;PA5098;PA1000;PA2018;PA2014;PA4205;PA0999;PA2685;PA2555;PA2000;PA1999;PA1562;PA3569;PA5106
18	PA4089	PA5163;PA4246;PA1583;PA4403;PA4259;PA5316;PA4944;PA4251;PA5554;PA4464;PA4268;PA4250;PA1457;PA3745;PA4238;PA4237;PA2742;PA4406;PA4260;PA4433;PA1581;PA2604;PA4257;PA2638;PA2970;PA4256;PA5570;PA1580;PA4272;PA3656;PA1584;PA5337;PA4274;PA4254;PA5013;PA4267;PA4751;PA4262;PA4264;PA4242;PA4239;PA4245;PA0579;PA4563;PA3348;PA1609;PA4244;PA2623;PA4273;PA4247;PA3814;PA4248;PA1588;PA2634;PA3162;PA4568;PA4258;PA0336;PA4671;PA1587;PA3742;PA4249;PA4252;PA4240;PA4263;PA4241;PA2741
19	PA0156;PA1997;PA1470;PA4901;PA4786;PA5106	PA5559;PA4443;PA4741;PA4246;PA1583;PA4259;PA4740;PA5316;PA4251;PA4276;PA5560;PA5554;PA1249;PA4238;PA3832;PA3745;PA5315;PA2744;PA3637;PA1581;PA4433;PA4257;PA2970;PA4256;PA5570;PA1580;PA4669;PA4272;PA3163;PA4748;PA1552;PA1584;PA3822;PA4274;PA0609;PA5013;PA4242;PA4239;PA4262;PA3636;PA0546;PA4245;PA4243;PA3686;PA2967;PA0432;PA0579;PA5051;PA5557;PA0968;PA4241;PA1582;PA4696;PA4255;PA4271;PA4244;PA3480;PA4273;PA5505;PA5568;PA0963;PA3167;PA4671;PA1156;PA4252;PA3742;PA4670;PA4240;PA3645;PA4747;PA4211;PA4263;PA4429;PA5555;PA5215
20	PA1257;PA3609;PA3607;PA1274;PA3651;PA3608;PA1856;PA4645;PA5570;PA1534;PA4688;PA1320;PA4429;PA1638;PA3610	PA2711;PA4230;PA4027;PA3250;PA3426;PA2550
21	PA1667;PA0997;PA2592;PA1871;PA4211;PA0998;PA1902;PA4130;PA2195;PA2570;PA1217;PA1249;PA4209;PA4217;PA1002;PA1657;PA2193;PA3477;PA3361;PA1904;PA0996;PA3478;PA3724;PA1000;PA1656;PA3333;PA1247;PA3479;PA0999;PA3476;PA4230;PA2194;PA1130;PA1901;PA1658;PA1668;PA1001;PA4133;PA1903;PA1905;PA1660	
22	PA4260;PA5010;PA2947;PA1867;PA3131;PA4259;PA3315;PA3212	PA3097;PA2888;PA3310;PA2649;PA0773;PA0263;PA4376;PA5429;PA5278
23		PA4443;PA0997;PA2203;PA4193;PA3442;PA1756;PA3446;PA0998;PA3935;PA3931;PA2594;PA2310;PA3938;PA4442;PA1856;PA3443;PA0281;PA2083;PA3937;PA0996;PA2062;PA4192;PA5025;PA1838;PA0280;PA1000;PA2412;PA0283;PA3444;PA3936;PA3448;PA4194;PA4195;PA5103;PA0999;PA0282;PA2204;PA3445;PA2202;PA3449;PA1001;PA4211
24	PA3584;PA1514;PA0106;PA0441;PA3417;PA3521;PA3522;PA3416;PA0108;PA3361;PA3516;PA1984;PA0105;PA3582;PA3523;PA4913;PA1342;PA5435;PA5153;PA0107	PA0997;PA4225;PA4211;PA4224;PA2566;PA0998;PA3364;PA4226;PA1217;PA5471;PA2444;PA3498
25	PA3151;PA0968;PA4548;PA2843;PA2014;PA1806;PA2962;PA3212	PA2639;PA4774;PA4867;PA4403;PA0524;PA5221;PA5298;PA3600;PA4454;PA1552;PA5376;PA1320;PA4242;PA0357;PA5416;PA5508
26	PA4385;PA3584;PA3719;PA4761;PA0998;PA0085;PA5200;PA0084;PA3929	PA3442;PA3935;PA1694;PA0518;PA1070;PA1717;PA5137;PA3938;PA0519;PA4442;PA0523;PA1690;PA1697;PA3392;PA1725;PA3443;PA3713;PA1696;PA3937;PA1693;PA1719;PA1701;PA1695;PA1723;PA0283;PA3444;PA2444;PA1703;PA1691;PA1698;PA3445;PA0524;PA1722;PA4973;PA5155;PA1716;PA1073;PA1692
27	PA0482;PA4189;PA1438;PA0098;PA2317;PA3557;PA2634;PA3558;PA0196;PA1024;PA0195;PA5445;PA4777	PA3476;PA4973;PA0427;PA5171;PA1082;PA0604;PA5435;PA1430;PA4226;PA5173;PA1432;PA4228;PA0603;PA5172;PA3350;PA2105;PA4307
28	PA0997;PA5316;PA0998;PA2195;PA1217;PA2408;PA1279;PA3559;PA1002;PA2193;PA3557;PA1690;PA3477;PA1003;PA0996;PA1432;PA3555;PA1000;PA0083;PA0999;PA3476;PA2194;PA1001;PA4211	PA2008;PA5106;PA4513;PA5541;PA3600;PA2007;PA4064;PA4708;PA4470;PA0401;PA5435;PA5538;PA5098
29	PA1874;PA3346;PA2160;PA2147;PA2151;PA2144;PA2163;PA0156;PA4880;PA2165;PA1933;PA2416;PA2570;PA2152;PA2164;PA5111;PA1931;PA4172;PA2162;PA2153;PA0107	PA1555
30	PA0747;PA2553;PA2001;PA2248;PA2512;PA3366;PA0872;PA1737;PA2008;PA1179;PA2003;PA0870;PA2009;PA2513;PA2007;PA2012;PA5100;PA3710;PA3570;PA2011;PA5098;PA2247;PA3724;PA2014;PA0179;PA4500;PA2249;PA2250;PA2514;PA0865;PA2015;PA2555;PA3568;PA2013;PA2000;PA4133;PA1999;PA3569;PA5106	PA4443;PA2204;PA3181;PA1421;PA3445;PA3446;PA5420;PA4202;PA3600;PA0283;PA0281;PA3236;PA5376;PA3444;PA3182;PA3937;PA4195;PA5445;PA2321;PA3183;PA5508
31	PA2673;PA3777;PA2810;PA5281	PA4741;PA1013;PA1493;PA1317;PA3742;PA4565;PA4235;PA5045;PA3250;PA4953;PA0263;PA0424;PA0430;PA4425;PA5153;PA2023;PA4254;PA4242;PA3480;PA4676;PA1375
32	PA4088;PA1726;PA3561	PA0768;PA4741;PA4276;PA5371;PA4415;PA3832;PA3745;PA4406;PA4053;PA1581;PA4257;PA2970;PA0890;PA5570;PA5260;PA5337;PA3155;PA4239;PA4243;PA0579;PA1493;PA4417;PA4244;PA2965;PA4273;PA2796;PA5110;PA4670;PA4240;PA3645
33	PA3640;PA5281;PA1628;PA2061;PA3574;PA5422;PA2518;PA4418;PA1124	PA0851;PA1756;PA1529;PA5192;PA2858;PA4565;PA5012;PA4234;PA2640;PA0749;PA3043;PA0552;PA2647;PA0899;PA0935;PA4700
34	PA4443;PA2584;PA5436;PA3187;PA1838;PA4276;PA2446;PA0283;PA5415;PA0281;PA2445;PA2442;PA2444;PA5435;PA4442	PA3553;PA3559;PA2003;PA4774;PA3552;PA3557;PA2513;PA5373;PA0660;PA3556;PA4773;PA2019;PA3570;PA4777;PA3554;PA3555;PA2020;PA2018;PA1024;PA1320;PA4776;PA4918;PA3558;PA4389
35	PA3584;PA2059;PA1382;PA1946;PA1224;PA4866;PA3590;PA2338;PA1598;PA1384;PA1393	PA4283;PA0157;PA0501;PA0098;PA0156;PA0590;PA3103;PA2103
36	PA1581;PA2584;PA3452;PA4010;PA4693;PA5429;PA0603;PA1180	PA5355;PA1646;PA3628;PA0228;PA5377;PA0844;PA4236;PA5427;PA5418;PA4125;PA2570;PA4759;PA0242;PA0444;PA3236;PA5435;PA4217;PA5378;PA2003;PA1174;PA4761;PA1557;PA1555;PA4351;PA5354;PA3361;PA5100;PA1173;PA1556;PA5417;PA5379;PA3629;PA5419;PA3337;PA5416;PA5420;PA5421;PA5415;PA1562;PA5376;PA5106
37	PA4804;PA4158;PA0682;PA4976;PA2857;PA1310	PA3377;PA0363;PA3100;PA2942;PA4808;PA3763;PA3437;PA5317;PA2641;PA0143;PA4730;PA3735
38	PA5378;PA4201;PA5436;PA5420;PA5421;PA0844;PA4901;PA0687;PA3373;PA3236;PA0684;PA0680;PA5435;PA5417;PA3814	PA3475;PA0662;PA2104;PA4244;PA2644
39	PA3476;PA1661;PA5353;PA4201;PA4202;PA3930;PA2104;PA0500;PA3929;PA5497;PA3333;PA3479;PA5355	PA2812;PA3187;PA2813;PA2811;PA2444;PA3195;PA2321
40	PA0106;PA3628;PA5377;PA1646;PA0844;PA1602;PA3236;PA0582;PA0583;PA5372;PA1447;PA5378;PA1179;PA2012;PA5417;PA2011;PA5379;PA3629;PA3512;PA5419;PA5416;PA5420;PA3505;PA5421;PA5415;PA5376;PA5418	PA0157;PA3187;PA3724;PA3345;PA2514;PA5304;PA5039
41	PA4640;PA2711;PA2638;PA1946;PA4524;PA5420;PA5421;PA4504;PA3236;PA4812;PA4810;PA5304;PA5417	PA1871;PA4208;PA4211;PA3442;PA3446;PA1902;PA3600;PA4130;PA3935;PA1217;PA4144;PA4209;PA4217;PA3443;PA1904;PA3877;PA0091;PA1000;PA0084;PA0085;PA3444;PA4205;PA3445;PA1901;PA4206;PA1903;PA1905;PA4207
42	PA2147;PA2948;PA3366;PA1421;PA2144;PA2371;PA4811;PA2165;PA2212;PA3361;PA2164;PA2104;PA4812;PA1931;PA5524;PA4810;PA2105;PA2153	PA0872;PA2008;PA1257;PA4706;PA2981;PA0870;PA3512;PA2009;PA3443;PA0204;PA3506;PA0205;PA0202;PA2007;PA0865
43	PA1719;PA1691;PA1698;PA1701;PA1722;PA1695;PA1690;PA1697;PA3600;PA1725;PA2446;PA1723;PA1694;PA0295;PA1724;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703	PA0091;PA5435;PA0085;PA0084;PA0089;PA3333;PA3930
44	PA0510;PA0024;PA0025;PA0524;PA0523;PA1856;PA3392;PA0519;PA0518;PA3877;PA3875;PA2263;PA3876;PA3874;PA3872;PA3814	PA4225;PA4224
45	PA2947;PA0849;PA3361;PA3195;PA4264;PA0108;PA0107	PA3151;PA3159;PA3156;PA3148;PA2009;PA3152;PA2446;PA4226;PA5415;PA2445;PA1320;PA5471;PA2444;PA2645;PA3155;PA4517;PA3158
46	PA1179;PA0747;PA2553;PA4733;PA4880;PA0263;PA3930;PA1984;PA0603;PA3570	PA3151;PA3159;PA3914;PA4761;PA3148;PA3721;PA5435;PA3152;PA0660;PA2104;PA5429;PA3877;PA4417;PA3875;PA3155;PA3876;PA2105;PA3158
47	PA4230;PA5171;PA4224;PA1557;PA2513;PA0325;PA4226;PA4228;PA4375;PA5119;PA4231	PA3151;PA2981;PA3156;PA3148;PA2566;PA0679;PA3152;PA3374;PA2307;PA3155;PA3498
48	PA0997;PA4402;PA4740;PA0998;PA5554;PA0430;PA0904;PA3105;PA3820;PA3861;PA4209;PA4217;PA5074;PA0996;PA4694;PA0796;PA4934;PA1000;PA4449;PA4271;PA2991;PA5505;PA0999;PA5555;PA2649;PA1001;PA1806;PA2645;PA3803;PA3822;PA2647;PA5076	PA1384
49	PA1976;PA3361;PA4973;PA1982	PA0132;PA3181;PA3751;PA3540;PA3600;PA1927;PA1602;PA1779;PA0130;PA4064;PA1140;PA3195;PA3182;PA2409;PA3547;PA4865;PA3183
50	PA3167;PA2981;PA2961;PA4050;PA2607;PA4064;PA4006;PA4750;PA5501	PA0997;PA0223;PA4122;PA0078;PA0182;PA4121;PA0222
51	PA1874;PA1657;PA3476;PA4163;PA3724;PA5192;PA0604;PA4024;PA3004;PA1658;PA3875;PA3877;PA1984;PA2648;PA3876;PA3874;PA1770	PA3554;PA3555;PA3552;PA4774;PA3553;PA3557;PA3558;PA4073;PA1024;PA3556;PA0195;PA0174;PA4777;PA4773;PA0175;PA3559
52	PA1317;PA5429;PA2445;PA1318;PA1320;PA2444	PA1667;PA4225;PA0997;PA1661;PA4211;PA0998;PA1902;PA1670;PA4130;PA2195;PA1984;PA1662;PA0494;PA4217;PA1002;PA1657;PA2193;PA4502;PA4226;PA3361;PA1904;PA4228;PA4773;PA0996;PA3724;PA1000;PA1982;PA3333;PA4231;PA0999;PA1669;PA3476;PA4230;PA2194;PA1901;PA1659;PA4224;PA1658;PA1668;PA1001;PA4133;PA1903;PA1905;PA1660
53	PA1874;PA1871;PA4208;PA0106;PA2446;PA3416;PA2570;PA0105;PA0107;PA5213;PA0180;PA1930;PA3477;PA2445;PA3478;PA2290;PA2160;PA5058;PA3724;PA3250;PA2373;PA2444;PA3346;PA4205;PA3479;PA4230;PA2566;PA4206;PA1318;PA4207;PA0108	PA0510;PA5355;PA0524;PA4740;PA3392;PA0518;PA0519;PA5508
54	PA3651;PA3936;PA3194;PA0944;PA5131;PA5554;PA3820;PA0668;PA5147;PA4442;PA5508	PA3719;PA1946;PA1174;PA0998;PA1902;PA3721;PA3364;PA1905;PA1602;PA1001;PA0704;PA1904;PA1173;PA1903;PA4211;PA1556;PA3366;PA4209;PA4217
55	PA3554;PA3555;PA4189;PA3552;PA2317;PA3553;PA3557;PA3558;PA4073;PA0293;PA0196;PA1024;PA4808;PA3556;PA4188;PA3559	PA4124;PA1719;PA4127;PA4163;PA4128;PA4122;PA4148;PA1430;PA4153;PA4125;PA4180;PA4123;PA4161;PA4152;PA4158;PA4133;PA1696;PA4172;PA4121;PA4138;PA4307
56	PA0230;PA4144	PA0510;PA4911;PA0518;PA3516;PA3523;PA0519;PA3521;PA0523;PA1856;PA3392;PA3522;PA2691;PA3874;PA0025;PA0024;PA1927;PA1384;PA3875;PA3872;PA3814;PA3517;PA0524
57	PA1581;PA1583;PA4333;PA4880;PA4812;PA1173;PA4810;PA4811	PA4706;PA4225;PA3446;PA2413;PA3600;PA3931;PA2408;PA3938;PA1856;PA2513;PA3443;PA4226;PA2390;PA4228;PA2389;PA3937;PA4707;PA2531;PA2412;PA0283;PA4158;PA3444;PA4708;PA4470;PA4231;PA4230;PA3445;PA4224;PA3601;PA2407;PA2409
58	PA4443;PA4193;PA3442;PA3446;PA1902;PA3935;PA3931;PA2594;PA3938;PA4442;PA1843;PA3443;PA2309;PA2600;PA3937;PA4588;PA1576;PA4192;PA1838;PA1927;PA0283;PA3444;PA2598;PA3936;PA3448;PA1795;PA0186;PA2204;PA3445;PA2202;PA3449	PA5372;PA4771;PA2367;PA5373;PA5415;PA2365;PA2408;PA3236;PA3582;PA2444;PA5417;PA0447;PA5418
59	PA0768;PA3151;PA3159;PA3651;PA1461;PA3156;PA3148;PA3152;PA4351;PA5175;PA3155;PA4939;PA0704;PA3158;PA2969	PA0228;PA2413;PA3600;PA2446;PA0242;PA5539;PA2512;PA5538;PA2008;PA0132;PA5302;PA2009;PA2513;PA2445;PA1923;PA4980;PA2507;PA2412;PA4064;PA2508;PA2444;PA2514;PA3601;PA5541;PA2000;PA0530;PA5415;PA4065;PA5304
60	PA0510;PA2203;PA4193;PA4208;PA3446;PA2413;PA3931;PA0518;PA0519;PA0523;PA1856;PA3392;PA2691;PA0281;PA3929;PA3182;PA3930;PA0024;PA0025;PA0280;PA2412;PA1320;PA4470;PA4205;PA5203;PA3183;PA3814;PA2204;PA0524;PA4206;PA4207	PA3337;PA1179
61	PA4695;PA0106;PA0105;PA1342;PA3195;PA4442;PA0107;PA2366;PA4913;PA0281;PA0195;PA3182;PA3937;PA4694;PA4696;PA3118;PA0283;PA3117;PA3444;PA3121;PA3183;PA3792;PA2862;PA3181;PA3194;PA3120;PA3193;PA0108	PA2553;PA0164;PA2001;PA0782;PA2248;PA5172;PA3366;PA0872;PA2008;PA2003;PA0523;PA5302;PA4771;PA0870;PA1317;PA2009;PA2007;PA3570;PA2011;PA2247;PA2014;PA2249;PA2250;PA0130;PA1320;PA0865;PA0524;PA2015;PA2555;PA2000;PA3569;PA1319;PA1999;PA1318;PA5304
62		PA4088;PA4038;PA4089;PA3914;PA1146;PA3589;PA4862;PA5541;PA0324;PA0325;PA3590;PA4859;PA0480;PA3877;PA5539;PA3876;PA4994;PA0222;PA3379
63	PA1258;PA1002;PA1257;PA2970;PA5570;PA5038;PA3512;PA2914;PA4159;PA3636	PA1455;PA5436;PA4563;PA4235;PA4646;PA4812;PA1726;PA0176
64	PA5331;PA3452;PA0164;PA1602;PA1092;PA3582;PA0494;PA4810;PA5508;PA3562;PA1095;PA3584;PA3579;PA3556;PA4773;PA4811;PA5445;PA1094;PA2323;PA2253;PA1421;PA3558;PA4812;PA0266;PA1086	PA2553;PA2001;PA2248;PA3935;PA2682;PA3454;PA2512;PA3938;PA4110;PA2008;PA2009;PA2513;PA3443;PA1072;PA2007;PA2445;PA4228;PA2014;PA2249;PA4064;PA2508;PA3444;PA2444;PA2514;PA4973;PA2013;PA2000;PA5415;PA4133;PA1999;PA1073
65	PA0082;PA2367;PA0095;PA0077;PA0088;PA0079;PA0080;PA0078;PA0602;PA3582;PA4810;PA2008;PA1657;PA2366;PA2009;PA2007;PA0090;PA4811;PA0075;PA0091;PA0084;PA0085;PA0074;PA3333;PA0083;PA2685;PA2362;PA2368;PA2000;PA2365;PA1999;PA4812;PA0087	PA0999;PA0997;PA3872;PA4771;PA3158;PA3601;PA0998;PA1000;PA3600;PA5541;PA1001;PA4158;PA3875;PA2811;PA3877;PA1319;PA4470;PA0996;PA5538
66	PA2518;PA2058;PA2343	PA5322;PA4740;PA5069;PA4251;PA0002;PA5128;PA4464;PA2742;PA3139;PA4257;PA5164;PA1580;PA4272;PA1552;PA3656;PA1584;PA3014;PA4254;PA4242;PA3001;PA4274;PA5013;PA4245;PA3686;PA5243;PA0432;PA4483;PA4255;PA1588;PA3162;PA1587;PA4252;PA5161;PA4241;PA2741
67	PA0872;PA3870;PA5302;PA0870;PA2009;PA0782;PA2007;PA2811;PA4161;PA2813;PA0865;PA2812;PA3874;PA3872	PA3553;PA0998;PA3559;PA1179;PA3552;PA4774;PA3557;PA3556;PA1685;PA0958;PA4773;PA3379;PA2352;PA1180;PA3554;PA1719;PA3555;PA3724;PA0849;PA3183;PA3558;PA1001
68	PA0427;PA0293	PA3600;PA2446;PA4125;PA1694;PA3236;PA1717;PA5539;PA5538;PA1690;PA1697;PA1725;PA2445;PA1923;PA1696;PA4121;PA5417;PA1693;PA1719;PA1701;PA1695;PA4122;PA1723;PA4064;PA2444;PA1703;PA1691;PA1722;PA1698;PA5420;PA3601;PA5541;PA5421;PA1724;PA5415;PA4065;PA1716;PA1692
69	PA0232;PA3553;PA0228;PA0226;PA3582;PA5471;PA2512;PA1179;PA3552;PA3584;PA2513;PA2811;PA2019;PA1180;PA0447;PA3554;PA2507;PA0227;PA2018;PA5429;PA2508;PA2514;PA5313;PA5312;PA0266	PA3187;PA3236;PA1070;PA3103;PA3366;PA4442;PA2008;PA1946;PA2009;PA3364;PA2007;PA0958;PA3182;PA4588;PA5103;PA3121;PA0865;PA0275;PA3183;PA2261;PA3181;PA2000;PA2263
70	PA0999;PA3476;PA3609;PA0997;PA5163;PA2566;PA0998;PA1000;PA4351;PA2412;PA5162;PA2195;PA1001;PA2408;PA2407;PA2409;PA0996;PA2352	PA3553;PA3187;PA3541;PA3582;PA3195;PA3545;PA3559;PA1179;PA3552;PA4774;PA3584;PA3540;PA1317;PA3182;PA4773;PA4777;PA3554;PA2323;PA1320;PA4776;PA2321;PA3183;PA3181;PA3558;PA3194;PA1319;PA1318;PA3551;PA3193
71	PA0502;PA0501;PA0503;PA0088;PA3610	PA2592;PA0747;PA2553;PA0106;PA3417;PA4236;PA1249;PA1984;PA2815;PA3582;PA5172;PA0105;PA1342;PA1562;PA0107;PA2008;PA2366;PA0178;PA0870;PA1174;PA2009;PA3477;PA2007;PA3418;PA1173;PA3478;PA5171;PA3724;PA0179;PA2623;PA0865;PA3333;PA3479;PA0177;PA2000;PA5173;PA2365;PA4211;PA2573
72	PA1871;PA0747;PA2367;PA0106;PA2553;PA3417;PA1902;PA4130;PA2446;PA3416;PA2570;PA1217;PA0105;PA0175;PA0113;PA4209;PA0107;PA0132;PA0180;PA1930;PA5213;PA0178;PA2371;PA3361;PA1904;PA2445;PA0176;PA2247;PA5353;PA2249;PA2373;PA0174;PA0112;PA0177;PA1130;PA1901;PA2566;PA0108;PA4133;PA4290;PA3569;PA0704;PA5355	PA2948;PA1277;PA2944;PA2904;PA3600;PA3713;PA2905;PA1275
73	PA4443;PA2203;PA4193;PA3442;PA1756;PA2599;PA3446;PA3935;PA3931;PA2594;PA3447;PA2310;PA3938;PA4442;PA0523;PA1224;PA3392;PA2513;PA3443;PA0281;PA2086;PA2600;PA2083;PA3937;PA2062;PA4192;PA1838;PA0280;PA0283;PA3444;PA2598;PA3936;PA4195;PA4194;PA5103;PA2084;PA0282;PA2204;PA3445;PA0524;PA2202;PA3449	PA1657;PA1719;PA1691;PA1701;PA0851;PA1698;PA1722;PA1695;PA1690;PA1697;PA1725;PA1024;PA1723;PA1927;PA1694;PA1724;PA1692;PA1696;PA4121;PA1693;PA1703
74	PA4225;PA4706;PA4230;PA4513;PA4224;PA4470;PA2413;PA4708;PA2531;PA2412;PA4226;PA2390;PA4158;PA2408;PA4228;PA2407;PA2389;PA2409;PA4707;PA4231	PA3531;PA4236;PA4880;PA2446;PA5415;PA2445;PA4812;PA2444
75	PA0232;PA3628;PA3236;PA5471;PA2512;PA5302;PA4761;PA3182;PA2019;PA5417;PA3629;PA0227;PA5419;PA2508;PA1982;PA5416;PA3183;PA4385;PA4918;PA3181;PA5420;PA5421;PA0403;PA5415;PA5418	PA3479;PA1871;PA2261;PA2366;PA2367;PA4205;PA1902;PA1905;PA1927;PA2570;PA3361;PA1249;PA1904;PA3929;PA2365;PA4211;PA1903;PA4470;PA3478;PA3930
