feature	positive_signature	negative_signature
0	PA2438;PA5498;PA4172;PA5500;PA3601;PA5541;PA3600;PA1927;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA5538;PA2913	PA1179;PA0997;PA0523;PA1701;PA3187;PA0998;PA1000;PA4226;PA4812;PA1692;PA1716;PA1696;PA4811;PA3366;PA1180;PA1693
1	PA1874;PA1871;PA4208;PA0106;PA3417;PA2446;PA3416;PA2570;PA1249;PA0105;PA0175;PA0113;PA0107;PA5213;PA0180;PA1930;PA2151;PA3477;PA3478;PA2160;PA5058;PA3724;PA0179;PA3348;PA2373;PA3346;PA4205;PA3479;PA0112;PA3568;PA2566;PA4206;PA0108;PA4290;PA4207;PA0704	
2	PA0082;PA5427;PA0095;PA0079;PA0077;PA0088;PA0518;PA0080;PA0078;PA5172;PA0519;PA3584;PA2193;PA1557;PA1555;PA0090;PA3877;PA1556;PA0075;PA0091;PA5171;PA0089;PA0084;PA0072;PA0085;PA3337;PA0074;PA0087;PA0083;PA0836;PA0295;PA5173;PA0081	PA3554;PA3555;PA1179;PA3552;PA4774;PA3553;PA3557;PA1690;PA3558;PA4455;PA3930;PA3556;PA3929;PA3444;PA4776;PA1693;PA4773;PA1692;PA4777;PA1180;PA3559
3	PA3476;PA5171;PA5173;PA1092;PA5172;PA3333	PA4443;PA4225;PA4193;PA3446;PA3721;PA2446;PA3931;PA0519;PA4442;PA2008;PA0523;PA1856;PA1317;PA3392;PA4226;PA2691;PA0281;PA2811;PA4228;PA2011;PA1321;PA4192;PA1838;PA0280;PA2014;PA0283;PA1320;PA2444;PA4195;PA4205;PA4231;PA0282;PA2204;PA4230;PA0524;PA4224;PA4206;PA2000;PA1319;PA1318;PA4207
4	PA0106;PA0108;PA5429;PA0105;PA1341;PA2105;PA0107	PA0997;PA4225;PA3553;PA0998;PA1902;PA1092;PA1717;PA0036;PA3559;PA4217;PA1002;PA0132;PA1095;PA3584;PA3552;PA4774;PA1087;PA3557;PA1317;PA1905;PA2009;PA1725;PA4226;PA1904;PA4228;PA2007;PA3556;PA4773;PA5445;PA0996;PA4777;PA1321;PA3554;PA3555;PA1094;PA1000;PA1723;PA0130;PA1320;PA4776;PA4231;PA0999;PA4230;PA4224;PA3558;PA0504;PA1001;PA1319;PA1318;PA4211;PA1086;PA5304;PA5106
5	PA1095;PA2193;PA1094;PA1249;PA1092;PA1086;PA1087	PA3151;PA3159;PA4051;PA4193;PA4192;PA3350;PA3156;PA1224;PA3148;PA4195;PA3361;PA4194;PA5162;PA3155;PA2232;PA4969;PA3158;PA3570
6	PA1260;PA5420;PA1976;PA0441;PA5522;PA0844;PA0184;PA2296;PA0684;PA1982;PA4811;PA5508	PA0009;PA3187;PA2013;PA3315;PA2014;PA4206;PA2000;PA4504;PA4430;PA5429;PA0130;PA2644;PA5554;PA4280;PA4205;PA2011
7	PA4252;PA2009;PA4251;PA4272;PA4238;PA3820;PA0316;PA4700	PA1874;PA1871;PA4208;PA4211;PA1902;PA2570;PA1217;PA1092;PA4209;PA4217;PA1095;PA3477;PA3361;PA1904;PA3478;PA5058;PA3724;PA4205;PA3479;PA1130;PA1901;PA2566;PA4206;PA1903;PA1905;PA4207
8	PA3097;PA2812;PA3194;PA1072;PA2813;PA2587;PA2811;PA3313;PA3182;PA3105;PA3195;PA5435	PA1321;PA4771;PA1317;PA5541;PA3600;PA2513;PA2514;PA1319;PA4065;PA4064;PA1320;PA3444;PA5539;PA1318;PA2512;PA5538;PA2969
9	PA3554;PA3555;PA4189;PA3552;PA2317;PA0427;PA3553;PA3557;PA3558;PA4073;PA0293;PA1024;PA3556;PA4188;PA3559	PA0997;PA3187;PA0998;PA4130;PA4125;PA4180;PA4138;PA4128;PA4148;PA4123;PA4161;PA4152;PA4121;PA1693;PA4163;PA1000;PA4122;PA4158;PA0999;PA4127;PA4153;PA1001;PA4133;PA4124;PA4307
