feature	positive_signature	negative_signature
0	PA5372;PA1976;PA2809;PA3600;PA0887;PA0996;PA5388;PA4290;PA1982;PA0108;PA4209	PA3607;PA3366;PA3721;PA2682;PA3545;PA2263;PA3542;PA3769;PA2261
1	PA1691;PA3320;PA4973;PA3181;PA5436;PA3187;PA2323;PA3120;PA0263;PA3183;PA3182;PA2263;PA2321;PA2261;PA1703	PA3719;PA3600;PA1602;PA5501;PA5538;PA4217;PA1104;PA5445;PA2913;PA0130;PA4064;PA1982;PA4205;PA1421;PA3568;PA2566;PA3601;PA4069;PA5541;PA0887;PA4065;PA4290;PA1905
2	PA0999;PA2360;PA1257;PA5523;PA2362;PA0178;PA1446;PA5570;PA5522;PA4130;PA2363;PA4901;PA1931;PA0174;PA0173;PA0175;PA2361	PA1976;PA4206;PA4868;PA4207;PA1982;PA5426;PA5119
3	PA4089;PA3896	PA4741;PA4246;PA1583;PA4259;PA5316;PA4944;PA0002;PA5242;PA5560;PA5554;PA4464;PA4268;PA4238;PA1457;PA3745;PA2742;PA4406;PA3637;PA4260;PA4433;PA1581;PA1505;PA4257;PA2638;PA2970;PA5570;PA1580;PA4272;PA1552;PA3656;PA1584;PA5337;PA4274;PA4254;PA5013;PA4267;PA4751;PA4262;PA4264;PA1770;PA4242;PA4245;PA4239;PA4243;PA3686;PA0579;PA4483;PA4563;PA1582;PA4253;PA4255;PA3348;PA4425;PA4244;PA4942;PA4273;PA4247;PA3814;PA4248;PA1588;PA2634;PA3162;PA4568;PA4258;PA4671;PA5110;PA3742;PA4252;PA4249;PA4240;PA1010;PA4263;PA4429;PA4241;PA2741
4	PA0510;PA4225;PA3446;PA2413;PA3931;PA0518;PA2408;PA0519;PA0523;PA1856;PA3392;PA3443;PA4226;PA2691;PA3930;PA2412;PA0283;PA3444;PA4708;PA4470;PA3814;PA2204;PA4230;PA0524;PA2407	PA2008;PA2009;PA2000;PA0605;PA1999;PA0865;PA3366
5	PA0083;PA0849;PA2813;PA2811;PA2444;PA2232;PA2812	PA1002;PA0999;PA3476;PA0997;PA4211;PA0524;PA3874;PA0998;PA1000;PA4504;PA1001;PA3875;PA0958;PA0996;PA4307
6	PA3151;PA5302;PA3148;PA3603;PA4880;PA2813;PA2811;PA3155;PA4810;PA2812;PA0865;PA5508	PA1317;PA4069;PA1602;PA2943;PA1319;PA3236;PA0958;PA2514;PA4470
7	PA4886;PA2903;PA5549;PA4418;PA3513	PA3792;PA1274;PA1823;PA0363;PA3211;PA3088;PA4234;PA2640;PA0590;PA3763;PA3361;PA2607;PA5199;PA5338;PA2641;PA2644;PA0766;PA3121
8	PA0999;PA0997;PA0998;PA1000;PA2513;PA0085;PA1001;PA3877;PA2512;PA0996	PA1694;PA1717;PA1256;PA1690;PA1697;PA1725;PA2445;PA1696;PA1693;PA5098;PA1719;PA1701;PA1695;PA4122;PA1723;PA5082;PA2444;PA1703;PA1691;PA1722;PA1698;PA1724;PA1716;PA1692
9	PA3151;PA3159;PA1095;PA4918;PA3156;PA3148;PA1094;PA4503;PA3152;PA2105;PA1092;PA2739;PA0958;PA1086;PA3155;PA4280;PA2104;PA3158	PA0494
10	PA4225;PA4706;PA4230;PA4224;PA4470;PA2413;PA4708;PA2531;PA3600;PA2412;PA4226;PA2390;PA4158;PA2408;PA4228;PA2407;PA2389;PA2409;PA4707;PA4159;PA4231	PA1174;PA4812;PA3531;PA4880
11	PA4127;PA0997;PA4163;PA4128;PA4130;PA0782;PA4122;PA4125;PA4180;PA4123;PA4161;PA4152;PA4158;PA4133;PA4124;PA4121;PA4138	PA3554;PA3555;PA4189;PA3552;PA3553;PA2685;PA3557;PA3558;PA4073;PA3600;PA0293;PA1024;PA3556;PA4064;PA4188;PA4777;PA3559
12	PA3416;PA1997;PA5106;PA4901	PA0380;PA3438;PA3719;PA5316;PA4740;PA5493;PA4238;PA3166;PA2644;PA2744;PA4406;PA1581;PA0393;PA1589;PA2970;PA4256;PA1580;PA4272;PA3763;PA1584;PA4242;PA0609;PA4429;PA5558;PA4245;PA4694;PA4934;PA0432;PA0302;PA5557;PA0968;PA1582;PA3004;PA4255;PA4244;PA4932;PA5217;PA5568;PA4567;PA4258;PA4252;PA3742;PA5192;PA3822;PA5555;PA3569
13	PA0997;PA1871;PA4211;PA0998;PA1902;PA4130;PA2195;PA3582;PA4209;PA4217;PA1002;PA2193;PA1904;PA4228;PA0996;PA1000;PA1927;PA3333;PA0999;PA3476;PA4230;PA2194;PA1901;PA1001;PA4133;PA1903;PA1905	PA0510;PA0025;PA3936;PA4193;PA0523;PA0524;PA1317;PA3392;PA3449;PA3443;PA2691;PA0896;PA0518;PA3541;PA0130;PA3444;PA2444;PA3937;PA0519
14	PA0997;PA2592;PA0363;PA0998;PA1902;PA2569;PA4209;PA4217;PA1002;PA5508;PA2193;PA1905;PA1904;PA0996;PA1000;PA4205;PA0999;PA1901;PA1001;PA5173;PA1903;PA4211;PA4207	PA3375;PA4189;PA1778;PA3719;PA1781;PA1783;PA4073;PA2513;PA4351;PA0085;PA1024;PA2445;PA1320;PA2444;PA2514;PA0089;PA4862
15	PA4443;PA4193;PA3446;PA3600;PA3935;PA3931;PA1249;PA2594;PA5539;PA3938;PA5538;PA4442;PA4774;PA0281;PA3929;PA4773;PA3937;PA4865;PA5417;PA3930;PA4867;PA1838;PA0280;PA0283;PA4064;PA3444;PA0999;PA2204;PA3531;PA3601;PA5541;PA1001;PA4065;PA5272;PA4307	PA3609;PA3719;PA3187;PA3721;PA2446;PA4687;PA4688;PA0872;PA2008;PA3584;PA2009;PA2445;PA2007;PA5100;PA5098;PA2249;PA2250;PA2444;PA0865;PA5217;PA2000;PA0887;PA1999;PA1318;PA2579;PA5106
16	PA2013;PA2858;PA2014;PA2012;PA1326;PA0494	PA4225;PA4230;PA4224;PA1317;PA5541;PA3600;PA4351;PA4226;PA4158;PA1319;PA4228;PA4064;PA1320;PA1318;PA5538;PA4231;PA1321
17	PA0098;PA4202;PA5176;PA0749;PA4376;PA2104;PA4158;PA1326;PA2105;PA3814	PA2438;PA2367;PA2413;PA2446;PA2408;PA2473;PA2317;PA2366;PA2445;PA2442;PA2370;PA2389;PA2443;PA2290;PA2352;PA3629;PA2327;PA2412;PA2373;PA2444;PA2471;PA3751;PA2368;PA2365;PA2407;PA2409
18	PA4433;PA4563;PA1317;PA5316;PA4249;PA4264	PA1930;PA3601;PA4236;PA3600;PA2412;PA0849;PA3516;PA2815;PA3551;PA4470;PA3025
19	PA0482;PA3552;PA2317;PA0098;PA2634;PA4872;PA4073;PA4122;PA0196;PA1024;PA4812;PA0195;PA4776;PA0174;PA3001;PA4773;PA4810;PA5445;PA4811;PA4777	PA3151;PA3159;PA0999;PA3476;PA4973;PA3187;PA3148;PA0604;PA1000;PA1430;PA3152;PA0605;PA0606;PA1001;PA0603;PA3155;PA1003;PA1432;PA3158
20	PA0999;PA0997;PA4193;PA4195;PA0998;PA4956;PA1000;PA2018;PA1001;PA2444;PA2019;PA2232;PA0996	PA3159;PA1095;PA1094;PA4500;PA4504;PA1092;PA4750;PA1086;PA1087
21		PA4088;PA4038;PA4089;PA3914;PA1146;PA3589;PA4862;PA3449;PA5541;PA0324;PA0325;PA3590;PA4859;PA3877;PA5539;PA3876;PA4994;PA0222;PA3379
22	PA1874;PA1871;PA4208;PA2144;PA1249;PA2162;PA2151;PA3100;PA2163;PA3477;PA4880;PA2416;PA2152;PA2164;PA3478;PA2153;PA3570;PA2160;PA2147;PA3724;PA2165;PA3348;PA3346;PA4172;PA5111;PA4205;PA3479;PA2566;PA4206;PA1933;PA4207;PA3569	PA0245;PA3333;PA1518;PA3874;PA3877;PA5471;PA3876;PA3875;PA3872
23	PA0872;PA3366;PA5302;PA3531;PA0870;PA5436;PA2009;PA2248;PA2446;PA2000;PA2249;PA2250;PA2445;PA2007;PA1999;PA2444;PA0865;PA5435;PA2011	PA2652;PA5523;PA0153;PA4225;PA1260;PA4230;PA2862;PA4224;PA3600;PA4911;PA4226;PA1423;PA5313;PA4228;PA5471;PA4231
24	PA4443;PA4310;PA4193;PA3446;PA3442;PA3600;PA3935;PA3938;PA4442;PA5538;PA3526;PA0399;PA5080;PA3443;PA0281;PA2083;PA3937;PA4588;PA4192;PA1493;PA1838;PA0283;PA3444;PA3936;PA2204;PA4230;PA3445;PA3601;PA5541;PA0263	PA3187;PA3236;PA3582;PA0494;PA4217;PA5372;PA4771;PA1946;PA4504;PA3182;PA5445;PA3025;PA2711;PA4503;PA3232;PA4500;PA4205;PA3183;PA4505;PA3181;PA2649;PA3194;PA0887;PA2645;PA4290;PA3193;PA2647
25	PA5508;PA4613;PA4201;PA4342	PA1179;PA1027;PA3187;PA4455;PA2566;PA1384;PA2644;PA2018;PA1180;PA4430;PA2365;PA0035;PA2444;PA1135;PA4280;PA5230
26	PA0510;PA5427;PA4235;PA4236;PA0518;PA1049;PA5172;PA0519;PA0523;PA2193;PA1557;PA1555;PA3392;PA3877;PA5230;PA1556;PA0024;PA5171;PA1561;PA3337;PA0835;PA5497;PA2194;PA0524;PA0836;PA0295;PA5173;PA2195	PA3929;PA3930
27	PA0768;PA3651;PA3642;PA0363;PA3187;PA3582;PA4810;PA3861;PA2969;PA3584;PA0890;PA1534;PA3182;PA0668;PA0593;PA0944;PA3193;PA2321;PA3183;PA3181;PA3643;PA3821;PA3822	PA3629;PA5106;PA2550;PA5096;PA4973;PA5171;PA3250;PA5103;PA5020;PA5092;PA3931;PA5173;PA0835;PA2600;PA5100;PA5172;PA4829;PA3444;PA3938;PA5091;PA5355
28	PA0997;PA0998;PA1694;PA1717;PA2105;PA1690;PA1697;PA1725;PA1696;PA1003;PA0996;PA1693;PA4588;PA1719;PA1701;PA1695;PA1000;PA1723;PA1703;PA0999;PA1691;PA1722;PA1698;PA4973;PA1724;PA1001;PA1716;PA0143	PA2944;PA3553;PA3187;PA1984;PA1092;PA2512;PA5435;PA5508;PA4217;PA1095;PA1179;PA3552;PA3557;PA2513;PA3556;PA4773;PA1180;PA3554;PA5154;PA1094;PA4500;PA2514;PA0524;PA3558;PA5155;PA1073
29	PA3607;PA3610;PA3608	PA0747;PA2553;PA0106;PA3417;PA2248;PA1249;PA2815;PA3582;PA0105;PA5172;PA1562;PA0107;PA2008;PA2366;PA0178;PA0870;PA1174;PA3477;PA3418;PA1135;PA3478;PA3570;PA2247;PA0796;PA5171;PA3724;PA0179;PA2250;PA2249;PA2623;PA0865;PA3333;PA1247;PA3479;PA0177;PA2015;PA2555;PA2013;PA5173;PA2365;PA4211;PA2573;PA3569
30	PA1874;PA2160;PA2147;PA2151;PA2144;PA2163;PA2566;PA3477;PA1927;PA2570;PA2164;PA1931;PA3252;PA2153;PA0107	PA0777;PA0523;PA0524;PA4761;PA3392;PA2009;PA2000;PA0518;PA1999;PA0519
31	PA5443	PA0997;PA4211;PA0998;PA1694;PA4125;PA1217;PA1717;PA4217;PA1002;PA1657;PA1690;PA1697;PA1725;PA1904;PA4228;PA1696;PA4121;PA0996;PA1693;PA1719;PA1701;PA1695;PA1000;PA4122;PA1927;PA1723;PA1716;PA0865;PA4470;PA4205;PA1703;PA0999;PA1691;PA1722;PA1698;PA4206;PA1724;PA1001;PA1905;PA4124;PA1692;PA4207
32	PA2666;PA1611	PA2514;PA4073;PA2922;PA2513
33	PA4846;PA0380;PA4568;PA0363;PA2666;PA0342;PA0654;PA0006;PA4960;PA5039;PA4456;PA1674;PA4750;PA5445;PA2579;PA4232;PA5270	PA1874;PA4208;PA1417;PA4206;PA1927;PA2445;PA4228;PA4207;PA0182;PA4205
34	PA3584;PA2203;PA3936;PA3446;PA1838;PA5069;PA2813;PA2811;PA3444;PA2492;PA3937;PA4195;PA2812;PA1432;PA2019	PA1719;PA1071;PA3187;PA1317;PA5560;PA0604;PA1000;PA4504;PA1072;PA0887;PA1319;PA1070;PA1320;PA1001;PA0958;PA1318;PA5355
35	PA1002;PA0999;PA3476;PA0997;PA0998;PA3477;PA1725;PA1000;PA4125;PA1432;PA2408;PA1001;PA4211;PA1003;PA0996	PA3582;PA3366;PA4110;PA0132;PA3584;PA0523;PA3392;PA4504;PA5100;PA3570;PA5098;PA5154;PA0849;PA1927;PA4500;PA2444;PA0524;PA3568;PA5155;PA0887;PA4290;PA1073;PA3569
36	PA3182;PA4899;PA2263;PA0105;PA3187	PA1661;PA0997;PA4208;PA0998;PA0844;PA5418;PA2570;PA1070;PA3236;PA4217;PA5378;PA1657;PA0681;PA4228;PA3877;PA5417;PA5379;PA1000;PA0085;PA5419;PA0357;PA0680;PA3875;PA3876;PA4205;PA5416;PA4230;PA5420;PA4206;PA5421;PA5415;PA4211;PA5376;PA4207
