feature	positive_signature	negative_signature
37	PA3151;PA5010;PA3148;PA4548;PA0968;PA2843;PA1668;PA1806;PA2962;PA4908;PA0934	PA1179;PA0523;PA0524;PA3446;PA1557;PA5221;PA5298;PA3600;PA0685;PA4454;PA4375;PA0357;PA1180;PA5508
38	PA0510;PA0024;PA0025;PA3870;PA0523;PA1856;PA0524;PA3392;PA4235;PA0519;PA2691;PA0518;PA3875;PA1092;PA3874;PA3872;PA3814	
39	PA0083;PA0747;PA1421;PA3910;PA2555;PA2352;PA0677;PA3384;PA1813;PA0084;PA4351;PA0678;PA0679;PA3383;PA2022;PA0347;PA3379;PA1004	PA5554;PA5429;PA3187
40	PA1874;PA1871;PA4208;PA5163;PA4211;PA2553;PA3417;PA1902;PA4130;PA2248;PA2446;PA3416;PA2570;PA2195;PA1092;PA0175;PA4209;PA4217;PA1087;PA5164;PA2193;PA2009;PA3361;PA1904;PA2445;PA3418;PA3478;PA3570;PA2247;PA3724;PA1094;PA2249;PA2250;PA0865;PA4205;PA3479;PA1130;PA2194;PA1901;PA2566;PA4206;PA4133;PA1903;PA1905;PA3569;PA0704;PA4207	PA4973;PA2862;PA2811
41	PA1179;PA2862;PA3377;PA3584;PA2555;PA1100;PA4309;PA2570;PA2920;PA2012;PA5100;PA4786;PA5098	PA4226;PA2648;PA4228;PA3935
42	PA0082;PA0095;PA0077;PA0088;PA0079;PA0080;PA0078;PA0098;PA2541;PA0090;PA0075;PA0081;PA0091;PA0084;PA0072;PA0085;PA0074;PA0087;PA0083;PA2685;PA2536;PA0089	PA0997;PA3187;PA0998;PA1902;PA4130;PA2570;PA1984;PA0494;PA4217;PA2008;PA1905;PA2009;PA1904;PA2007;PA0996;PA3478;PA1000;PA3333;PA0999;PA2891;PA1901;PA2000;PA1001;PA4133;PA2889;PA1999;PA1903;PA4211;PA1073
43	PA3554;PA3555;PA0083;PA4189;PA3552;PA0427;PA3553;PA3557;PA4230;PA3558;PA4073;PA0085;PA0293;PA0084;PA1024;PA3556;PA4188;PA0081;PA3559	PA4130;PA4125;PA4180;PA4138;PA4128;PA4148;PA4123;PA4161;PA4152;PA1696;PA4121;PA1693;PA4163;PA1701;PA4122;PA4158;PA4172;PA4127;PA1698;PA4153;PA4133;PA4124
44	PA1667;PA5069;PA0080;PA3584;PA3552;PA2638;PA3182;PA4773;PA2019;PA2382;PA2616;PA2018;PA1982;PA2321;PA3183;PA2261;PA3181;PA1421;PA0263;PA2263;PA3193;PA0081;PA2579	PA0999;PA0524;PA0998;PA3721;PA1000;PA4941;PA1001;PA3672;PA5217;PA2011;PA0112
45	PA3929;PA3930	PA0510;PA5427;PA4235;PA0518;PA1662;PA1049;PA5172;PA0519;PA1657;PA0523;PA2193;PA1557;PA1555;PA4351;PA3877;PA5230;PA1556;PA3874;PA0024;PA5171;PA1561;PA3337;PA1656;PA3876;PA5497;PA3875;PA3872;PA2194;PA0524;PA0836;PA0295;PA5173;PA4812
46	PA1258;PA1581;PA1257;PA1446;PA2970;PA3636;PA5570;PA3512;PA0590;PA1320;PA2645;PA4159;PA4429;PA3028	PA1798;PA2711;PA5436;PA4563;PA4956;PA4646;PA2976;PA1726
47	PA1719;PA1691;PA1722;PA1701;PA1698;PA1695;PA1690;PA1697;PA5139;PA1725;PA1723;PA0295;PA1724;PA1694;PA3361;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703	PA3181;PA0523;PA0524;PA3187;PA3194;PA3392;PA0678;PA0518;PA2408;PA3182;PA3193;PA3195;PA0519;PA3183
48	PA0872;PA1001;PA0998;PA4773	PA3151;PA3159;PA4192;PA3514;PA3158;PA3156;PA3148;PA0206;PA3152;PA5173;PA2104;PA0203;PA3155;PA1384;PA3498;PA2105;PA1393
49	PA3553;PA1602;PA5172;PA3559;PA1179;PA3552;PA4774;PA3584;PA3557;PA4761;PA1904;PA3556;PA4773;PA1180;PA4777;PA3554;PA3555;PA5171;PA4776;PA3479;PA3558;PA4211;PA4307	PA4497;PA2446;PA3541;PA1070;PA3545;PA2008;PA0870;PA2009;PA1072;PA2445;PA2007;PA2442;PA2443;PA2247;PA5154;PA5082;PA2444;PA0865;PA4496;PA2000;PA5415;PA1073;PA1999;PA3345;PA0089;PA3547
50	PA1667;PA0997;PA2592;PA1661;PA1871;PA4211;PA0998;PA1902;PA4130;PA2195;PA2570;PA1249;PA1662;PA4144;PA2232;PA4209;PA4217;PA1002;PA1657;PA2193;PA3477;PA3361;PA1904;PA3418;PA3478;PA0996;PA3724;PA1000;PA1656;PA0865;PA3333;PA3479;PA0999;PA3476;PA1130;PA2194;PA1901;PA1659;PA1658;PA2000;PA1668;PA1001;PA4133;PA1999;PA1903;PA1905;PA1660	PA1602;PA4918;PA4919;PA2811
51		PA0510;PA0024;PA0025;PA0524;PA0523;PA1856;PA3392;PA2691;PA1249;PA0518;PA4290;PA5445;PA0519
52	PA3651;PA3642;PA4771	PA4910;PA0106;PA4497;PA4024;PA4217;PA0107;PA2008;PA1737;PA1174;PA1905;PA2009;PA4915;PA1904;PA2007;PA5100;PA1173;PA0176;PA3250;PA3333;PA0112;PA4496;PA5094;PA1903;PA4211;PA0108;PA5106
53	PA3554;PA3555;PA1179;PA3552;PA3553;PA3557;PA3558;PA3556;PA1180;PA3559	PA0510;PA0997;PA3870;PA3446;PA0998;PA3931;PA0518;PA3236;PA0519;PA4442;PA0523;PA1856;PA3392;PA4226;PA2691;PA0281;PA3874;PA0996;PA5417;PA3930;PA0024;PA1000;PA2412;PA4470;PA3875;PA3872;PA0999;PA2204;PA0524;PA5421;PA1001;PA1319
54	PA4418;PA2673;PA1810;PA2810;PA3590;PA0202;PA0203;PA0996	PA0768;PA3687;PA3300;PA4741;PA3438;PA1013;PA1493;PA3083;PA1317;PA3976;PA3742;PA1813;PA3471;PA0835;PA0901;PA3480;PA4314;PA4676;PA4865
55	PA1778;PA4861;PA0686;PA3437;PA1410;PA1384;PA2518;PA0222;PA0424	PA0777;PA4031;PA1823;PA5221;PA5140;PA3088;PA5012;PA4234;PA3361;PA4376;PA5516;PA0552;PA2905;PA2920;PA5349;PA5228;PA4676
56	PA1095;PA2193;PA1094;PA4500;PA2585;PA1904;PA1092;PA4750;PA1086;PA5452;PA1087	PA3151;PA4051;PA4193;PA3514;PA4192;PA0206;PA1224;PA2018;PA0205;PA4194;PA3155;PA2232;PA3498;PA3158;PA2019
57		PA4443;PA3446;PA3600;PA3236;PA5388;PA3582;PA5539;PA5501;PA3938;PA5538;PA4217;PA4110;PA4771;PA3443;PA2691;PA1923;PA2912;PA3182;PA5499;PA2913;PA4588;PA1260;PA4192;PA5500;PA0283;PA3337;PA4064;PA3444;PA4172;PA3183;PA3181;PA3601;PA5541;PA5421;PA4065;PA3551;PA4919
58	PA3415;PA4901;PA3416;PA3361;PA4786;PA2907	PA4741;PA5316;PA4740;PA4235;PA5560;PA5128;PA0430;PA1249;PA3832;PA5315;PA4750;PA1581;PA0303;PA4257;PA2970;PA5570;PA1580;PA4669;PA1552;PA4748;PA1584;PA4239;PA3636;PA0546;PA3686;PA5557;PA0968;PA1582;PA4696;PA4255;PA2444;PA5497;PA1156;PA1587;PA4252;PA3645;PA4211;PA5554;PA4241;PA5215;PA5076
59	PA2652;PA1719;PA4307;PA1078;PA4163;PA4310;PA3187;PA3579;PA1081;PA1083;PA1080;PA1101;PA1077;PA1693;PA5137;PA1082;PA3526;PA1079	PA3459;PA4774;PA2317;PA3540;PA4073;PA4880;PA2018;PA2815;PA0854;PA2569;PA2019;PA4110
60	PA2360;PA2361;PA2473;PA0851;PA2673;PA3590;PA3426;PA1931;PA3526	PA4443;PA4740;PA5176;PA5560;PA1984;PA5172;PA2105;PA1155;PA1581;PA4257;PA4256;PA1580;PA4274;PA0609;PA2104;PA2011;PA3639;PA0024;PA5171;PA5557;PA1582;PA2014;PA4255;PA5429;PA2444;PA1982;PA3531;PA1156;PA0887;PA5554;PA3569
61	PA0326;PA4908;PA2674;PA2059;PA2217	PA0895;PA5322;PA5069;PA5242;PA4235;PA3043;PA0651;PA3171;PA5277;PA5164;PA1552;PA3629;PA5243;PA0432;PA4500;PA4255;PA2796;PA5039;PA1455;PA0650;PA1010;PA5153
62	PA0997;PA2592;PA1871;PA4310;PA0998;PA4130;PA2195;PA5172;PA3105;PA0519;PA1002;PA1657;PA2193;PA1557;PA1555;PA3477;PA4502;PA4504;PA1904;PA4228;PA2587;PA5230;PA1003;PA3478;PA0996;PA1432;PA1556;PA0157;PA3724;PA1000;PA5497;PA3333;PA3479;PA0999;PA3476;PA4230;PA2194;PA1658;PA1001;PA4133;PA4211;PA0143	PA3568;PA2018;PA1566;PA2019;PA0494;PA3547;PA5098
63	PA5171;PA1555;PA5427;PA2338;PA1092;PA5172;PA1556	PA0997;PA2592;PA4225;PA0998;PA4130;PA3366;PA1002;PA0872;PA1657;PA4771;PA2080;PA1946;PA2193;PA4226;PA4504;PA4228;PA4773;PA1003;PA1432;PA0996;PA3724;PA1000;PA4122;PA2081;PA1501;PA0999;PA3476;PA4230;PA4224;PA1001;PA4211;PA0143
64	PA3540;PA2570;PA3361;PA3541;PA3418;PA0102;PA3551;PA2569;PA3542;PA3547;PA2105;PA3545	PA1657;PA1856;PA4130;PA5415;PA3337;PA5471;PA4114;PA1081;PA0750;PA5445;PA4307;PA1079
65	PA1461;PA1317;PA3558;PA2009;PA4773;PA2019	PA0997;PA2592;PA1871;PA4211;PA0228;PA0998;PA1902;PA4130;PA2195;PA2570;PA2682;PA2408;PA1662;PA5172;PA2512;PA4209;PA4217;PA1657;PA3514;PA2193;PA3477;PA2513;PA3361;PA1904;PA3877;PA3478;PA0996;PA3724;PA3148;PA1656;PA2508;PA2514;PA3333;PA3875;PA3479;PA3476;PA1130;PA2194;PA1901;PA1659;PA1658;PA1001;PA4133;PA5173;PA1903;PA1905;PA1660
66	PA5427;PA4464;PA1049;PA5172;PA0519;PA1557;PA1555;PA3877;PA5230;PA1556;PA5171;PA3148;PA1561;PA5429;PA3337;PA0835;PA0836;PA5495;PA0403;PA0295;PA5173;PA5304	PA3929;PA0524;PA3930
67	PA4264;PA1095;PA3584;PA1421;PA1946;PA3579;PA1094;PA3558;PA4249;PA2412;PA4812;PA1092;PA3582;PA4482;PA2253;PA0266;PA2232;PA4810;PA4811;PA5508	PA2008;PA4973;PA3187;PA2009;PA3522;PA0196;PA2007;PA0035;PA2321
68	PA2367;PA3187;PA2446;PA1984;PA1092;PA2644;PA3166;PA1342;PA2828;PA2639;PA2366;PA5080;PA1072;PA1339;PA1340;PA4867;PA1338;PA5429;PA2648;PA1341;PA4205;PA2634;PA4430;PA2365;PA1337;PA5555;PA1073	PA3584;PA0836;PA3452;PA1317;PA2018;PA1319;PA3337;PA1318;PA1320;PA1321
69	PA2204;PA4225;PA3333;PA4230;PA2444;PA1317;PA4351;PA3620;PA2446;PA1319;PA2445;PA4228;PA5100;PA1320;PA5174;PA1318;PA2968;PA2232;PA3875;PA1321	PA2893;PA1525;PA0494;PA0879;PA3498;PA0107
70	PA3476;PA1095;PA3486;PA2566;PA1094;PA4500;PA3372;PA1249;PA1092	PA4051;PA4193;PA4192;PA1165;PA1224;PA0504;PA3361;PA2232;PA1279;PA4195;PA4194
71	PA1871;PA0747;PA2367;PA2553;PA5427;PA3417;PA4236;PA4130;PA2195;PA3416;PA1249;PA2815;PA1092;PA5172;PA0175;PA3366;PA3526;PA1930;PA2003;PA0178;PA1174;PA4309;PA3418;PA1173;PA0176;PA2247;PA5171;PA3724;PA1094;PA4027;PA4633;PA0179;PA1337;PA2194;PA0836;PA1901;PA5173;PA1562;PA2573;PA1459	PA3554;PA3540;PA5445;PA3552;PA3547
72	PA1449;PA4804;PA1631;PA3083;PA1725;PA0204;PA4158;PA0173;PA0081;PA3498;PA2857;PA1310	PA0768;PA0892;PA0425;PA2942;PA5493;PA3437;PA0035;PA3618;PA0143;PA3099
73	PA4497;PA2446;PA1984;PA2232;PA3559;PA1095;PA3552;PA3557;PA2445;PA3556;PA2442;PA3877;PA2443;PA3874;PA1180;PA2011;PA3555;PA3914;PA2444;PA3876;PA3875;PA3872;PA3531;PA5415	PA0997;PA4225;PA0998;PA1602;PA4125;PA1694;PA0080;PA3582;PA0494;PA3584;PA2193;PA1697;PA4226;PA4123;PA4228;PA1696;PA4121;PA5445;PA0996;PA1719;PA1701;PA1000;PA4122;PA4470;PA4231;PA0999;PA1698;PA1722;PA4230;PA2566;PA1001;PA1716;PA4307
74	PA2008;PA5436;PA3446;PA2009;PA1000;PA2000;PA2446;PA5415;PA1001;PA4133;PA2007;PA2445;PA2442;PA1999;PA2444;PA5016;PA0494;PA5435;PA4442	PA2947;PA3553;PA0082;PA1326;PA3559;PA3552;PA4774;PA3557;PA4226;PA3556;PA4228;PA4123;PA4773;PA4121;PA4777;PA3554;PA3555;PA0084;PA1927;PA4122;PA1024;PA4776;PA4127;PA4230;PA2948;PA3558;PA4124;PA0087
75	PA4750;PA4418;PA5516;PA0749;PA2969	PA0999;PA0895;PA0997;PA4401;PA5163;PA3686;PA0336;PA5192;PA3088;PA0085;PA5200;PA1444;PA3361;PA0949;PA5499;PA5063;PA4939;PA0899;PA4217
76	PA4910;PA5377;PA4912;PA4911;PA3236;PA5378;PA4909;PA0196;PA4913;PA5417;PA5379;PA3629;PA5419;PA1982;PA5416;PA4496;PA5420;PA5421;PA5415;PA5376;PA5153;PA5418	PA1871;PA3553;PA3187;PA0228;PA1217;PA2512;PA3195;PA3552;PA4774;PA5302;PA1856;PA1317;PA2513;PA3361;PA3556;PA1904;PA3182;PA4773;PA5445;PA3478;PA4777;PA3554;PA3555;PA3724;PA2323;PA1320;PA2514;PA3333;PA2321;PA1247;PA3479;PA3183;PA1130;PA3181;PA3558;PA3194;PA4206;PA1319;PA1318;PA4211;PA3193
77	PA1976;PA5316;PA4811;PA4812;PA5315	PA5093;PA2232;PA2811;PA1140;PA5098
78	PA4333;PA4880	PA4225;PA4706;PA4230;PA4224;PA4470;PA2413;PA4708;PA2531;PA3600;PA2412;PA3601;PA4226;PA2390;PA2408;PA4228;PA2407;PA2389;PA2409;PA4707;PA4231
79	PA2193;PA2144;PA5522;PA2570;PA3361;PA2104;PA1984;PA3380;PA2155;PA1931;PA0494;PA2105;PA2153	PA1179;PA4257;PA3446;PA4256;PA1317;PA3194;PA3643;PA0204;PA0205;PA0283;PA0920;PA0202;PA3444;PA0203;PA4688
80	PA4038;PA4089;PA0326;PA0323;PA0325;PA0685;PA0263;PA3175;PA4375;PA3896;PA5098	PA5084;PA2981;PA2891;PA3131;PA2515;PA3315;PA0679;PA3506;PA4693;PA3374;PA1602;PA2595;PA4435
81	PA5559;PA4246;PA4251;PA4464;PA3170;PA2742;PA4433;PA1589;PA4274;PA4232;PA5558;PA4934;PA3351;PA5429;PA4248;PA4385;PA0650;PA4240;PA3475;PA2976;PA5072;PA4935	PA0668;PA2513;PA4771
