feature	positive_signature	negative_signature
57	PA0872;PA0132;PA2008;PA5106;PA2555;PA0870;PA1317;PA2009;PA1319;PA2007;PA0130;PA1140;PA1320;PA1318;PA4811;PA0865;PA1321	PA2652;PA4910;PA0997;PA0998;PA4912;PA4911;PA1694;PA3236;PA2512;PA1002;PA3300;PA0153;PA1027;PA4909;PA2513;PA4913;PA1696;PA0996;PA5417;PA1693;PA1719;PA1701;PA1000;PA1927;PA1723;PA5419;PA2514;PA5416;PA0999;PA5420;PA5421;PA2809;PA1001;PA5418
58	PA4910;PA2947;PA5096;PA3628;PA5377;PA4912;PA4911;PA2682;PA1984;PA3236;PA2512;PA5137;PA5452;PA4909;PA2513;PA2509;PA4913;PA5100;PA3316;PA1104;PA5417;PA5098;PA2507;PA3629;PA1976;PA5419;PA2508;PA2514;PA1982;PA5416;PA4908;PA5093;PA2862;PA3568;PA5420;PA5421	PA0872;PA3914;PA0524;PA3404;PA2009;PA0865;PA3405;PA5508
59	PA1770	PA4088;PA4038;PA4089;PA3914;PA1146;PA3589;PA3449;PA5541;PA0844;PA0325;PA0324;PA4859;PA3590;PA3877;PA5539;PA0222;PA3379
60	PA2340;PA0222;PA3522;PA5422;PA0678;PA0247;PA0602;PA0089;PA5272;PA4138;PA3814	PA3097;PA1823;PA0851;PA0363;PA1529;PA3211;PA3088;PA2644;PA4663;PA2626;PA2922;PA3777;PA4839;PA1049;PA3659;PA0899;PA1124
61	PA3584;PA4201;PA0681;PA1582;PA4351;PA3232;PA0687;PA2908;PA4290;PA2806;PA0347;PA5549;PA4138;PA1375;PA0550;PA5272	PA4283;PA3792;PA0892;PA4192;PA3746;PA3211;PA4234;PA3169;PA1318;PA2641;PA3989;PA2514;PA4217
62	PA1871;PA2367;PA5427;PA5242;PA4236;PA2248;PA2446;PA4130;PA0518;PA1249;PA1092;PA5172;PA0175;PA3526;PA1087;PA1095;PA1930;PA2003;PA0178;PA1557;PA1555;PA4309;PA2445;PA1556;PA0176;PA2247;PA5171;PA1094;PA4027;PA1561;PA0179;PA4633;PA3337;PA0177;PA0836;PA0403;PA5173;PA1562;PA1086	PA1856;PA3540;PA1317;PA1319;PA1320;PA3050
63	PA0872;PA2008;PA3584;PA3601;PA2009;PA3600;PA2105	PA0510;PA4443;PA3553;PA3442;PA3446;PA3935;PA1717;PA2310;PA3938;PA4442;PA3559;PA1179;PA3552;PA4774;PA3557;PA3443;PA3556;PA0281;PA1696;PA3937;PA4773;PA5445;PA3874;PA1180;PA4777;PA3554;PA3555;PA1701;PA4010;PA1838;PA0283;PA3444;PA1716;PA3936;PA4205;PA3445;PA3558;PA3449;PA0887;PA4290;PA5162
64	PA1179;PA2649;PA3627;PA1838;PA3524;PA2813;PA2811;PA4811;PA2812	PA4038;PA1856;PA0324;PA3406;PA0480;PA1668;PA4158;PA1904;PA4207;PA3405
65	PA0872;PA5498;PA4761;PA5500;PA3601;PA5541;PA3600;PA1927;PA4759;PA4065;PA4415;PA1923;PA2811;PA5539;PA5499;PA5501;PA4064;PA5538;PA0447	PA1694;PA3582;PA1717;PA1690;PA4128;PA1697;PA1725;PA1696;PA4121;PA1432;PA1693;PA1719;PA1701;PA1695;PA4122;PA1723;PA1703;PA3476;PA1722;PA1698;PA2654;PA3383;PA1724;PA1716;PA1081;PA1660;PA1692
66	PA4225;PA4706;PA3187;PA2413;PA4688;PA4226;PA3361;PA4228;PA4707;PA3159;PA0968;PA2412;PA4158;PA4708;PA4470;PA3158;PA4231;PA4230;PA3181;PA4513;PA4224;PA4133	PA3554;PA1179;PA3552;PA3531;PA3553;PA4773;PA4774;PA0441;PA4880;PA2682;PA2512;PA0439;PA1180
67	PA5452;PA0195;PA3004;PA2444	PA1667;PA0997;PA4208;PA1661;PA4211;PA1666;PA0998;PA1902;PA4130;PA4125;PA1694;PA1662;PA3523;PA5471;PA1717;PA3195;PA4209;PA4217;PA1002;PA1657;PA3584;PA2193;PA4128;PA1905;PA1725;PA1904;PA4123;PA1696;PA2019;PA4121;PA0996;PA1693;PA1719;PA1701;PA2020;PA1000;PA2018;PA4122;PA1723;PA1656;PA1716;PA4205;PA1703;PA0999;PA1669;PA1691;PA1722;PA3476;PA4127;PA3181;PA1901;PA4206;PA1724;PA1001;PA4133;PA1903;PA2195;PA4124;PA0089;PA1692;PA4207
68	PA0083;PA0091;PA3584;PA1421;PA0089;PA0082;PA0077;PA0095;PA0088;PA0084;PA0085;PA2579;PA0078;PA0080;PA0090;PA0081;PA0075;PA0087	PA3187;PA1694;PA1070;PA1984;PA1717;PA3195;PA1690;PA1697;PA1725;PA1072;PA1696;PA1340;PA1693;PA1719;PA1701;PA1695;PA1338;PA1723;PA1341;PA1703;PA1691;PA1722;PA1698;PA3181;PA1724;PA1716;PA4124;PA3193;PA1073;PA1692
69	PA2711;PA1000;PA4201;PA4908	PA2438;PA3187;PA2367;PA2413;PA2446;PA2329;PA4687;PA2369;PA2473;PA2366;PA2371;PA2445;PA2442;PA2370;PA3350;PA2492;PA2443;PA2290;PA2412;PA2373;PA2444;PA2360;PA2362;PA2368;PA4234;PA0749;PA2363;PA2365;PA2407;PA2409
70	PA2634;PA4193;PA4192;PA1224;PA5304;PA0195;PA4195;PA4194	PA3151;PA3159;PA1095;PA3476;PA0523;PA2193;PA3156;PA3148;PA1094;PA3152;PA4130;PA3364;PA1092;PA0262;PA3155;PA1086;PA3498;PA1432;PA3158
71	PA0768;PA0501;PA3651;PA1277;PA3642;PA5556;PA5046;PA3579;PA5557;PA5558;PA4272;PA2018;PA3656;PA4274;PA3821;PA5554;PA3820;PA0668;PA3861;PA2019	PA4910;PA5355;PA5058;PA3719;PA2366;PA0106;PA1174;PA2368;PA3250;PA1658;PA5354;PA2365;PA1249;PA0105;PA1173;PA3252;PA0112;PA0108;PA0107
72	PA5010;PA2947;PA1867;PA4594;PA5281;PA1810;PA3315;PA0011;PA0203;PA4971	PA0482;PA0650;PA3976;PA1272;PA1105;PA4776;PA4865;PA3170;PA1799;PA1726;PA5106
73	PA4506;PA3361;PA5522;PA4812	PA5559;PA4246;PA3721;PA4276;PA3745;PA2644;PA4406;PA1581;PA4433;PA4559;PA4257;PA2638;PA2970;PA4256;PA5570;PA4263;PA4239;PA4262;PA2011;PA4245;PA4243;PA2967;PA0579;PA1582;PA5429;PA4244;PA2637;PA0524;PA4258;PA4261;PA2645;PA5554
74	PA0997;PA2592;PA4225;PA4310;PA3187;PA4130;PA5172;PA2193;PA1557;PA4226;PA4228;PA5230;PA0996;PA5171;PA3724;PA0954;PA1000;PA3333;PA4231;PA0999;PA3476;PA4230;PA2194;PA4973;PA4224;PA4133;PA1319	PA3554;PA3584;PA3552;PA3553;PA4773;PA3557;PA1421;PA3558;PA2018;PA2408;PA3556;PA4777;PA2019;PA0494;PA3559;PA5508
75	PA3929;PA3930	PA5427;PA4235;PA0518;PA1049;PA5172;PA0519;PA0523;PA4771;PA2193;PA1557;PA1555;PA4351;PA4226;PA4228;PA3877;PA5230;PA1556;PA5171;PA1561;PA3337;PA5497;PA4230;PA2194;PA0524;PA0836;PA0295;PA5173;PA5304
76	PA1874;PA1871;PA4208;PA3187;PA0106;PA3415;PA3417;PA3416;PA2570;PA3582;PA2232;PA4687;PA1930;PA1179;PA3584;PA3361;PA1135;PA1464;PA3478;PA4470;PA4205;PA4207;PA2573	PA0130
77	PA1667;PA0082;PA0095;PA0077;PA0079;PA0088;PA0080;PA0078;PA3582;PA1657;PA3584;PA0098;PA4128;PA4123;PA4375;PA0090;PA0075;PA0091;PA0089;PA0084;PA0072;PA0085;PA1024;PA0073;PA0074;PA3333;PA0087;PA0083;PA4127;PA2685;PA2536;PA2683;PA1658;PA4124;PA0081	PA0193
78	PA4051;PA4193;PA4192;PA4969;PA1224;PA2232;PA4195;PA4194	PA1095;PA1094;PA1249;PA1092;PA4750;PA1087
79	PA2438;PA1257;PA2473;PA0244;PA1002	PA1586;PA1179;PA5163;PA1588;PA5164;PA3495;PA4568;PA3807;PA0336;PA3351;PA5192;PA5422;PA4464;PA1102;PA3001;PA1342;PA4751;PA2742
80	PA0999;PA0997;PA5522;PA0280;PA1000;PA2412;PA4205;PA1001;PA3929;PA4207;PA0996;PA5508	PA2507;PA3914;PA0231;PA3187;PA0228;PA0227;PA5541;PA2513;PA2509;PA2514;PA1319;PA4065;PA3877;PA4064;PA2508;PA5539;PA2512;PA5538
