feature	positive_signature	negative_signature
0	PA3252;PA0589;PA3310;PA1310;PA4211	PA1586;PA4727;PA3013;PA4733;PA3352;PA4687;PA5435;PA4053;PA4260;PA4433;PA1589;PA3656;PA0597;PA5337;PA4274;PA4232;PA1464;PA3617;PA3970;PA4244;PA5063;PA4939;PA4971;PA4247;PA4758;PA4431
1	PA1179;PA5436;PA3600;PA3816;PA5175;PA4750;PA5435;PA3379;PA1452	PA0999;PA3211;PA5237;PA1959;PA3498;PA0387;PA3777;PA0195;PA4854;PA3400
2	PA4260;PA4385;PA4272;PA4253;PA0887;PA4254;PA2624;PA5445	PA1874;PA1871;PA4208;PA2144;PA2570;PA2512;PA2162;PA2151;PA2163;PA2513;PA2152;PA2164;PA2153;PA2160;PA2147;PA3724;PA2165;PA1927;PA2412;PA2514;PA4205;PA1933;PA4207
3	PA2584;PA4741;PA3181;PA0316;PA4563;PA4272;PA4238;PA2321;PA4274;PA4263;PA5568;PA3183	PA1254;PA3236;PA2512;PA1256;PA2008;PA3514;PA2009;PA2513;PA2007;PA5100;PA5417;PA0882;PA5379;PA3629;PA5419;PA0193;PA0865;PA1253;PA5416;PA4496;PA5420;PA5421;PA0184;PA5415;PA3569;PA5418
4	PA3476;PA1719;PA1691;PA1722;PA1701;PA1698;PA1946;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703	PA3914;PA3870;PA0523;PA2444;PA3187;PA3181;PA0524;PA0084;PA2570;PA3875;PA3877;PA3182;PA3876;PA1556;PA3874;PA3872
5	PA4089;PA3584;PA1867;PA3505;PA2810;PA0679;PA0204;PA0205;PA2672;PA0202;PA0203;PA0030;PA4908	PA0768;PA4741;PA3438;PA0296;PA4565;PA4235;PA5045;PA0301;PA1457;PA3227;PA5142;PA1080;PA4254;PA4242;PA4694;PA1493;PA4425;PA3480;PA4006;PA4567;PA1013;PA3742;PA0650;PA2640;PA4429;PA5153
6	PA1874;PA1871;PA4208;PA0106;PA2446;PA3416;PA2570;PA1217;PA0105;PA0175;PA0113;PA0107;PA5213;PA0180;PA1930;PA0178;PA2445;PA2443;PA0176;PA2373;PA0174;PA2444;PA3346;PA4205;PA0112;PA3568;PA2566;PA4646;PA0108;PA4290;PA0704	PA5508
7	PA2438;PA5498;PA5500;PA3601;PA5541;PA3600;PA1927;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA5538;PA2913	PA3914;PA5302;PA3187;PA3877;PA5100;PA0865;PA5304
8	PA0999;PA0997;PA5302;PA1946;PA0998;PA1000;PA0782;PA1001;PA0996	PA2438;PA5498;PA5500;PA3601;PA5541;PA3600;PA1927;PA2914;PA4065;PA1923;PA2912;PA4064;PA5539;PA5499;PA5501;PA5538;PA2913
9	PA3187;PA3156;PA2001;PA4024;PA2446;PA2248;PA1984;PA3541;PA2512;PA2232;PA2105;PA0872;PA2008;PA0795;PA3151;PA3540;PA0870;PA2009;PA2513;PA3364;PA4504;PA1072;PA2445;PA2007;PA2442;PA2443;PA2247;PA3148;PA4500;PA2249;PA2250;PA2444;PA2514;PA0865;PA4973;PA2000;PA5415;PA1999;PA3551;PA1073	PA3584;PA1421;PA3579;PA3600;PA1602;PA3582;PA4470;PA5445
10	PA0510;PA3531;PA3547;PA3540;PA1555;PA4880;PA3120;PA0518;PA3541;PA4812;PA3551;PA3121;PA1556;PA0519;PA3545	PA4225;PA4208;PA4230;PA4224;PA1317;PA4470;PA3601;PA4206;PA3600;PA4226;PA4228;PA4207;PA4708;PA4687;PA5217;PA4205;PA4231
11	PA4443;PA1661;PA3442;PA3446;PA2446;PA3931;PA3935;PA4416;PA0080;PA4415;PA3820;PA3938;PA4442;PA3443;PA4412;PA0281;PA2445;PA3937;PA1340;PA1838;PA0280;PA0085;PA0084;PA0283;PA4417;PA3444;PA1341;PA3936;PA4418;PA0083;PA2204;PA4414;PA3445;PA1806;PA5119	PA1871;PA1646;PA5377;PA0844;PA3236;PA1256;PA5378;PA2513;PA4351;PA3182;PA4121;PA5417;PA0447;PA5379;PA3629;PA5419;PA2514;PA4205;PA5416;PA3183;PA5420;PA4206;PA5421;PA2889;PA5376;PA5418
12	PA0510;PA0025;PA0024;PA0523;PA2444;PA1856;PA3181;PA1317;PA5176;PA3392;PA0524;PA2412;PA2691;PA0530;PA0518;PA2445;PA3183;PA3182;PA0519;PA3814	PA1384;PA2194;PA4211
13	PA4042;PA1179;PA0336;PA1260;PA1256	PA1871;PA4208;PA4211;PA1902;PA4130;PA2570;PA1217;PA2263;PA4209;PA4217;PA0132;PA1657;PA1555;PA3364;PA3361;PA1904;PA1556;PA3478;PA3570;PA3724;PA1927;PA4858;PA3333;PA4205;PA3479;PA2261;PA1130;PA1901;PA1659;PA1658;PA4133;PA1903;PA1905;PA1780;PA3569
14	PA5514;PA1249;PA3541;PA2815;PA2569;PA3545;PA0107;PA0872;PA5302;PA3540;PA5323;PA5304;PA2416;PA5100;PA5429;PA0854;PA2796;PA0865;PA3569;PA3551;PA3542;PA3547;PA0108;PA5106	PA0524;PA1100;PA3877;PA1081;PA3876;PA3875;PA3872
15	PA3554;PA3555;PA4189;PA3552;PA2317;PA0427;PA3553;PA3557;PA3558;PA4073;PA0293;PA0196;PA1024;PA3556;PA4188;PA1180;PA3559	PA4124;PA1719;PA4127;PA4163;PA4128;PA4130;PA4148;PA4122;PA4153;PA4125;PA4180;PA4123;PA4161;PA4152;PA4158;PA5174;PA1696;PA4133;PA4121;PA4138;PA1693
16	PA1667;PA0997;PA4211;PA0998;PA4130;PA2195;PA4209;PA4217;PA1002;PA1657;PA2193;PA3361;PA1003;PA0996;PA3478;PA3724;PA1000;PA1927;PA1656;PA3333;PA3479;PA0999;PA3476;PA2194;PA1659;PA1658;PA1001;PA1903;PA3475;PA1905;PA1660	PA2008;PA3914;PA4230;PA1260;PA0323;PA2009;PA2513;PA1254;PA4226;PA0530;PA2007;PA2811;PA2813;PA3877;PA4228;PA2514;PA3876;PA2812;PA1256
17	PA3043;PA3929;PA1421	PA4038;PA1694;PA2570;PA1662;PA1717;PA1690;PA1697;PA1725;PA1696;PA3874;PA1693;PA1719;PA1701;PA1695;PA1723;PA4205;PA3875;PA1703;PA1691;PA1722;PA1698;PA0524;PA4206;PA1724;PA1716;PA1692
18	PA4771;PA5171;PA1557;PA1317;PA4351;PA5313;PA4180;PA5173;PA5172	PA0232;PA0997;PA3013;PA1277;PA3446;PA0228;PA0998;PA0226;PA1694;PA3236;PA2512;PA3366;PA4217;PA3097;PA1179;PA2513;PA3364;PA2509;PA1696;PA4121;PA1180;PA2507;PA1719;PA1701;PA0227;PA1000;PA1024;PA3444;PA1716;PA2514;PA0999;PA1722;PA1001;PA0230;PA4211;PA3896;PA1692;PA5355
19	PA3554;PA3555;PA5106;PA1179;PA3552;PA4774;PA3553;PA3557;PA3558;PA3392;PA2813;PA2811;PA3556;PA4776;PA4812;PA4777;PA4773;PA2812;PA1180;PA3559;PA1087	PA1002;PA2008;PA0999;PA0997;PA3476;PA4771;PA0998;PA1000;PA1001;PA0996;PA0500;PA3541;PA1984;PA5471;PA0958;PA0494;PA3478;PA3479;PA4217
20		PA3156;PA1092;PA3498;PA2105;PA1087;PA3151;PA1095;PA3514;PA0958;PA3155;PA2104;PA3159;PA3148;PA1094;PA4503;PA3158;PA4918;PA0206;PA3152;PA2739;PA0203;PA1086
21	PA0997;PA0998;PA1694;PA1717;PA1225;PA1690;PA1697;PA1725;PA2826;PA1696;PA0996;PA1693;PA1719;PA1701;PA1695;PA1723;PA1703;PA0999;PA1691;PA1722;PA1698;PA1724;PA1001;PA1716;PA1692	PA1179;PA3552;PA1277;PA4773;PA1421;PA2513;PA0293;PA2514;PA2512
22	PA3159;PA3531;PA4130;PA1927;PA4133;PA0958;PA3155;PA3158	PA4225;PA4230;PA4224;PA3568;PA4470;PA4513;PA5217;PA4226;PA0887;PA1319;PA4228;PA4231;PA4290;PA4708;PA4687;PA5445;PA4688
23	PA3818;PA0945;PA3607;PA0363;PA3310;PA4569;PA1838;PA0654;PA2629;PA0976;PA1674;PA0975;PA4307	PA5427;PA2446;PA0518;PA3582;PA5172;PA0519;PA3514;PA1555;PA1557;PA3506;PA2445;PA3877;PA2442;PA1556;PA5171;PA3148;PA1927;PA1246;PA2444;PA2514;PA5173;PA5355
24	PA0872;PA2008;PA0091;PA2642;PA3377;PA2550;PA2193;PA0870;PA0077;PA1905;PA2009;PA1904;PA2007;PA1903;PA2641;PA4211;PA0074;PA0865;PA4209;PA4217	PA0231;PA0228;PA2413;PA0226;PA2682;PA2408;PA3236;PA2512;PA0523;PA2513;PA2509;PA2390;PA2811;PA0958;PA2389;PA2507;PA0227;PA2412;PA2508;PA2444;PA2514;PA4470;PA2407;PA2409
25	PA1874;PA1871;PA4208;PA2144;PA2446;PA2570;PA1249;PA2151;PA1317;PA2163;PA3477;PA2152;PA2445;PA2164;PA2442;PA2443;PA3478;PA2153;PA3570;PA2160;PA2147;PA2165;PA2444;PA4172;PA4205;PA3479;PA4206;PA5415;PA4207	PA1982;PA0227
26	PA4733;PA0106;PA3628;PA3600;PA0105;PA0107;PA0872;PA1737;PA4771;PA5206;PA4909;PA1736;PA0761;PA4913;PA4121;PA1003;PA5445;PA3629;PA3232;PA4122;PA5429;PA0865;PA4470;PA0112;PA2862;PA3568;PA3601;PA0887;PA4290;PA0108	PA4217;PA0132;PA4443;PA1669;PA4208;PA2444;PA4206;PA4205;PA1902;PA1905;PA0976;PA4207;PA0281;PA1904;PA2445;PA0130;PA4211;PA1903;PA3366;PA5355
27	PA4443;PA3870;PA3187;PA3917;PA3236;PA3582;PA4810;PA1256;PA3361;PA4913;PA3877;PA4976;PA3874;PA2887;PA4980;PA3914;PA1260;PA3512;PA3876;PA3875;PA5416;PA2862;PA3916;PA5421;PA3918;PA5155;PA5153	PA5302;PA2015;PA1317;PA2009;PA2014;PA2446;PA5304;PA0887;PA1319;PA2445;PA1318;PA1320;PA2624;PA5445;PA1321
28	PA4973	PA0510;PA0997;PA4225;PA3870;PA0998;PA0518;PA4810;PA0519;PA1002;PA0523;PA2193;PA1555;PA3392;PA4226;PA4228;PA3877;PA5230;PA4811;PA1556;PA3874;PA0996;PA3914;PA1000;PA3876;PA3875;PA3872;PA4231;PA0999;PA4230;PA0524;PA1421;PA4224;PA1001;PA5173;PA4812
29	PA0851;PA3047;PA3351;PA1868;PA1927;PA4901;PA0219;PA0078;PA3814	PA1586;PA3013;PA0301;PA5554;PA3832;PA0303;PA5549;PA4865;PA1393;PA1585;PA0302;PA5557;PA4500;PA4255;PA5556;PA5497;PA1337;PA1013;PA1587;PA5173;PA3645;PA5553
30	PA0895;PA2553;PA2367;PA2446;PA0927;PA1984;PA1092;PA1342;PA1087;PA1095;PA2003;PA0523;PA2366;PA3392;PA2445;PA2011;PA1094;PA2014;PA5429;PA2444;PA5217;PA0524;PA2015;PA2013;PA2000;PA5415;PA1999;PA1337;PA3569;PA5355	PA3452;PA3187;PA3582;PA3195;PA3584;PA3552;PA4774;PA4771;PA1317;PA5015;PA3556;PA3182;PA4773;PA4777;PA0882;PA4588;PA1321;PA1320;PA4776;PA4470;PA0879;PA2321;PA2261;PA3183;PA3181;PA3194;PA1319;PA5016;PA1318;PA2263;PA3193;PA4307
31	PA1002;PA0999;PA3476;PA0997;PA2193;PA3724;PA0998;PA4778;PA3477;PA1000;PA1001;PA1432;PA1249;PA2587;PA0143;PA1003;PA0996;PA1247	PA3554;PA3555;PA3552;PA3553;PA3181;PA3557;PA2536;PA1317;PA3558;PA2018;PA0196;PA1024;PA1319;PA3556;PA1318;PA0195;PA1320;PA4776;PA4777;PA4773;PA3559
32	PA3151;PA3159;PA4918;PA3156;PA3148;PA2105;PA4503;PA3152;PA0958;PA3155;PA2232;PA2104;PA3158	PA1000
33	PA1555;PA3558	PA0510;PA4225;PA4208;PA3446;PA2413;PA3600;PA0518;PA2408;PA4687;PA0519;PA0523;PA1856;PA1317;PA3392;PA2691;PA0281;PA4228;PA0025;PA0280;PA2412;PA4064;PA4708;PA4470;PA4205;PA3183;PA3814;PA4230;PA3181;PA0524;PA3601;PA0504;PA4206;PA5175;PA4207
34	PA2584;PA2906;PA3820;PA2950;PA2904;PA2018;PA1927;PA2446;PA2019	PA1871;PA4208;PA4211;PA1902;PA2195;PA1602;PA1217;PA4144;PA4209;PA4217;PA1946;PA1555;PA1557;PA3361;PA1904;PA1556;PA3478;PA2011;PA4829;PA4205;PA2194;PA1901;PA4206;PA4133;PA1903;PA1905;PA4207
35	PA3187;PA3582;PA4810;PA3195;PA5508;PA0872;PA2008;PA3584;PA0523;PA5302;PA3579;PA3392;PA2009;PA4226;PA2007;PA4228;PA3182;PA0865;PA2321;PA3183;PA4230;PA3181;PA0524;PA3194;PA2000;PA3193;PA5304	PA3442;PA3446;PA3935;PA3931;PA3236;PA3938;PA2366;PA3443;PA5020;PA3937;PA2711;PA1976;PA0283;PA4829;PA3444;PA5103;PA1982;PA4973;PA3445;PA5420;PA5421;PA5415;PA2365;PA5418
36	PA4443;PA0997;PA0082;PA0095;PA0088;PA0078;PA2008;PA2009;PA0090;PA4375;PA0075;PA1927;PA0865;PA4205;PA3875;PA0087;PA0083;PA4206;PA0749;PA1001;PA4207;PA0089	PA1719;PA3148;PA0604;PA3506;PA0204;PA2446;PA2018;PA5415;PA0606;PA2445;PA0603;PA2019;PA1384;PA2105
37	PA5171;PA0836;PA1555;PA1557;PA5427;PA4236;PA1049;PA1561;PA0295;PA5173;PA0518;PA0835;PA3337;PA5172;PA1556;PA0519;PA5230	PA4211;PA1856;PA1927;PA3929;PA4207;PA4205;PA3930;PA4217
38	PA3361;PA2813	PA0997;PA3553;PA0998;PA3600;PA1694;PA2408;PA1717;PA3559;PA1002;PA1179;PA3552;PA0523;PA2193;PA1697;PA1725;PA0958;PA1696;PA5445;PA0996;PA1180;PA1693;PA1079;PA3554;PA1719;PA1701;PA1695;PA2407;PA1000;PA1723;PA2412;PA1716;PA1703;PA0999;PA1691;PA1698;PA1722;PA0524;PA3568;PA1724;PA0887;PA1001;PA4290;PA4211;PA1081;PA1692
39	PA0232;PA3553;PA0228;PA0226;PA3600;PA2682;PA5539;PA2512;PA5501;PA2105;PA5538;PA3559;PA1179;PA3552;PA2513;PA2509;PA5499;PA1180;PA2507;PA3554;PA5500;PA0227;PA4064;PA2508;PA2514;PA2515;PA3601;PA5541;PA4065	PA5445;PA2862;PA1000
40	PA4750;PA2413;PA3607;PA4839;PA2412	PA3553;PA3043;PA3559;PA1179;PA3552;PA4774;PA3557;PA4226;PA3556;PA4228;PA4773;PA1180;PA4777;PA3554;PA3555;PA2018;PA4776;PA3121;PA4230;PA2536;PA4224;PA3558;PA3120;PA1001
41	PA1146;PA3560;PA0324;PA1683;PA1927;PA5429	PA1449;PA5214;PA5010;PA3100;PA0773;PA4234;PA0590;PA0421;PA0608;PA0230;PA0247;PA2232;PA0357;PA0065;PA3861
42	PA1598;PA4885;PA2104;PA2105	PA3495;PA0363;PA3350;PA4399;PA5012;PA4234;PA4988;PA5422;PA0552;PA3475;PA3725;PA3171;PA5072
43	PA3929;PA3930	PA0510;PA5427;PA0518;PA1049;PA5172;PA0519;PA0523;PA2193;PA1557;PA1555;PA4351;PA3877;PA5230;PA1556;PA0024;PA0025;PA5171;PA1561;PA3337;PA1656;PA5497;PA2194;PA0524;PA0836;PA0295;PA5173
44	PA0772;PA1598;PA3590;PA1534;PA0219;PA4748;PA4376;PA2541;PA0686;PA4158;PA5228;PA5439;PA4886	PA0083;PA2471;PA0157;PA4975;PA3751;PA3131;PA1278;PA3217;PA2826;PA2445;PA5516;PA2409;PA4687
45		PA3151;PA3159;PA3156;PA3148;PA2105;PA3152;PA4503;PA0958;PA3155;PA3498;PA2104;PA3158
46	PA0999;PA3914;PA4741;PA1856;PA5570;PA5522;PA2363;PA0530;PA1931;PA3875	PA0083;PA5429;PA2365;PA5075;PA0009;PA5426;PA5119
47	PA3870;PA4771;PA5171;PA4351;PA5173;PA3877;PA5172;PA3876;PA3875	PA4443;PA3553;PA4193;PA3442;PA3446;PA4130;PA3935;PA2446;PA3931;PA3236;PA0494;PA3938;PA4217;PA2008;PA1179;PA3552;PA4613;PA3443;PA2445;PA0281;PA2442;PA3937;PA2443;PA1180;PA3554;PA4192;PA4010;PA0849;PA1927;PA0283;PA3444;PA2444;PA3936;PA2204;PA3445;PA3558;PA4455;PA5541;PA5415;PA4133
48	PA5368;PA3382;PA0347;PA0677;PA3378;PA3375;PA3377;PA5366;PA3319;PA4351;PA3296;PA5549;PA3379;PA2352;PA1260;PA3384;PA5367;PA3374;PA3373;PA5369;PA3910;PA0679;PA3383;PA0682;PA3380	PA0226;PA3975;PA1638;PA5304
49	PA2151;PA2555;PA3415;PA2163;PA0838;PA3417;PA2165;PA1927;PA5095;PA2249;PA2152;PA2164;PA2250;PA5100;PA2442;PA1931;PA2153;PA5098	PA5445;PA3296;PA0844;PA4868;PA3379
50	PA3476;PA4504;PA0887;PA4290;PA5445;PA5538;PA3479	PA2507;PA2536;PA2513;PA0085;PA1927;PA2018;PA2514;PA2682;PA2813;PA2811;PA4375;PA4124;PA2512;PA0089;PA2812;PA1310
51	PA0510;PA4225;PA1871;PA2553;PA2001;PA4130;PA2248;PA1092;PA3366;PA4217;PA0872;PA2008;PA0132;PA2003;PA1946;PA0870;PA2009;PA3364;PA4226;PA3361;PA2007;PA4228;PA2012;PA5100;PA3418;PA3570;PA2247;PA3724;PA2014;PA4500;PA2249;PA2250;PA0130;PA0865;PA4231;PA4230;PA4224;PA2013;PA2000;PA3569;PA4133;PA1999;PA5304	PA4443;PA4973;PA3181;PA4771;PA2261;PA3194;PA4909;PA3601;PA4912;PA3600;PA1927;PA4064;PA3183;PA3182;PA2263;PA3193;PA3195;PA2321;PA5497
52	PA0510;PA0024;PA0025;PA0524;PA3870;PA0523;PA5176;PA4235;PA3392;PA0519;PA2691;PA0518;PA3875;PA3876;PA3874;PA3872;PA3814	PA3337
53	PA1694;PA1717;PA1690;PA1697;PA1725;PA4123;PA1696;PA4121;PA1693;PA1719;PA1701;PA1695;PA4122;PA1723;PA2444;PA1703;PA1691;PA1698;PA1722;PA1724;PA1716;PA4124;PA1692;PA5106	PA3876;PA5217;PA1140;PA0293
54	PA3151;PA0482;PA0997;PA4230;PA4771;PA4192;PA1224;PA0887;PA0996;PA4290;PA4969;PA5445;PA5435	PA1719;PA3300;PA1722;PA1701;PA1698;PA5171;PA3187;PA2444;PA3910;PA2009;PA2446;PA3383;PA2445;PA5100;PA0958;PA5172;PA1693
55	PA4910;PA2893;PA4912;PA0782;PA4911;PA2682;PA1984;PA3582;PA3236;PA2512;PA0153;PA3584;PA3514;PA4909;PA2513;PA5373;PA2509;PA4913;PA5417;PA5379;PA2507;PA2616;PA2711;PA0227;PA2920;PA2338;PA2508;PA2514;PA1982;PA5416;PA2862;PA3568;PA5420;PA5421;PA2573;PA5418	PA0523;PA0524;PA0870;PA0849;PA3443;PA0920;PA4528;PA3444;PA4688
56	PA0796;PA5508;PA3088;PA3976;PA0430;PA1256	PA2981;PA5302;PA1856;PA1783;PA3148;PA2413;PA1637;PA1000;PA3152;PA2412;PA2570;PA1384;PA0996
