feature	positive_signature	negative_signature
0	PA4588;PA5010;PA2947;PA4594;PA5281;PA1810;PA3315;PA0203;PA4971	PA0482;PA5177;PA0650;PA3976;PA1105;PA4776;PA4232;PA3170;PA1799;PA4865
1	PA4593;PA2674;PA0326;PA3568;PA4988;PA2061;PA4859;PA2343;PA2672;PA2676;PA3725;PA1638;PA4908	PA0579;PA4740;PA4944;PA2796;PA3656;PA4464;PA4255;PA3645;PA5161;PA4274;PA4254;PA5013;PA4241;PA5153;PA3814
2	PA3151;PA3159;PA5163;PA3156;PA3148;PA4206;PA3477;PA3152;PA2570;PA2104;PA0011;PA3814;PA2444;PA3155;PA0865;PA4264;PA3478;PA3158;PA3479;PA4207	PA0999;PA0997;PA3100;PA3601;PA5522;PA0998;PA3443;PA0196;PA3935;PA1000;PA0660;PA2943;PA1001;PA4065;PA3582;PA5471;PA0195;PA5313;PA2019;PA3366;PA2776
3	PA1930;PA3415;PA3417;PA1927;PA3416;PA4808;PA4905;PA0387;PA1311;PA1173;PA4812;PA4810;PA4811	PA4283;PA4559;PA4031;PA5010;PA5163;PA3770;PA1156;PA3763;PA0430;PA0927;PA1584;PA3569;PA5568
4	PA3151;PA2507;PA3584;PA0228;PA2513;PA0749;PA2509;PA2514;PA2000;PA2682;PA1092;PA2508;PA2512;PA3158	PA2685;PA5096;PA4771;PA1260;PA1254;PA1602;PA0897;PA1252;PA1256
5	PA4329;PA4403;PA4941;PA4416;PA3834;PA3861;PA4956;PA3214;PA3987;PA4483;PA4947;PA4042;PA5063;PA0482;PA1787;PA4758;PA4201;PA3627;PA4069;PA5068;PA1821;PA4411	PA2340;PA3719
6	PA4867;PA3392;PA1561;PA0179;PA0518;PA4375;PA1070;PA1092;PA0402;PA0519;PA4217	PA3151;PA2981;PA4208;PA2020;PA4206;PA3506;PA2570;PA4207
7	PA2008;PA5445;PA0747;PA2634;PA2555;PA2009;PA2018;PA3569;PA0887;PA2541;PA2007;PA0195;PA4290;PA0865;PA5304;PA3570	PA0997;PA2592;PA0998;PA4778;PA1002;PA1179;PA2080;PA2193;PA4504;PA2587;PA4506;PA1003;PA1432;PA0996;PA3724;PA1000;PA2412;PA1246;PA1247;PA0999;PA3476;PA5421;PA1001;PA4211;PA0143
8	PA2507;PA3320;PA2634;PA2217;PA2518;PA0228;PA5176;PA2675;PA1868;PA0226;PA1224;PA0227;PA4376;PA2104;PA5199;PA4152;PA2508;PA4971;PA2105	PA1095;PA4201;PA3751;PA1094;PA2605;PA3372;PA1092;PA1086;PA1087
9	PA3584;PA1179;PA2513;PA2514;PA2813;PA2811;PA3582;PA2512;PA4121;PA5435	PA4443;PA3442;PA3446;PA2446;PA3935;PA1217;PA1070;PA2594;PA3938;PA4442;PA3443;PA1072;PA2445;PA0281;PA2442;PA0958;PA3937;PA1432;PA1838;PA0280;PA0084;PA0085;PA0283;PA0130;PA0603;PA2444;PA3444;PA0083;PA2204;PA2685;PA0524;PA5415;PA0606
